exp,epoch,dataset,path,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,Dets,GT_Dets,IDs,GT_IDs,IDF1,IDR,IDP,IDTP,IDFN,IDFP
bytetrack_fa_mot_mot17,9.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_9/tracker/MOT17-train/pedestrian_summary.txt,17.166,73.431,4.0442,81.477,83.515,8.1461,78.069,88.184,18.13,21.071,82.348,17.352,13.074,87.702,78.399,87.98,90.18,62.963,28.704,8.3333,47926.0,6548.0,5219.0,35585.0,136.0,62.0,18.0,308.0,2.2542,53145.0,54474.0,36550.0,216.0,10.647,10.517,10.78,5729.0,48745.0,47416.0
bytetrack_fa_mot_mot17_v2,26.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_26/tracker/MOT17-train/pedestrian_summary.txt,35.067,73.027,16.916,80.688,83.775,18.306,95.906,88.113,36.924,43.483,82.364,35.815,15.139,87.649,78.784,87.55,90.899,55.556,34.259,10.185,47692.0,6782.0,4775.0,34670.0,120.0,74.0,22.0,296.0,4.3262,52467.0,54474.0,38569.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v4_topconf,1.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v4_topconf/val/epoch_1/tracker/MOT17-train/pedestrian_summary.txt,4.7796,74.214,0.31005,81.355,84.844,0.31007,99.996,88.469,5.0169,5.7465,83.275,4.7854,-8.0919,88.046,78.834,87.361,91.107,52.778,36.574,10.648,47589.0,6885.0,4645.0,47352.0,114.0,79.0,23.0,301.0,-18.535,52234.0,54474.0,52187.0,216.0,,,,,,
diagnostic_full_model,,MOT17,/gemini/code/FMtrack-main/FM-Track/outputs/diagnostic_full_model/submit/full_model_correct_thresh/MOT17/train/checkpoint_30/tracker/tracker_default/pedestrian_summary.txt,81.596,90.983,73.245,94.646,93.414,79.874,84.346,93.167,83.26,87.159,92.555,80.671,95.878,92.709,97.853,99.586,98.29,95.161,0.0,4.8387,18504.0,77.0,322.0,367.0,59.0,0.0,3.0,46.0,88.617,18826.0,18581.0,331.0,62.0,66.968,73.268,61.666,13614.0,4967.0,8463.0
diagnostic_test,,MOT17,/gemini/code/FMtrack-main/FM-Track/outputs/diagnostic_test/evaluate/default/MOT17/train/checkpoint_30/tracker/tracker_default/pedestrian_summary.txt,4.9638,77.479,0.32099,95.405,78.812,0.32099,100.0,93.459,5.5211,5.2502,93.09,4.8874,-20.795,93.122,78.817,99.935,82.555,96.774,0.0,3.2258,18569.0,12.0,3924.0,18509.0,60.0,0.0,2.0,4.0,-27.669,22493.0,18581.0,22493.0,62.0,0.29216,0.32291,0.26675,60.0,18521.0,22433.0
eval_epoch20,,MOT17,/gemini/code/FMtrack-main/FM-Track/outputs/eval_epoch20/evaluate/default/MOT17/train/checkpoint_20/tracker/tracker_default/pedestrian_summary.txt,85.837,90.14,81.917,93.179,94.519,89.912,87.821,93.249,87.36,92.147,92.334,85.083,96.934,92.601,97.303,97.942,99.351,94.322,3.1136,2.5641,329958.0,6933.0,2154.0,1242.0,1545.0,51.0,42.0,1806.0,89.687,332112.0,336891.0,1416.0,1638.0,89.943,89.305,90.59,300861.0,36030.0,31251.0
eval_mot17_train,,MOT17,/gemini/code/FMtrack-main/FM-Track/outputs/eval_mot17_train/evaluate/default/MOT17/train/checkpoint_9/tracker/tracker_default/pedestrian_summary.txt,76.87,90.386,65.578,93.976,94.057,74.624,82.781,93.244,78.486,82.491,92.123,75.993,92.486,92.64,97.937,98.925,99.011,97.436,1.4652,1.0989,111090.0,1207.0,1110.0,6121.0,532.0,8.0,6.0,270.0,85.205,112200.0,112297.0,5581.0,546.0,77.406,77.373,77.439,86887.0,25410.0,25313.0
eval_mot20_ckpts_serial,,MOT20,/gemini/code/FMtrack-main/FM-Track/outputs/eval_mot20_ckpts_serial/ckpt_30/evaluate/default/MOT20/train/checkpoint_30/tracker/tracker_default/pedestrian_summary.txt,14.123,20.477,10.115,21.079,73.119,10.85,59.186,78.571,14.382,18.236,72.879,13.29,24.151,74.681,26.569,27.698,96.082,2.8442,48.352,48.804,314268.0,820346.0,12816.0,27430.0,63.0,1071.0,1081.0,37258.0,17.138,327084.0,1134614.0,10487.0,2215.0,15.279,9.8421,34.141,111670.0,1022944.0,215414.0
eval_mot20_train,,MOT20,/gemini/code/FMtrack-main/FM-Track/outputs/eval_mot20_train/evaluate/default/MOT20/train/checkpoint_7/tracker/tracker_default/pedestrian_summary.txt,9.9022,20.425,4.9937,21.061,72.03,5.8642,58.827,77.948,10.093,13.102,71.78,9.4048,15.311,74.009,26.479,27.859,95.281,3.6117,47.088,49.3,316093.0,818521.0,15655.0,126720.0,80.0,1043.0,1092.0,42025.0,8.0698,331748.0,1134614.0,106208.0,2215.0,,,,,,
evaluate,,MOT17,/gemini/code/FMtrack-main/FM-Track/outputs/evaluate/default/MOT17/train/checkpoint_2/tracker/pedestrian_summary.txt,53.469,85.188,33.719,89.573,91.665,40.865,74.562,91.77,54.931,58.862,90.085,53.026,72.418,90.999,94.514,96.116,98.361,88.43,10.331,1.2397,90076.0,3640.0,1501.0,20708.0,428.0,50.0,6.0,653.0,63.766,91577.0,93716.0,19451.0,484.0,50.983,50.401,51.578,47234.0,46482.0,44343.0
