exp,epoch,dataset,path,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,Dets,GT_Dets,IDs,GT_IDs,IDF1,IDR,IDP,IDTP,IDFN,IDFP
bytetrack_fa_mot_mot17,0.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_0/tracker/MOT17-train/pedestrian_summary.txt,8.0358,73.53,0.88215,79.48,86.302,0.93615,99.679,88.838,8.3492,9.5783,84.512,8.0948,-3.9854,88.242,79.084,85.589,92.936,40.278,39.815,19.907,46624.0,7850.0,3544.0,45251.0,87.0,86.0,43.0,295.0,-14.049,50168.0,54474.0,48873.0,216.0,,,,,,
bytetrack_fa_mot_mot17,0.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_0/tracker_min2/MOT17-train/pedestrian_summary.txt,14.732,9.8149,22.161,9.9961,77.282,27.444,59.644,84.271,14.872,18.075,79.226,14.32,8.6041,82.873,10.276,11.606,89.725,37.5,21.296,41.204,6322.0,48152.0,724.0,911.0,81.0,46.0,89.0,186.0,6.6164,7046.0,54474.0,367.0,216.0,10.419,5.8835,45.487,3205.0,51269.0,3841.0
bytetrack_fa_mot_mot17,1.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_1/tracker/MOT17-train/pedestrian_summary.txt,10.209,73.612,1.4216,79.568,86.3,1.5009,99.588,88.826,10.604,12.116,84.518,10.24,-2.9684,88.235,79.203,85.701,92.952,40.278,39.815,19.907,46685.0,7789.0,3540.0,44762.0,87.0,86.0,43.0,307.0,-13.051,50225.0,54474.0,48354.0,216.0,,,,,,
bytetrack_fa_mot_mot17,10.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_10/tracker/MOT17-train/pedestrian_summary.txt,13.095,73.858,2.3276,81.693,83.914,5.4449,85.419,88.306,13.77,16.56,82.675,13.691,4.6279,87.948,78.489,87.921,90.312,61.111,30.093,8.7963,47894.0,6580.0,5138.0,40235.0,132.0,65.0,19.0,310.0,-5.9679,53032.0,54474.0,42219.0,216.0,5.9997,5.9203,6.0812,3225.0,51249.0,49807.0
bytetrack_fa_mot_mot17,19.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_19/tracker/MOT17-train/pedestrian_summary.txt,8.8847,73.859,1.0754,81.663,83.943,3.6274,92.699,88.298,9.3034,11.853,82.677,9.7993,-3.2841,87.931,78.551,87.917,90.372,61.111,30.556,8.3333,47892.0,6582.0,5102.0,44579.0,132.0,66.0,18.0,308.0,-13.895,52994.0,54474.0,48043.0,216.0,,,,,,
bytetrack_fa_mot_mot17,2.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_2/tracker/MOT17-train/pedestrian_summary.txt,6.4834,73.294,0.57441,79.285,86.209,0.71195,99.601,88.829,6.7378,8.191,84.425,6.9153,-5.331,88.27,78.751,85.36,92.814,38.889,41.204,19.907,46499.0,7975.0,3600.0,45803.0,84.0,89.0,43.0,325.0,-15.344,50099.0,54474.0,49436.0,216.0,,,,,,
bytetrack_fa_mot_mot17,20.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_20/tracker/MOT17-train/pedestrian_summary.txt,9.2333,73.892,1.1571,81.693,83.97,3.9395,91.849,88.322,9.679,12.267,82.682,10.143,-2.5792,87.928,78.553,87.921,90.371,60.185,31.481,8.3333,47894.0,6580.0,5103.0,44196.0,130.0,68.0,18.0,307.0,-13.193,52997.0,54474.0,47573.0,216.0,,,,,,
bytetrack_fa_mot_mot17,22.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_22/tracker/MOT17-train/pedestrian_summary.txt,9.4186,74.029,1.2108,80.787,85.299,2.0156,98.657,88.572,9.7957,12.213,83.621,10.213,-5.1676,88.108,78.946,86.829,91.677,49.537,36.574,13.889,47299.0,7175.0,4294.0,45820.0,107.0,79.0,30.0,290.0,-15.493,51593.0,54474.0,50190.0,216.0,,,,,,
bytetrack_fa_mot_mot17,23.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_23/tracker/MOT17-train/pedestrian_summary.txt,9.6765,74.043,1.278,80.794,85.304,2.0491,98.721,88.564,10.062,12.652,83.605,10.578,-5.1566,88.099,78.97,86.841,91.689,49.537,37.037,13.426,47306.0,7168.0,4288.0,45827.0,107.0,80.0,29.0,295.0,-15.491,51594.0,54474.0,50201.0,216.0,,,,,,
bytetrack_fa_mot_mot17,24.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_24/tracker/MOT17-train/pedestrian_summary.txt,8.2375,73.996,0.92666,80.72,85.34,1.7303,98.79,88.585,8.5715,10.657,83.643,8.9136,-5.5476,88.124,78.902,86.744,91.709,48.148,38.889,12.963,47253.0,7221.0,4272.0,46003.0,104.0,84.0,28.0,291.0,-15.849,51525.0,54474.0,50381.0,216.0,,,,,,
bytetrack_fa_mot_mot17,25.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_25/tracker/MOT17-train/pedestrian_summary.txt,5.9906,73.985,0.48706,80.726,85.314,1.2045,98.845,88.578,6.2556,7.4536,83.622,6.2329,-6.1314,88.119,78.915,86.768,91.7,48.611,37.963,13.426,47266.0,7208.0,4278.0,46328.0,105.0,82.0,29.0,291.0,-16.44,51544.0,54474.0,50695.0,216.0,,,,,,
bytetrack_fa_mot_mot17,26.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_26/tracker/MOT17-train/pedestrian_summary.txt,8.6613,73.171,1.0417,79.062,86.33,1.5778,99.135,88.864,8.957,11.246,84.509,9.5036,-4.3874,88.296,78.625,85.103,92.926,38.889,40.741,20.37,46359.0,8115.0,3529.0,45220.0,84.0,88.0,44.0,315.0,-14.348,49888.0,54474.0,48844.0,216.0,,,,,,
bytetrack_fa_mot_mot17,27.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_27/tracker/MOT17-train/pedestrian_summary.txt,8.7404,73.128,1.048,79.021,86.317,1.2677,99.572,88.86,9.0769,10.745,84.503,9.0798,-4.8831,88.285,78.627,85.086,92.944,37.5,42.593,19.907,46350.0,8124.0,3519.0,45491.0,81.0,92.0,43.0,321.0,-14.851,49869.0,54474.0,49131.0,216.0,,,,,,
