slice_family,slice_value,group_count,error_count,error_rate,error_share
group_is_ambiguous,1,286,145,0.506993006993007,1.0
group_is_recoverable,1,145,145,1.0,1.0
positive_base_score,"(-0.001, 0.882]",9210,145,0.015743756786102063,1.0
positive_refined_score,"(-0.001, 0.755]",9210,145,0.015743756786102063,1.0
rank_margin,"(-0.001, 0.48]",9210,137,0.01487513572204126,0.9448275862068966
rank_entropy,"(0.417, 2.079]",9210,129,0.014006514657980456,0.8896551724137931
det_score,"(0.599, 0.854]",9211,114,0.012376506351101943,0.7862068965517242
positive_hist_len,"(0.999, 43.0]",9354,97,0.010369895231986316,0.6689655172413793
det_score,"(0.854, 0.901]",9218,28,0.0030375352571056628,0.19310344827586207
positive_hist_len,"(43.0, 98.0]",9202,21,0.0022821125842208217,0.14482758620689656
rank_entropy,"(0.217, 0.417]",9210,13,0.0014115092290988057,0.0896551724137931
positive_hist_len,"(98.0, 176.0]",9083,12,0.0013211493999779808,0.08275862068965517
positive_hist_len,"(176.0, 292.0]",9261,12,0.0012957563977972141,0.08275862068965517
rank_margin,"(0.48, 0.629]",9210,7,0.0007600434310532031,0.04827586206896552
positive_hist_len,"(292.0, 525.0]",9150,3,0.0003278688524590164,0.020689655172413793
det_score,"(0.901, 0.924]",9203,2,0.00021732043898728675,0.013793103448275862
rank_entropy,"(0.00233, 0.0844]",9210,2,0.00021715526601520088,0.013793103448275862
det_score,"(0.924, 0.938]",9230,1,0.00010834236186348862,0.006896551724137931
rank_entropy,"(0.0844, 0.217]",9210,1,0.00010857763300760044,0.006896551724137931
rank_margin,"(0.629, 0.743]",9210,1,0.00010857763300760044,0.006896551724137931
det_score,"(0.938, 0.969]",9188,0,0.0,0.0
group_is_ambiguous,0,45764,0,0.0,0.0
group_is_recoverable,0,45905,0,0.0,0.0
positive_base_score,"(0.882, 0.929]",9210,0,0.0,0.0
positive_base_score,"(0.929, 0.955]",9210,0,0.0,0.0
positive_base_score,"(0.955, 0.973]",9210,0,0.0,0.0
positive_base_score,"(0.973, 1.0]",9210,0,0.0,0.0
positive_refined_score,"(0.755, 0.83]",9210,0,0.0,0.0
positive_refined_score,"(0.83, 0.875]",9211,0,0.0,0.0
positive_refined_score,"(0.875, 0.906]",9209,0,0.0,0.0
positive_refined_score,"(0.906, 0.964]",9210,0,0.0,0.0
rank_entropy,"(-0.000807, 0.00233]",9210,0,0.0,0.0
rank_margin,"(0.743, 0.843]",9210,0,0.0,0.0
rank_margin,"(0.843, 0.964]",9210,0,0.0,0.0
