seq,frame,det_index,reason,component_num_detections,component_num_tracks
MOT17-05-FRCNN,5,3,eligible,6,5
MOT17-05-FRCNN,5,5,eligible,6,5
MOT17-05-FRCNN,6,3,eligible,6,5
MOT17-05-FRCNN,7,2,eligible,8,6
MOT17-05-FRCNN,8,3,eligible,7,6
MOT17-05-FRCNN,9,2,eligible,8,6
MOT17-05-FRCNN,10,2,skipped_large,9,8
MOT17-05-FRCNN,10,4,skipped_large,9,8
MOT17-05-FRCNN,12,2,skipped_large,10,9
MOT17-05-FRCNN,12,3,skipped_large,10,9
MOT17-05-FRCNN,13,2,skipped_large,9,9
MOT17-05-FRCNN,13,4,skipped_large,9,9
MOT17-05-FRCNN,16,2,eligible,8,10
MOT17-05-FRCNN,16,4,eligible,8,10
MOT17-05-FRCNN,17,6,skipped_large,9,11
MOT17-05-FRCNN,18,7,eligible,8,11
MOT17-05-FRCNN,19,6,skipped_large,10,11
MOT17-05-FRCNN,33,6,eligible,7,12
MOT17-05-FRCNN,34,7,eligible,8,12
MOT17-05-FRCNN,35,7,eligible,8,13
MOT17-05-FRCNN,36,5,eligible,8,12
MOT17-05-FRCNN,36,7,eligible,8,12
MOT17-05-FRCNN,37,7,skipped_large,9,12
MOT17-05-FRCNN,41,4,eligible,7,12
MOT17-05-FRCNN,49,3,eligible,6,9
MOT17-05-FRCNN,197,7,skipped_large,9,9
MOT17-05-FRCNN,262,5,eligible,6,13
MOT17-05-FRCNN,274,3,eligible,5,12
MOT17-05-FRCNN,276,5,eligible,7,12
MOT17-05-FRCNN,277,6,eligible,8,10
MOT17-05-FRCNN,281,2,eligible,8,11
MOT17-05-FRCNN,281,5,eligible,8,11
MOT17-05-FRCNN,282,5,skipped_large,10,11
MOT17-05-FRCNN,282,8,skipped_large,10,11
MOT17-05-FRCNN,283,2,skipped_large,10,11
MOT17-05-FRCNN,283,4,skipped_large,10,11
MOT17-05-FRCNN,283,7,skipped_large,10,11
MOT17-05-FRCNN,298,6,eligible,8,13
MOT17-05-FRCNN,304,3,skipped_large,12,15
MOT17-05-FRCNN,320,4,eligible,8,16
MOT17-05-FRCNN,321,5,skipped_large,10,16
MOT17-05-FRCNN,321,8,skipped_large,10,16
MOT17-05-FRCNN,322,7,skipped_large,9,17
MOT17-05-FRCNN,323,4,skipped_large,9,15
MOT17-05-FRCNN,327,3,skipped_large,9,13
MOT17-05-FRCNN,359,5,eligible,6,10
MOT17-05-FRCNN,361,5,eligible,6,10
MOT17-05-FRCNN,362,6,eligible,7,10
MOT17-05-FRCNN,387,8,skipped_large,9,12
MOT17-05-FRCNN,391,7,skipped_large,9,12
MOT17-05-FRCNN,394,7,eligible,8,11
MOT17-05-FRCNN,398,4,eligible,7,12
MOT17-05-FRCNN,403,2,eligible,6,9
MOT17-05-FRCNN,404,2,eligible,6,9
MOT17-09-FRCNN,177,6,eligible,7,10
MOT17-09-FRCNN,183,8,skipped_large,9,11
MOT17-09-FRCNN,245,9,skipped_large,12,14
MOT17-09-FRCNN,250,8,skipped_large,12,14
MOT17-11-FRCNN,22,11,skipped_large,14,18
MOT17-11-FRCNN,27,8,skipped_large,13,18
MOT17-11-FRCNN,28,8,skipped_large,13,19
MOT17-11-FRCNN,31,8,skipped_large,14,21
MOT17-11-FRCNN,32,11,skipped_large,13,21
MOT17-11-FRCNN,33,9,skipped_large,13,21
MOT17-11-FRCNN,42,11,skipped_large,14,21
MOT17-11-FRCNN,43,12,skipped_large,14,21
MOT17-11-FRCNN,50,10,skipped_large,14,21
MOT17-11-FRCNN,352,5,eligible,6,12
