seq,HOTA,MOTA,IDF1,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,CLR_Re,CLR_Pr,CLR_FN,CLR_FP,IDSW,MT,ML,Frag,CLR_Frames
MOT17-01-DPM,0.199130,0.182171,0.254272,0.141357,0.280629,0.143860,0.728332,0.300917,0.655008,0.776834,0.191008,0.967033,5218,42,15,0,16,160.000,450
MOT17-01-FRCNN,0.345874,0.295814,0.392767,0.330708,0.364531,0.393170,0.592650,0.403241,0.721897,0.791249,0.481550,0.725871,3344,1173,25,6,10,73.000,450
MOT17-01-SDP,0.362030,0.405271,0.476463,0.372012,0.355058,0.439208,0.599681,0.402605,0.692742,0.774290,0.575814,0.786198,2736,1010,90,7,4,277.000,450
MOT17-03-DPM,0.260605,0.361691,0.345829,0.285828,0.238579,0.296201,0.748962,0.259579,0.646972,0.795500,0.381161,0.963790,64777,1499,539,9,60,2818.000,1500
MOT17-03-FRCNN,0.424798,0.562102,0.553428,0.442063,0.411672,0.461328,0.783399,0.447732,0.713214,0.811754,0.576527,0.979024,44327,1293,217,35,29,1050.000,1500
MOT17-03-SDP,0.498962,0.721060,0.645600,0.556294,0.449039,0.583630,0.779616,0.498638,0.675617,0.807176,0.737569,0.985248,27470,1156,572,63,16,2466.000,1500
MOT17-06-DPM,0.286701,0.356925,0.374514,0.282354,0.292612,0.292497,0.736493,0.377031,0.524234,0.787045,0.383062,0.964530,7270,166,142,13,132,272.000,1194
MOT17-06-FRCNN,0.406863,0.524949,0.508575,0.441571,0.376775,0.464854,0.777109,0.491875,0.569403,0.816411,0.571623,0.955597,5048,313,237,41,62,331.000,1194
MOT17-06-SDP,0.410260,0.556857,0.515369,0.455048,0.371767,0.492452,0.725744,0.491588,0.532139,0.798516,0.630601,0.929340,4353,565,304,67,65,311.000,1194
MOT17-07-DPM,0.221753,0.252353,0.293370,0.204770,0.241559,0.210776,0.726363,0.261411,0.636833,0.783752,0.274788,0.946960,12251,260,119,3,38,445.000,500
MOT17-07-FRCNN,0.299595,0.332386,0.376493,0.294523,0.312397,0.315565,0.689720,0.339196,0.666426,0.782448,0.399929,0.874110,10137,973,168,4,18,514.000,500
MOT17-07-SDP,0.338721,0.451962,0.428143,0.371705,0.310549,0.403341,0.697332,0.344809,0.610241,0.787700,0.520985,0.900727,8092,970,196,11,16,669.000,500
MOT17-08-DPM,0.213572,0.203607,0.242098,0.183220,0.249140,0.188730,0.757647,0.303000,0.546033,0.818988,0.229313,0.920563,16280,418,125,5,46,247.000,625
MOT17-08-FRCNN,0.255903,0.222164,0.279211,0.200711,0.328036,0.208854,0.748404,0.383293,0.688498,0.827675,0.252320,0.904156,15794,565,72,7,40,163.000,625
MOT17-08-SDP,0.293077,0.287067,0.338165,0.252522,0.343479,0.263801,0.742311,0.407680,0.636115,0.808139,0.325838,0.916878,14241,624,195,10,36,506.000,625
MOT17-12-DPM,0.302094,0.347871,0.378932,0.284921,0.320597,0.296800,0.746480,0.367927,0.637299,0.803062,0.375678,0.944864,5411,190,51,8,53,137.000,900
MOT17-12-FRCNN,0.364947,0.372332,0.453426,0.318405,0.419479,0.339042,0.734435,0.510712,0.638429,0.814655,0.418599,0.906773,5039,373,28,11,46,104.000,900
MOT17-12-SDP,0.432145,0.414215,0.560187,0.368157,0.508475,0.406624,0.696897,0.554792,0.738935,0.813131,0.502365,0.860985,4313,703,61,19,38,178.000,900
MOT17-14-DPM,0.142736,0.114051,0.175889,0.090056,0.226953,0.090991,0.748793,0.240171,0.703439,0.789801,0.118974,0.979074,16284,47,44,1,135,293.000,750
MOT17-14-FRCNN,0.263222,0.198344,0.347561,0.237927,0.298785,0.260860,0.598049,0.332694,0.600488,0.749158,0.329762,0.756016,12388,1967,462,10,87,677.000,750
MOT17-14-SDP,0.293166,0.299735,0.411925,0.293217,0.296487,0.326741,0.614485,0.334892,0.582350,0.762091,0.428231,0.805352,10568,1913,462,9,60,936.000,750
COMBINED,0.363046,0.440501,0.460852,0.357733,0.370902,0.376911,0.745909,0.416292,0.663665,0.801612,0.476557,0.943109,295341,16220,4124,339,1007,12627.000,17757
