seq,HOTA,MOTA,IDF1,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,CLR_Re,CLR_Pr,CLR_FN,CLR_FP,IDSW,MT,ML,Frag,CLR_Frames
MOT17-01-DPM,0.506615,0.532403,0.624936,0.487451,0.528347,0.570061,0.699029,0.566349,0.786917,0.841634,0.676589,0.829658,2086,896,34,10,4,123.0,450
MOT17-01-FRCNN,0.506615,0.532403,0.624936,0.487451,0.528347,0.570061,0.699029,0.566349,0.786917,0.841634,0.676589,0.829658,2086,896,34,10,4,123.0,450
MOT17-01-SDP,0.506615,0.532403,0.624936,0.487451,0.528347,0.570061,0.699029,0.566349,0.786917,0.841634,0.676589,0.829658,2086,896,34,10,4,123.0,450
MOT17-03-DPM,0.655778,0.750666,0.820978,0.652955,0.662031,0.737107,0.740915,0.727732,0.776066,0.813722,0.873198,0.877709,13273,12735,91,116,12,535.0,1500
MOT17-03-FRCNN,0.655778,0.750666,0.820978,0.652955,0.662031,0.737107,0.740915,0.727732,0.776066,0.813722,0.873198,0.877709,13273,12735,91,116,12,535.0,1500
MOT17-03-SDP,0.655778,0.750666,0.820978,0.652955,0.662031,0.737107,0.740915,0.727732,0.776066,0.813722,0.873198,0.877709,13273,12735,91,116,12,535.0,1500
MOT17-06-DPM,0.492207,0.585455,0.610803,0.530668,0.460211,0.631012,0.681312,0.577875,0.632624,0.819923,0.773167,0.834799,2673,1803,409,119,26,335.0,1194
MOT17-06-FRCNN,0.492207,0.585455,0.610803,0.530668,0.460211,0.631012,0.681312,0.577875,0.632624,0.819923,0.773167,0.834799,2673,1803,409,119,26,335.0,1194
MOT17-06-SDP,0.492207,0.585455,0.610803,0.530668,0.460211,0.631012,0.681312,0.577875,0.632624,0.819923,0.773167,0.834799,2673,1803,409,119,26,335.0,1194
MOT17-07-DPM,0.484011,0.676848,0.55551,0.575972,0.408677,0.644262,0.748128,0.443856,0.732837,0.834537,0.775232,0.896618,3797,1510,152,27,3,332.0,500
MOT17-07-FRCNN,0.484011,0.676848,0.55551,0.575972,0.408677,0.644262,0.748128,0.443856,0.732837,0.834537,0.775232,0.896618,3797,1510,152,27,3,332.0,500
MOT17-07-SDP,0.484011,0.676848,0.55551,0.575972,0.408677,0.644262,0.748128,0.443856,0.732837,0.834537,0.775232,0.896618,3797,1510,152,27,3,332.0,500
MOT17-08-DPM,0.454219,0.586395,0.540611,0.512279,0.409523,0.570212,0.738785,0.47282,0.66573,0.823483,0.685192,0.887758,6650,1830,257,31,6,530.0,625
MOT17-08-FRCNN,0.454219,0.586395,0.540611,0.512279,0.409523,0.570212,0.738785,0.47282,0.66573,0.823483,0.685192,0.887758,6650,1830,257,31,6,530.0,625
MOT17-08-SDP,0.454219,0.586395,0.540611,0.512279,0.409523,0.570212,0.738785,0.47282,0.66573,0.823483,0.685192,0.887758,6650,1830,257,31,6,530.0,625
MOT17-12-DPM,0.545971,0.548056,0.660535,0.509031,0.588114,0.585846,0.726399,0.650173,0.783444,0.846809,0.680512,0.843777,2769,1092,56,38,22,211.0,900
MOT17-12-FRCNN,0.545971,0.548056,0.660535,0.509031,0.588114,0.585846,0.726399,0.650173,0.783444,0.846809,0.680512,0.843777,2769,1092,56,38,22,211.0,900
MOT17-12-SDP,0.545971,0.548056,0.660535,0.509031,0.588114,0.585846,0.726399,0.650173,0.783444,0.846809,0.680512,0.843777,2769,1092,56,38,22,211.0,900
