seq,HOTA,MOTA,IDF1,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,CLR_Re,CLR_Pr,CLR_FN,CLR_FP,IDSW,MT,ML,Frag,CLR_Frames
MOT17-01-DPM,0.485032,0.531628,0.59146,0.48608,0.48542,0.56896,0.697679,0.521648,0.780761,0.84111,0.676589,0.829658,2086,896,39,10,4,123.0,450
MOT17-01-FRCNN,0.485032,0.531628,0.59146,0.48608,0.48542,0.56896,0.697679,0.521648,0.780761,0.84111,0.676589,0.829658,2086,896,39,10,4,123.0,450
MOT17-01-SDP,0.485032,0.531628,0.59146,0.48608,0.48542,0.56896,0.697679,0.521648,0.780761,0.84111,0.676589,0.829658,2086,896,39,10,4,123.0,450
MOT17-03-DPM,0.654734,0.750666,0.816811,0.654628,0.658288,0.738332,0.742146,0.724285,0.773961,0.814222,0.873198,0.877709,13273,12735,91,116,12,535.0,1500
MOT17-03-FRCNN,0.654734,0.750666,0.816811,0.654628,0.658288,0.738332,0.742146,0.724285,0.773961,0.814222,0.873198,0.877709,13273,12735,91,116,12,535.0,1500
MOT17-03-SDP,0.654734,0.750666,0.816811,0.654628,0.658288,0.738332,0.742146,0.724285,0.773961,0.814222,0.873198,0.877709,13273,12735,91,116,12,535.0,1500
MOT17-06-DPM,0.487619,0.580788,0.601198,0.52945,0.453056,0.630105,0.680333,0.561642,0.63457,0.819691,0.773082,0.834708,2674,1804,462,119,26,333.0,1194
MOT17-06-FRCNN,0.487619,0.580788,0.601198,0.52945,0.453056,0.630105,0.680333,0.561642,0.63457,0.819691,0.773082,0.834708,2674,1804,462,119,26,333.0,1194
MOT17-06-SDP,0.487619,0.580788,0.601198,0.52945,0.453056,0.630105,0.680333,0.561642,0.63457,0.819691,0.773082,0.834708,2674,1804,462,119,26,333.0,1194
MOT17-07-DPM,0.475508,0.675546,0.538493,0.572561,0.396833,0.644262,0.745141,0.437436,0.727107,0.833162,0.77464,0.895933,3807,1520,154,27,3,332.0,500
MOT17-07-FRCNN,0.475508,0.675546,0.538493,0.572561,0.396833,0.644262,0.745141,0.437436,0.727107,0.833162,0.77464,0.895933,3807,1520,154,27,3,332.0,500
MOT17-07-SDP,0.475508,0.675546,0.538493,0.572561,0.396833,0.644262,0.745141,0.437436,0.727107,0.833162,0.77464,0.895933,3807,1520,154,27,3,332.0,500
MOT17-08-DPM,0.449862,0.586442,0.533558,0.511309,0.402616,0.569452,0.737801,0.464969,0.649437,0.823182,0.685098,0.887635,6652,1832,252,31,6,525.0,625
MOT17-08-FRCNN,0.449862,0.586442,0.533558,0.511309,0.402616,0.569452,0.737801,0.464969,0.649437,0.823182,0.685098,0.887635,6652,1832,252,31,6,525.0,625
MOT17-08-SDP,0.449862,0.586442,0.533558,0.511309,0.402616,0.569452,0.737801,0.464969,0.649437,0.823182,0.685098,0.887635,6652,1832,252,31,6,525.0,625
MOT17-12-DPM,0.538035,0.547825,0.64278,0.511111,0.569111,0.5874,0.728326,0.63153,0.775995,0.847234,0.680282,0.84392,2768,1091,60,38,22,210.0,900
MOT17-12-FRCNN,0.538035,0.547825,0.64278,0.511111,0.569111,0.5874,0.728326,0.63153,0.775995,0.847234,0.680282,0.84392,2768,1091,60,38,22,210.0,900
MOT17-12-SDP,0.538035,0.547825,0.64278,0.511111,0.569111,0.5874,0.728326,0.63153,0.775995,0.847234,0.680282,0.84392,2768,1091,60,38,22,210.0,900
MOT17-14-DPM,0.473854,0.557269,0.63625,0.490616,0.460828,0.539956,0.739533,0.495703,0.728735,0.822112,0.663961,0.909374,6211,1223,749,51,17,489.0,750
MOT17-14-FRCNN,0.473854,0.557269,0.63625,0.490616,0.460828,0.539956,0.739533,0.495703,0.728735,0.822112,0.663961,0.909374,6211,1223,749,51,17,489.0,750
MOT17-14-SDP,0.473854,0.557269,0.63625,0.490616,0.460828,0.539956,0.739533,0.495703,0.728735,0.822112,0.663961,0.909374,6211,1223,749,51,17,489.0,750
COMBINED,0.583447,0.678965,0.718418,0.594358,0.576003,0.671875,0.735929,0.638462,0.747523,0.819668,0.800767,0.87711,112413,63303,5421,1176,270,7641.0,17757
