seq,HOTA,MOTA,IDF1,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,CLR_Re,CLR_Pr,CLR_FN,CLR_FP,IDSW,MT,ML,Frag,CLR_Frames
MOT17-01-DPM,0.186128,0.182326,0.230127,0.145414,0.238418,0.148519,0.71649,0.260871,0.59101,0.775789,0.196744,0.94914,5181,68,25,0,15,179.0,450
MOT17-01-FRCNN,0.341494,0.290698,0.393656,0.330316,0.355606,0.394778,0.587928,0.404032,0.66253,0.791506,0.483101,0.719464,3334,1215,26,6,9,75.0,450
MOT17-01-SDP,0.342645,0.390078,0.421631,0.371541,0.318499,0.44306,0.591664,0.355675,0.67113,0.774586,0.577674,0.771429,2724,1104,106,7,4,284.0,450
MOT17-03-DPM,0.267728,0.365063,0.353284,0.292654,0.246005,0.303953,0.745863,0.265434,0.663244,0.795317,0.389405,0.955552,63914,1896,652,9,57,3188.0,1500
MOT17-03-FRCNN,0.430149,0.562923,0.56351,0.442078,0.422041,0.461839,0.781717,0.4585,0.720611,0.81133,0.577922,0.978203,44181,1348,222,35,28,1096.0,1500
MOT17-03-SDP,0.499989,0.724433,0.644719,0.556885,0.450487,0.585414,0.776785,0.500318,0.672207,0.806111,0.741581,0.984002,27050,1262,533,66,15,2505.0,1500
MOT17-06-DPM,0.28134,0.360489,0.374805,0.289388,0.275168,0.300796,0.730239,0.356353,0.520189,0.785104,0.395112,0.959209,7128,198,210,15,127,343.0,1194
MOT17-06-FRCNN,0.384884,0.527325,0.472372,0.444048,0.335465,0.468767,0.773013,0.464624,0.527911,0.815307,0.576714,0.951022,4988,350,232,43,60,347.0,1194
MOT17-06-SDP,0.403352,0.555075,0.499572,0.457676,0.357514,0.496789,0.723003,0.485566,0.523904,0.798576,0.63425,0.923058,4310,623,310,67,63,340.0,1194
MOT17-07-DPM,0.2429,0.256734,0.312684,0.212268,0.279622,0.219552,0.716833,0.294876,0.665327,0.782939,0.286036,0.9339,12061,342,153,3,37,538.0,500
MOT17-07-FRCNN,0.297763,0.329959,0.363358,0.298674,0.304891,0.320968,0.686516,0.331444,0.659146,0.782465,0.404842,0.865915,10054,1059,206,5,17,556.0,500
MOT17-07-SDP,0.346609,0.450482,0.441315,0.373776,0.323245,0.406422,0.695118,0.353933,0.632482,0.787497,0.523886,0.896021,8043,1027,213,11,16,694.0,500
MOT17-08-DPM,0.20789,0.203229,0.239569,0.184812,0.234083,0.191219,0.743615,0.291226,0.551813,0.815638,0.233479,0.907953,16192,500,139,5,46,275.0,625
MOT17-08-FRCNN,0.255913,0.222685,0.280078,0.202328,0.325574,0.210967,0.743117,0.38166,0.68654,0.826541,0.255113,0.898616,15735,608,77,7,40,177.0,625
MOT17-08-SDP,0.29883,0.286215,0.342218,0.253352,0.355752,0.265084,0.73903,0.407566,0.654142,0.80775,0.327258,0.912366,14211,664,203,10,36,519.0,625
MOT17-12-DPM,0.299118,0.346948,0.378953,0.29039,0.308339,0.304112,0.737888,0.362495,0.631044,0.802884,0.383754,0.931131,5341,246,73,8,51,158.0,900
MOT17-12-FRCNN,0.364245,0.371063,0.451461,0.321235,0.414255,0.343724,0.727308,0.505441,0.63436,0.814226,0.424022,0.897217,4992,421,38,12,46,121.0,900
MOT17-12-SDP,0.428377,0.405677,0.551645,0.367663,0.500476,0.410274,0.684211,0.54744,0.734047,0.812222,0.50675,0.845103,4275,805,71,19,37,201.0,900
MOT17-14-DPM,0.147459,0.120868,0.187042,0.099485,0.219165,0.100898,0.7345,0.23208,0.700309,0.7895,0.131743,0.959039,16048,104,97,2,132,410.0,750
MOT17-14-FRCNN,0.256439,0.192177,0.333022,0.240843,0.281546,0.265709,0.590277,0.311373,0.590384,0.748298,0.33447,0.743029,12301,2138,492,10,83,722.0,750
MOT17-14-SDP,0.298756,0.288752,0.422418,0.292647,0.308559,0.330175,0.598884,0.344422,0.603861,0.760112,0.435265,0.7895,10438,2145,563,10,58,1003.0,750
COMBINED,0.364761,0.441245,0.46208,0.36032,0.371821,0.38081,0.741292,0.417064,0.665585,0.800831,0.481591,0.937475,292501,18123,4641,350,977,13731.0,17757
