seq,HOTA,MOTA,IDF1,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,CLR_Re,CLR_Pr,CLR_FN,CLR_FP,IDSW,MT,ML,Frag,CLR_Frames
MOT17-01-DPM,0.451932,0.556589,0.542915,0.491223,0.417025,0.553782,0.734504,0.494161,0.669576,0.842777,0.658140,0.872918,2205,618,37,10,6,103.000,450
MOT17-01-FRCNN,0.451932,0.556589,0.542915,0.491223,0.417025,0.553782,0.734504,0.494161,0.669576,0.842777,0.658140,0.872918,2205,618,37,10,6,103.000,450
MOT17-01-SDP,0.451932,0.556589,0.542915,0.491223,0.417025,0.553782,0.734504,0.494161,0.669576,0.842777,0.658140,0.872918,2205,618,37,10,6,103.000,450
MOT17-03-DPM,0.588027,0.740817,0.724918,0.622119,0.558887,0.669448,0.784295,0.615317,0.763763,0.822506,0.797908,0.934794,21154,5826,150,84,12,1022.000,1500
MOT17-03-FRCNN,0.588027,0.740817,0.724918,0.622119,0.558887,0.669448,0.784295,0.615317,0.763763,0.822506,0.797908,0.934794,21154,5826,150,84,12,1022.000,1500
MOT17-03-SDP,0.588027,0.740817,0.724918,0.622119,0.558887,0.669448,0.784295,0.615317,0.763763,0.822506,0.797908,0.934794,21154,5826,150,84,12,1022.000,1500
MOT17-06-DPM,0.433495,0.609386,0.527256,0.531710,0.357002,0.614084,0.704887,0.553302,0.475884,0.820691,0.753225,0.864602,2908,1390,305,111,33,263.000,1194
MOT17-06-FRCNN,0.433495,0.609386,0.527256,0.531710,0.357002,0.614084,0.704887,0.553302,0.475884,0.820691,0.753225,0.864602,2908,1390,305,111,33,263.000,1194
MOT17-06-SDP,0.433495,0.609386,0.527256,0.531710,0.357002,0.614084,0.704887,0.553302,0.475884,0.820691,0.753225,0.864602,2908,1390,305,111,33,263.000,1194
MOT17-07-DPM,0.451913,0.685846,0.526498,0.569870,0.359745,0.624329,0.770176,0.423506,0.601019,0.834715,0.752205,0.927925,4186,987,134,26,5,255.000,500
MOT17-07-FRCNN,0.451913,0.685846,0.526498,0.569870,0.359745,0.624329,0.770176,0.423506,0.601019,0.834715,0.752205,0.927925,4186,987,134,26,5,255.000,500
MOT17-07-SDP,0.451913,0.685846,0.526498,0.569870,0.359745,0.624329,0.770176,0.423506,0.601019,0.834715,0.752205,0.927925,4186,987,134,26,5,255.000,500
MOT17-08-DPM,0.391587,0.591271,0.458118,0.502972,0.311692,0.555427,0.744800,0.410131,0.506322,0.822605,0.675156,0.905351,6862,1491,281,30,6,497.000,625
MOT17-08-FRCNN,0.391587,0.591271,0.458118,0.502972,0.311692,0.555427,0.744800,0.410131,0.506322,0.822605,0.675156,0.905351,6862,1491,281,30,6,497.000,625
MOT17-08-SDP,0.391587,0.591271,0.458118,0.502972,0.311692,0.555427,0.744800,0.410131,0.506322,0.822605,0.675156,0.905351,6862,1491,281,30,6,497.000,625
MOT17-12-DPM,0.529001,0.570209,0.647347,0.512496,0.548210,0.567154,0.766494,0.657327,0.710224,0.848394,0.657552,0.888664,2968,714,43,35,29,163.000,900
MOT17-12-FRCNN,0.529001,0.570209,0.647347,0.512496,0.548210,0.567154,0.766494,0.657327,0.710224,0.848394,0.657552,0.888664,2968,714,43,35,29,163.000,900
MOT17-12-SDP,0.529001,0.570209,0.647347,0.512496,0.548210,0.567154,0.766494,0.657327,0.710224,0.848394,0.657552,0.888664,2968,714,43,35,29,163.000,900
MOT17-14-DPM,0.450146,0.539144,0.601960,0.454135,0.449887,0.484565,0.771289,0.498143,0.706503,0.826023,0.593410,0.944540,7515,644,359,39,32,333.000,750
MOT17-14-FRCNN,0.450146,0.539144,0.601960,0.454135,0.449887,0.484565,0.771289,0.498143,0.706503,0.826023,0.593410,0.944540,7515,644,359,39,32,333.000,750
MOT17-14-SDP,0.450146,0.539144,0.601960,0.454135,0.449887,0.484565,0.771289,0.498143,0.706503,0.826023,0.593410,0.944540,7515,644,359,39,32,333.000,750
COMBINED,0.528090,0.676849,0.644937,0.571625,0.491005,0.622270,0.770224,0.563347,0.696462,0.825429,0.745858,0.923197,143394,35010,3927,1005,369,7908.000,17757
