seq,HOTA,MOTA,IDF1,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,CLR_Re,CLR_Pr,CLR_FN,CLR_FP,IDSW,MT,ML,Frag,CLR_Frames
MOT17-01-DPM,0.504693,0.561085,0.608241,0.493466,0.517986,0.554166,0.739270,0.559246,0.778756,0.844083,0.657054,0.876525,2212,597,22,10,6,103.000,450
MOT17-01-FRCNN,0.504693,0.561085,0.608241,0.493466,0.517986,0.554166,0.739270,0.559246,0.778756,0.844083,0.657054,0.876525,2212,597,22,10,6,103.000,450
MOT17-01-SDP,0.504693,0.561085,0.608241,0.493466,0.517986,0.554166,0.739270,0.559246,0.778756,0.844083,0.657054,0.876525,2212,597,22,10,6,103.000,450
MOT17-03-DPM,0.606076,0.741237,0.753182,0.623532,0.591960,0.670308,0.785418,0.632393,0.804877,0.822713,0.797956,0.934986,21149,5808,129,83,12,1027.000,1500
MOT17-03-FRCNN,0.606076,0.741237,0.753182,0.623532,0.591960,0.670308,0.785418,0.632393,0.804877,0.822713,0.797956,0.934986,21149,5808,129,83,12,1027.000,1500
MOT17-03-SDP,0.606076,0.741237,0.753182,0.623532,0.591960,0.670308,0.785418,0.632393,0.804877,0.822713,0.797956,0.934986,21149,5808,129,83,12,1027.000,1500
MOT17-06-DPM,0.504521,0.614986,0.629338,0.533102,0.480623,0.607081,0.717609,0.583290,0.665126,0.821525,0.743126,0.878423,3027,1212,298,110,36,247.000,1194
MOT17-06-FRCNN,0.504521,0.614986,0.629338,0.533102,0.480623,0.607081,0.717609,0.583290,0.665126,0.821525,0.743126,0.878423,3027,1212,298,110,36,247.000,1194
MOT17-06-SDP,0.504521,0.614986,0.629338,0.533102,0.480623,0.607081,0.717609,0.583290,0.665126,0.821525,0.743126,0.878423,3027,1212,298,110,36,247.000,1194
MOT17-07-DPM,0.485008,0.693305,0.569086,0.572262,0.412656,0.619176,0.783384,0.447680,0.726119,0.835706,0.744983,0.942555,4308,767,106,26,6,237.000,500
MOT17-07-FRCNN,0.485008,0.693305,0.569086,0.572262,0.412656,0.619176,0.783384,0.447680,0.726119,0.835706,0.744983,0.942555,4308,767,106,26,6,237.000,500
MOT17-07-SDP,0.485008,0.693305,0.569086,0.572262,0.412656,0.619176,0.783384,0.447680,0.726119,0.835706,0.744983,0.942555,4308,767,106,26,6,237.000,500
MOT17-08-DPM,0.449348,0.598087,0.532839,0.507331,0.404920,0.555278,0.755535,0.465603,0.639819,0.824134,0.671700,0.913945,6935,1336,219,29,7,479.000,625
MOT17-08-FRCNN,0.449348,0.598087,0.532839,0.507331,0.404920,0.555278,0.755535,0.465603,0.639819,0.824134,0.671700,0.913945,6935,1336,219,29,7,479.000,625
MOT17-08-SDP,0.449348,0.598087,0.532839,0.507331,0.404920,0.555278,0.755535,0.465603,0.639819,0.824134,0.671700,0.913945,6935,1336,219,29,7,479.000,625
MOT17-12-DPM,0.542174,0.574247,0.655442,0.516167,0.571664,0.565600,0.778104,0.637950,0.773528,0.849848,0.652360,0.897460,3013,646,31,34,30,144.000,900
MOT17-12-FRCNN,0.542174,0.574247,0.655442,0.516167,0.571664,0.565600,0.778104,0.637950,0.773528,0.849848,0.652360,0.897460,3013,646,31,34,30,144.000,900
MOT17-12-SDP,0.542174,0.574247,0.655442,0.516167,0.571664,0.565600,0.778104,0.637950,0.773528,0.849848,0.652360,0.897460,3013,646,31,34,30,144.000,900
MOT17-14-DPM,0.454705,0.530704,0.623478,0.452491,0.460078,0.481586,0.774418,0.493225,0.753285,0.826707,0.589298,0.947625,7591,602,481,38,31,313.000,750
MOT17-14-FRCNN,0.454705,0.530704,0.623478,0.452491,0.460078,0.481586,0.774418,0.493225,0.753285,0.826707,0.589298,0.947625,7591,602,481,38,31,313.000,750
MOT17-14-SDP,0.454705,0.530704,0.623478,0.452491,0.460078,0.481586,0.774418,0.493225,0.753285,0.826707,0.589298,0.947625,7591,602,481,38,31,313.000,750
COMBINED,0.553735,0.678380,0.684356,0.573439,0.537742,0.621479,0.775056,0.584219,0.767271,0.825988,0.743535,0.927272,144705,32904,3858,990,384,7650.000,17757
