threshold,topk,fallback_rule,hota_sum,hota_positive_windows,hota_negative_windows,hota_worst_sequence,hota_catastrophic_windows,local_sum,local_positive_windows,local_negative_windows,local_worst_sequence,fallbacks,abstains,mot20_01_hota,mot20_02_hota,mot20_03_hota,mot20_05_hota
0.15,2,max_motion_min,0.497074,8,7,-0.064545,1,0.225135181879,5,3,-0.145178210997,0,0,0.570522,-0.027367,-0.064545,0.018464
0.15,2,max_motion_q25,0.497074,8,7,-0.064545,1,0.225135181879,5,3,-0.145178210997,0,0,0.570522,-0.027367,-0.064545,0.018464
0.15,2,lexicographic_min_q25,0.497074,8,7,-0.064545,1,0.225135181879,5,3,-0.145178210997,0,0,0.570522,-0.027367,-0.064545,0.018464
0.15,3,max_motion_min,0.497074,8,7,-0.064545,1,0.225135181879,5,3,-0.145178210997,0,0,0.570522,-0.027367,-0.064545,0.018464
0.15,3,max_motion_q25,0.497074,8,7,-0.064545,1,0.225135181879,5,3,-0.145178210997,0,0,0.570522,-0.027367,-0.064545,0.018464
0.15,3,lexicographic_min_q25,0.497074,8,7,-0.064545,1,0.225135181879,5,3,-0.145178210997,0,0,0.570522,-0.027367,-0.064545,0.018464
0.15,5,max_motion_min,0.497074,8,7,-0.064545,1,0.225135181879,5,3,-0.145178210997,0,0,0.570522,-0.027367,-0.064545,0.018464
0.15,5,max_motion_q25,0.497074,8,7,-0.064545,1,0.225135181879,5,3,-0.145178210997,0,0,0.570522,-0.027367,-0.064545,0.018464
0.15,5,lexicographic_min_q25,0.497074,8,7,-0.064545,1,0.225135181879,5,3,-0.145178210997,0,0,0.570522,-0.027367,-0.064545,0.018464
0.2,2,max_motion_min,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.2,2,max_motion_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.2,2,lexicographic_min_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.2,3,max_motion_min,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.2,3,max_motion_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.2,3,lexicographic_min_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.2,5,max_motion_min,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.2,5,max_motion_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.2,5,lexicographic_min_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.25,2,max_motion_min,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.25,2,max_motion_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.25,2,lexicographic_min_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.25,3,max_motion_min,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.25,3,max_motion_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.25,3,lexicographic_min_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.25,5,max_motion_min,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.25,5,max_motion_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.25,5,lexicographic_min_q25,0.557514,8,7,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,0,0.570522,-0.027367,-0.004105,0.018464
0.3,2,max_motion_min,0.557614,8,6,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,1,0.570522,-0.027367,-0.004005,0.018464
0.3,2,max_motion_q25,0.557614,8,6,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,1,0.570522,-0.027367,-0.004005,0.018464
0.3,2,lexicographic_min_q25,0.557614,8,6,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,1,0.570522,-0.027367,-0.004005,0.018464
