seq,canonical_rank,u,v,boundary_frame,transaction_type,full_idtp_delta_norm,h300_idtp_delta_norm,h120_idtp_delta_norm,full_donor_minus_receiver_support_frac,full_row_net,h60_idtp_delta_norm,h300_donor_minus_receiver_support_frac,h300_pairwise_net_norm,full_pairwise_net_norm,h300_row_net,h120_donor_minus_receiver_support_frac,h120_pairwise_net_norm,h120_row_net,delta_HOTA,delta_AssA,mean_positive_fraction,mean_target_q25,mean_target_mean,mean_target_min,prediction_dispersion,risk_lcb,mode,held_out,rank_start,rank_end,score_name
MOT20-01,25,17,29,280,v_to_u,0.011940298507,0.013513513514,0.033472803347,1.0,1.0,-0.067226890756,1.0,0.554794520548,0.607250755287,1.0,1.0,0.125541125541,1.0,0.040357,0.0829,1.0,0.514284694734,0.727367212205,0.073843445136,0.025724989935,0.488559704798,existing,MOT20-01,21,40,mean_positive_fraction
MOT20-01,60,24,26,272,u_to_v,-0.234303215926,-0.234303215926,-0.384615384615,-0.987096774194,-0.987096774194,-0.368098159509,-0.987096774194,-0.947454333463,-0.947454333463,-0.987096774194,-1.0,-0.895833333333,-1.0,-0.528063,-0.90969,0.769230769231,0.095535258445,0.231341280852,-0.927098723376,0.024051399364,0.071483859081,existing,MOT20-01,41,60,mean_positive_fraction
MOT20-01,74,17,29,181,v_to_u,0.011940298507,0.013513513514,0.033472803347,1.0,1.0,-0.067226890756,1.0,0.554794520548,0.607250755287,1.0,1.0,0.125541125541,1.0,0.040357,0.0829,1.0,0.374480766052,0.458615890116,0.144109303951,0.026840333987,0.347640432065,existing,MOT20-01,61,80,mean_positive_fraction
MOT20-01,90,17,29,276,v_to_u,0.011940298507,0.013513513514,0.033472803347,1.0,1.0,-0.067226890756,1.0,0.554794520548,0.607250755287,1.0,1.0,0.125541125541,1.0,0.040357,0.0829,1.0,0.488713801932,0.686309470007,0.096126762216,0.018967523088,0.469746278843,existing,MOT20-01,81,100,mean_positive_fraction
MOT20-02,21,36,60,175,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00204,-0.00361,1.0,0.698972462906,0.782438682407,0.1894550522,0.025888571401,0.673083891506,existing,MOT20-02,21,40,mean_positive_fraction
MOT20-02,49,180,232,1409,v_to_u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000196,0.00035,1.0,0.535563565244,0.578448428103,0.175807177803,0.015639077998,0.519924487246,existing,MOT20-02,41,60,mean_positive_fraction
MOT20-02,73,312,412,2043,v_to_u,-0.051111111111,-0.060846560847,-0.116161616162,-1.0,-1.0,-0.1796875,-1.0,-0.76338028169,-0.466042154567,-1.0,-1.0,-0.954285714286,-1.0,-0.00954,-0.02501,1.0,0.807877188573,1.063751169162,0.233156933575,0.037341595338,0.770535593234,existing,MOT20-02,61,80,mean_positive_fraction
MOT20-02,99,413,431,2438,u_to_v,-0.009252120278,-0.019639934534,-0.047619047619,-1.0,-1.0,-0.090909090909,-1.0,-0.983305509182,-0.992217898833,-1.0,-1.0,-1.0,-1.0,-0.01027,-0.01798,1.0,0.698911260743,0.92997353853,0.309910728317,0.032893748454,0.666017512288,existing,MOT20-02,81,100,mean_positive_fraction
MOT20-03,27,355,403,2122,v_to_u,0.001216545012,0.003322259136,0.004132231405,0.666666666667,0.666666666667,0.008196721311,0.666666666667,0.572621035058,0.658338411538,0.666666666667,0.333333333333,0.430962343096,0.333333333333,5.5e-05,0.00012,1.0,0.963276058782,0.994235987734,0.199500373694,0.049370035643,0.913906023138,existing,MOT20-03,21,40,mean_positive_fraction
MOT20-03,50,399,435,1989,v_to_u,-0.146394756009,-0.244823386114,-0.333333333333,-0.851694915254,-0.851694915254,-0.333333333333,-0.909502262443,-0.909502262443,-0.836955711581,-0.909502262443,-1.0,-1.0,-1.0,-0.06296,-0.120037,1.0,0.842443171873,0.977311148698,0.57609404907,0.034210348598,0.808232823275,existing,MOT20-03,41,60,mean_positive_fraction
