metric,pooled_spearman_delta_AssA,positive_hota_auc,positive_sequence_spearman_count,window_selected,window_positive,window_utility_sum,window_worst_sequence_utility,qualified_auxiliary_target
full_idtp_delta_norm,0.803645253665,0.950506120527,4,16,15,0.703428,0.012615,1
h300_idtp_delta_norm,0.786446893936,0.909016007533,4,16,14,0.734082,0.009889,1
h120_idtp_delta_norm,0.718423490493,0.833274482109,4,16,13,0.809089,0.001104,1
full_donor_minus_receiver_support_frac,0.623190375127,0.942443502825,4,16,15,0.432889,0.013918,1
full_row_net,0.616883075792,0.938618173258,4,16,15,0.432889,0.013918,1
h60_idtp_delta_norm,0.611088801276,0.766184086629,4,16,11,0.633515,0.001104,1
h300_donor_minus_receiver_support_frac,0.606577855122,0.926200564972,4,16,14,0.425203,0.011192,1
h300_pairwise_net_norm,0.605070594928,0.937558851224,4,16,14,0.775104,0.009889,1
full_pairwise_net_norm,0.602927119362,0.97233992467,4,16,14,0.783056,0.008315,1
h300_row_net,0.600681620701,0.92302259887,4,16,14,0.425203,0.011192,1
h120_donor_minus_receiver_support_frac,0.558803856623,0.848811205273,4,16,15,0.410303,0.007782,1
h120_pairwise_net_norm,0.545317752705,0.861405367232,4,16,14,0.700804,0.008644,1
h120_row_net,0.539822400307,0.843632297552,4,16,15,0.410303,0.007782,1
h30_idtp_delta_norm,0.455212516339,0.684851694915,4,16,12,0.538914,0.005202,0
h60_pairwise_net_norm,0.430076985741,0.737405838041,4,16,11,0.508069,-0.00947,0
h60_donor_minus_receiver_support_frac,0.395195453217,0.684733992467,4,16,13,0.692403,0.006332,0
h60_row_net,0.367849994989,0.676553672316,4,16,12,0.679558,-0.006513,0
h30_pairwise_net_norm,0.349816208934,0.625765065913,4,16,11,0.42965,-0.034316,0
h30_donor_minus_receiver_support_frac,0.332370448571,0.621292372881,4,16,12,0.493249,-0.028759,0
h30_row_net,0.304200269091,0.60593220339,4,16,12,0.502846,-0.028759,0
