seq,canonical_rank,u,v,boundary_frame,transaction_type,name,frame,frames_after_handoff,baseline_label,edited_label,matched_gt_id,matched_gt_iou,donor_dominant_gt_full,receiver_dominant_gt_full,aggregate_receiver_dominant_gt_full,row_class
MOT20-01,21,17,29,141,v_to_u,mot20_01_r0021_17_29_f141_v_to_u,340,0,17,29,30,0.93061657937,30,29,29,benefit
MOT20-01,21,17,29,141,v_to_u,mot20_01_r0021_17_29_f141_v_to_u,341,1,17,29,30,0.911853160815,30,29,29,benefit
MOT20-01,21,17,29,141,v_to_u,mot20_01_r0021_17_29_f141_v_to_u,342,2,17,29,30,0.862308450372,30,29,29,benefit
MOT20-01,21,17,29,141,v_to_u,mot20_01_r0021_17_29_f141_v_to_u,343,3,17,29,30,0.905405217391,30,29,29,benefit
MOT20-01,21,17,29,141,v_to_u,mot20_01_r0021_17_29_f141_v_to_u,344,4,17,29,30,0.864667992553,30,29,29,benefit
MOT20-01,21,17,29,141,v_to_u,mot20_01_r0021_17_29_f141_v_to_u,345,5,17,29,30,0.840962788925,30,29,29,benefit
MOT20-01,21,17,29,141,v_to_u,mot20_01_r0021_17_29_f141_v_to_u,346,6,17,29,30,0.834533111398,30,29,29,benefit
MOT20-01,21,17,29,141,v_to_u,mot20_01_r0021_17_29_f141_v_to_u,347,7,17,29,30,0.813916721035,30,29,29,benefit
MOT20-01,23,17,29,105,v_to_u,mot20_01_r0023_17_29_f105_v_to_u,340,0,17,29,30,0.93061657937,30,29,29,benefit
MOT20-01,23,17,29,105,v_to_u,mot20_01_r0023_17_29_f105_v_to_u,341,1,17,29,30,0.911853160815,30,29,29,benefit
MOT20-01,23,17,29,105,v_to_u,mot20_01_r0023_17_29_f105_v_to_u,342,2,17,29,30,0.862308450372,30,29,29,benefit
MOT20-01,23,17,29,105,v_to_u,mot20_01_r0023_17_29_f105_v_to_u,343,3,17,29,30,0.905405217391,30,29,29,benefit
MOT20-01,23,17,29,105,v_to_u,mot20_01_r0023_17_29_f105_v_to_u,344,4,17,29,30,0.864667992553,30,29,29,benefit
MOT20-01,23,17,29,105,v_to_u,mot20_01_r0023_17_29_f105_v_to_u,345,5,17,29,30,0.840962788925,30,29,29,benefit
MOT20-01,23,17,29,105,v_to_u,mot20_01_r0023_17_29_f105_v_to_u,346,6,17,29,30,0.834533111398,30,29,29,benefit
MOT20-01,23,17,29,105,v_to_u,mot20_01_r0023_17_29_f105_v_to_u,347,7,17,29,30,0.813916721035,30,29,29,benefit
MOT20-01,25,17,29,280,v_to_u,mot20_01_r0025_17_29_f280_v_to_u,340,0,17,29,30,0.93061657937,30,29,29,benefit
MOT20-01,25,17,29,280,v_to_u,mot20_01_r0025_17_29_f280_v_to_u,341,1,17,29,30,0.911853160815,30,29,29,benefit
MOT20-01,25,17,29,280,v_to_u,mot20_01_r0025_17_29_f280_v_to_u,342,2,17,29,30,0.862308450372,30,29,29,benefit
MOT20-01,25,17,29,280,v_to_u,mot20_01_r0025_17_29_f280_v_to_u,343,3,17,29,30,0.905405217391,30,29,29,benefit
MOT20-01,25,17,29,280,v_to_u,mot20_01_r0025_17_29_f280_v_to_u,344,4,17,29,30,0.864667992553,30,29,29,benefit
MOT20-01,25,17,29,280,v_to_u,mot20_01_r0025_17_29_f280_v_to_u,345,5,17,29,30,0.840962788925,30,29,29,benefit
MOT20-01,25,17,29,280,v_to_u,mot20_01_r0025_17_29_f280_v_to_u,346,6,17,29,30,0.834533111398,30,29,29,benefit
MOT20-01,25,17,29,280,v_to_u,mot20_01_r0025_17_29_f280_v_to_u,347,7,17,29,30,0.813916721035,30,29,29,benefit
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,340,0,10,29,7,0.814912331975,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,341,1,10,29,7,0.795461713521,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,342,2,10,29,7,0.789166205178,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,343,3,10,29,7,0.814983248463,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,344,4,10,29,7,0.788354310823,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,345,5,10,29,7,0.817960003623,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,346,6,10,29,7,0.785971945645,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,347,7,10,29,7,0.829507513349,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,348,8,10,29,7,0.844417289405,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,349,9,10,29,7,0.858576786923,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,350,10,10,29,7,0.861820434429,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,351,11,10,29,7,0.882580297579,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,352,12,10,29,7,0.913053000235,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,353,13,10,29,7,0.925577427261,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,354,14,10,29,7,0.936191870597,30,7,7,harm
MOT20-01,27,10,29,130,v_to_u,mot20_01_r0027_10_29_f130_v_to_u,355,15,10,29,7,0.912514992629,30,7,7,harm
