metric,target,pearson,pearson_p,pearson_n,spearman,spearman_p,spearman_n,roc_auc,auc_n,sequence,sequence_spearman,sequence_spearman_p,sequence_n
h30_row_net,delta_AssA,0.241866376805,0.00024994808,225.0,0.304200269091,3.34812e-06,225.0,,,,,,
h30_row_net,delta_HOTA,0.245784843376,0.000196465673,225.0,0.312913383657,1.681578e-06,225.0,,,,,,
h30_row_net,delta_IDF1,0.188741434455,0.004498202717,225.0,0.237486532649,0.000325625977,225.0,,,,,,
h30_row_net,positive_delta_HOTA,,,,,,,0.60593220339,225.0,,,,
h30_row_net,delta_AssA,,,,,,,,,MOT20-01,0.220507305452,0.140861733108,46.0
h30_row_net,delta_AssA,,,,,,,,,MOT20-02,0.186327514839,0.125291729477,69.0
h30_row_net,delta_AssA,,,,,,,,,MOT20-03,0.493438910522,0.000129234156,55.0
h30_row_net,delta_AssA,,,,,,,,,MOT20-05,0.279267775117,0.038940660167,55.0
h30_donor_minus_receiver_support_frac,delta_AssA,0.23932110098,0.00029164925,225.0,0.332370448571,3.33211e-07,225.0,,,,,,
h30_donor_minus_receiver_support_frac,delta_HOTA,0.243573072976,0.000225172943,225.0,0.339410819308,1.80335e-07,225.0,,,,,,
h30_donor_minus_receiver_support_frac,delta_IDF1,0.185001670228,0.005375302049,225.0,0.276833943496,2.5312884e-05,225.0,,,,,,
h30_donor_minus_receiver_support_frac,positive_delta_HOTA,,,,,,,0.621292372881,225.0,,,,
h30_donor_minus_receiver_support_frac,delta_AssA,,,,,,,,,MOT20-01,0.219009958219,0.143648391473,46.0
h30_donor_minus_receiver_support_frac,delta_AssA,,,,,,,,,MOT20-02,0.249318482798,0.038837300798,69.0
h30_donor_minus_receiver_support_frac,delta_AssA,,,,,,,,,MOT20-03,0.500692700417,9.8982875e-05,55.0
h30_donor_minus_receiver_support_frac,delta_AssA,,,,,,,,,MOT20-05,0.353468606411,0.008115257461,55.0
h30_pairwise_net_norm,delta_AssA,0.247374824449,0.000177980429,225.0,0.349816208934,7.0749e-08,225.0,,,,,,
h30_pairwise_net_norm,delta_HOTA,0.251725519602,0.000135363301,225.0,0.355876779406,4.038e-08,225.0,,,,,,
h30_pairwise_net_norm,delta_IDF1,0.198558495657,0.002774899761,225.0,0.290687523998,9.33162e-06,225.0,,,,,,
h30_pairwise_net_norm,positive_delta_HOTA,,,,,,,0.625765065913,225.0,,,,
