edited_path,edited_sha256,geometry_rows,changed_rows,receiver_anchor,receiver_anchor_count,receiver_anchor_counts,donor_anchor,name,seq
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0021_17_29_f141_v_to_u/track_results/MOT20-01.txt,fb5f48293f74ffb1d42af0d5fef5279175237ac28d640905f9e14cead8bc79ba,19372,8,17,1,"{""17"": 8}",29,mot20_01_r0021_17_29_f141_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0023_17_29_f105_v_to_u/track_results/MOT20-01.txt,fb5f48293f74ffb1d42af0d5fef5279175237ac28d640905f9e14cead8bc79ba,19372,8,17,1,"{""17"": 8}",29,mot20_01_r0023_17_29_f105_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0025_17_29_f280_v_to_u/track_results/MOT20-01.txt,fb5f48293f74ffb1d42af0d5fef5279175237ac28d640905f9e14cead8bc79ba,19372,8,17,1,"{""17"": 8}",29,mot20_01_r0025_17_29_f280_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0027_10_29_f130_v_to_u/track_results/MOT20-01.txt,b41cf05c6efe341f522527d9947d9b5d9b9fb23d74c6d8063ea05a8823b7ffa5,19372,90,10,1,"{""10"": 90}",29,mot20_01_r0027_10_29_f130_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0035_38_45_f193_u_to_v/track_results/MOT20-01.txt,bde6fd29798329e34bceec4dded571c8cabda8fb4b463419ad5a4e79a45766bb,19372,170,45,1,"{""45"": 170}",38,mot20_01_r0035_38_45_f193_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0036_5_46_f138_v_to_u/track_results/MOT20-01.txt,bea81160b4e173af9c9a9d3cb81000771815f1501d6879c72a05b6a76a68076c,19372,291,5,1,"{""5"": 291}",46,mot20_01_r0036_5_46_f138_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0037_20_27_f70_v_to_u/track_results/MOT20-01.txt,5c7394c6c74c696750e6ef6174b5cb919494e1736d3b72964bba399d472dadb3,19372,347,20,1,"{""20"": 347}",27,mot20_01_r0037_20_27_f70_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0038_54_65_f348_v_to_u/track_results/MOT20-01.txt,3165966bd2b17f162e8568379c8a5bc1ee4ab167f2afad8f135d297207734988,19372,81,54,1,"{""54"": 81}",65,mot20_01_r0038_54_65_f348_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0039_5_16_f292_v_to_u/track_results/MOT20-01.txt,46024fddb55dbf247efb3dc9f4fd5dfe1b4e3af3ef9c287eec06d0d415511c60,19372,137,5,1,"{""5"": 137}",16,mot20_01_r0039_5_16_f292_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0041_34_38_f242_v_to_u/track_results/MOT20-01.txt,95507ce88a2672c11638516c94b7ecb3e65e8a1747b97ed404d785842129be98,19372,11,34,1,"{""34"": 11}",38,mot20_01_r0041_34_38_f242_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0044_21_25_f158_u_to_v/track_results/MOT20-01.txt,ffaaebf4f53d4d8d4f1a73ce4053207ef4d485d37075e88239f134b0d824323c,19372,107,25,1,"{""25"": 107}",21,mot20_01_r0044_21_25_f158_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0049_17_28_f347_u_to_v/track_results/MOT20-01.txt,0f75b759f612cf39e46066b174aa09a071a09dd5ef0c368647efb3e6e9310205,19372,82,28,1,"{""28"": 82}",17,mot20_01_r0049_17_28_f347_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0050_38_51_f206_u_to_v/track_results/MOT20-01.txt,5757830f7e929e74858deb718e2675aa11eb508473480fe6394ccb85ce79a5eb,19372,170,51,1,"{""51"": 170}",38,mot20_01_r0050_38_51_f206_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0052_10_18_f74_v_to_u/track_results/MOT20-01.txt,722ae5546e4b2c6e7a6c2e280ec01a9450fa282fc977aa736070cb748b23c1ad,19372,184,10,1,"{""10"": 184}",18,mot20_01_r0052_10_18_f74_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0056_24_26_f224_u_to_v/track_results/MOT20-01.txt,72116abfc8148d417df82d24732be591d78b0d0501589527d78a75dda4a45ef2,19372,156,26,1,"{""26"": 156}",24,mot20_01_r0056_24_26_f224_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0058_13_18_f231_v_to_u/track_results/MOT20-01.txt,e6e797de92bbeafd069c3136e00eafe124aadfe86e07da16635af903fed3c7f8,19372,184,13,1,"{""13"": 184}",18,mot20_01_r0058_13_18_f231_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0060_24_26_f272_u_to_v/track_results/MOT20-01.txt,72116abfc8148d417df82d24732be591d78b0d0501589527d78a75dda4a45ef2,19372,156,26,1,"{""26"": 156}",24,mot20_01_r0060_24_26_f272_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0061_24_26_f218_u_to_v/track_results/MOT20-01.txt,72116abfc8148d417df82d24732be591d78b0d0501589527d78a75dda4a45ef2,19372,156,26,1,"{""26"": 156}",24,mot20_01_r0061_24_26_f218_u_to_v,MOT20-01
