seq,canonical_rank,u,v,boundary_frame,transaction_type,delta_AssA,delta_HOTA,delta_IDF1,name,effective_start_frame,changed_rows,donor_anchor,receiver_anchor,receiver_anchor_count,receiver_anchor_counts,target_rows_with_receiver_anchor,h30_history_donor_rows,h30_history_receiver_rows,h30_receiver_anchor_count,h30_future_rows,h30_history_donor_matched,h30_history_receiver_matched,h30_future_matched,h30_future_match_rate,h30_future_mean_match_iou,h30_donor_dominant_gt,h30_receiver_dominant_gt,h30_future_dominant_gt,h30_donor_gt_purity,h30_receiver_gt_purity,h30_future_gt_purity,h30_future_gt_entropy,h30_future_unique_gt,h30_history_dominant_same_gt,h30_donor_future_support_rows,h30_receiver_future_support_rows,h30_benefit_rows,h30_harm_rows,h30_row_net,h30_donor_minus_receiver_support_frac,h30_donor_same_pairs,h30_donor_different_pairs,h30_receiver_same_pairs,h30_receiver_different_pairs,h30_pairwise_net_pairs,h30_pairwise_affected_pairs,h30_pairwise_net_norm,h30_baseline_local_idtp,h30_edited_local_idtp,h30_idtp_delta,h30_idtp_delta_norm,h30_future_span_frames,h30_future_density,h60_history_donor_rows,h60_history_receiver_rows,h60_receiver_anchor_count,h60_future_rows,h60_history_donor_matched,h60_history_receiver_matched,h60_future_matched,h60_future_match_rate,h60_future_mean_match_iou,h60_donor_dominant_gt,h60_receiver_dominant_gt,h60_future_dominant_gt,h60_donor_gt_purity,h60_receiver_gt_purity,h60_future_gt_purity,h60_future_gt_entropy,h60_future_unique_gt,h60_history_dominant_same_gt,h60_donor_future_support_rows,h60_receiver_future_support_rows,h60_benefit_rows,h60_harm_rows,h60_row_net,h60_donor_minus_receiver_support_frac,h60_donor_same_pairs,h60_donor_different_pairs,h60_receiver_same_pairs,h60_receiver_different_pairs,h60_pairwise_net_pairs,h60_pairwise_affected_pairs,h60_pairwise_net_norm,h60_baseline_local_idtp,h60_edited_local_idtp,h60_idtp_delta,h60_idtp_delta_norm,h60_future_span_frames,h60_future_density,h120_history_donor_rows,h120_history_receiver_rows,h120_receiver_anchor_count,h120_future_rows,h120_history_donor_matched,h120_history_receiver_matched,h120_future_matched,h120_future_match_rate,h120_future_mean_match_iou,h120_donor_dominant_gt,h120_receiver_dominant_gt,h120_future_dominant_gt,h120_donor_gt_purity,h120_receiver_gt_purity,h120_future_gt_purity,h120_future_gt_entropy,h120_future_unique_gt,h120_history_dominant_same_gt,h120_donor_future_support_rows,h120_receiver_future_support_rows,h120_benefit_rows,h120_harm_rows,h120_row_net,h120_donor_minus_receiver_support_frac,h120_donor_same_pairs,h120_donor_different_pairs,h120_receiver_same_pairs,h120_receiver_different_pairs,h120_pairwise_net_pairs,h120_pairwise_affected_pairs,h120_pairwise_net_norm,h120_baseline_local_idtp,h120_edited_local_idtp,h120_idtp_delta,h120_idtp_delta_norm,h120_future_span_frames,h120_future_density,h300_history_donor_rows,h300_history_receiver_rows,h300_receiver_anchor_count,h300_future_rows,h300_history_donor_matched,h300_history_receiver_matched,h300_future_matched,h300_future_match_rate,h300_future_mean_match_iou,h300_donor_dominant_gt,h300_receiver_dominant_gt,h300_future_dominant_gt,h300_donor_gt_purity,h300_receiver_gt_purity,h300_future_gt_purity,h300_future_gt_entropy,h300_future_unique_gt,h300_history_dominant_same_gt,h300_donor_future_support_rows,h300_receiver_future_support_rows,h300_benefit_rows,h300_harm_rows,h300_row_net,h300_donor_minus_receiver_support_frac,h300_donor_same_pairs,h300_donor_different_pairs,h300_receiver_same_pairs,h300_receiver_different_pairs,h300_pairwise_net_pairs,h300_pairwise_affected_pairs,h300_pairwise_net_norm,h300_baseline_local_idtp,h300_edited_local_idtp,h300_idtp_delta,h300_idtp_delta_norm,h300_future_span_frames,h300_future_density,full_history_donor_rows,full_history_receiver_rows,full_receiver_anchor_count,full_future_rows,full_history_donor_matched,full_history_receiver_matched,full_future_matched,full_future_match_rate,full_future_mean_match_iou,full_donor_dominant_gt,full_receiver_dominant_gt,full_future_dominant_gt,full_donor_gt_purity,full_receiver_gt_purity,full_future_gt_purity,full_future_gt_entropy,full_future_unique_gt,full_history_dominant_same_gt,full_donor_future_support_rows,full_receiver_future_support_rows,full_benefit_rows,full_harm_rows,full_row_net,full_donor_minus_receiver_support_frac,full_donor_same_pairs,full_donor_different_pairs,full_receiver_same_pairs,full_receiver_different_pairs,full_pairwise_net_pairs,full_pairwise_affected_pairs,full_pairwise_net_norm,full_baseline_local_idtp,full_edited_local_idtp,full_idtp_delta,full_idtp_delta_norm,full_future_span_frames,full_future_density
MOT20-01,21,17,29,141,v_to_u,0.0829,0.040357,0.040784073819,mot20_01_r0021_17_29_f141_v_to_u,340,8,29,17,1,"{""17"": 8}",8,30,30,1,8,23,30,8,1.0,0.870533002732,29,30,30,1.0,1.0,1.0,-0.0,1,0,0,8,0,8,-1.0,-1.0,0,184,240,0,-424,424,-1.0,61,53,-8,-0.131147540984,8,1.0,60,60,1,8,53,58,8,1.0,0.870533002732,29,30,30,0.905660377358,0.913793103448,1.0,-0.0,1,0,0,8,0,8,-1.0,-1.0,40,384,424,40,-728,888,-0.81981981982,109,101,-8,-0.067226890756,8,1.0,120,120,1,8,113,118,8,1.0,0.870533002732,30,29,30,0.575221238938,0.550847457627,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,520,384,424,520,232,1848,0.125541125541,130,138,8,0.033472803347,8,1.0,300,300,1,8,286,298,8,1.0,0.870533002732,30,29,30,0.786713286713,0.768456375839,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,1800,488,552,1832,2592,4672,0.554794520548,454,462,8,0.013513513514,8,1.0,339,339,1,8,325,337,8,1.0,0.870533002732,30,29,30,0.812307692308,0.795252225519,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,2112,488,552,2144,3216,5296,0.607250755287,532,540,8,0.011940298507,8,1.0
MOT20-01,23,17,29,105,v_to_u,0.0829,0.040357,0.040784073819,mot20_01_r0023_17_29_f105_v_to_u,340,8,29,17,1,"{""17"": 8}",8,30,30,1,8,23,30,8,1.0,0.870533002732,29,30,30,1.0,1.0,1.0,-0.0,1,0,0,8,0,8,-1.0,-1.0,0,184,240,0,-424,424,-1.0,61,53,-8,-0.131147540984,8,1.0,60,60,1,8,53,58,8,1.0,0.870533002732,29,30,30,0.905660377358,0.913793103448,1.0,-0.0,1,0,0,8,0,8,-1.0,-1.0,40,384,424,40,-728,888,-0.81981981982,109,101,-8,-0.067226890756,8,1.0,120,120,1,8,113,118,8,1.0,0.870533002732,30,29,30,0.575221238938,0.550847457627,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,520,384,424,520,232,1848,0.125541125541,130,138,8,0.033472803347,8,1.0,300,300,1,8,286,298,8,1.0,0.870533002732,30,29,30,0.786713286713,0.768456375839,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,1800,488,552,1832,2592,4672,0.554794520548,454,462,8,0.013513513514,8,1.0,339,339,1,8,325,337,8,1.0,0.870533002732,30,29,30,0.812307692308,0.795252225519,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,2112,488,552,2144,3216,5296,0.607250755287,532,540,8,0.011940298507,8,1.0
MOT20-01,25,17,29,280,v_to_u,0.0829,0.040357,0.040784073819,mot20_01_r0025_17_29_f280_v_to_u,340,8,29,17,1,"{""17"": 8}",8,30,30,1,8,23,30,8,1.0,0.870533002732,29,30,30,1.0,1.0,1.0,-0.0,1,0,0,8,0,8,-1.0,-1.0,0,184,240,0,-424,424,-1.0,61,53,-8,-0.131147540984,8,1.0,60,60,1,8,53,58,8,1.0,0.870533002732,29,30,30,0.905660377358,0.913793103448,1.0,-0.0,1,0,0,8,0,8,-1.0,-1.0,40,384,424,40,-728,888,-0.81981981982,109,101,-8,-0.067226890756,8,1.0,120,120,1,8,113,118,8,1.0,0.870533002732,30,29,30,0.575221238938,0.550847457627,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,520,384,424,520,232,1848,0.125541125541,130,138,8,0.033472803347,8,1.0,300,300,1,8,286,298,8,1.0,0.870533002732,30,29,30,0.786713286713,0.768456375839,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,1800,488,552,1832,2592,4672,0.554794520548,454,462,8,0.013513513514,8,1.0,339,339,1,8,325,337,8,1.0,0.870533002732,30,29,30,0.812307692308,0.795252225519,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,2112,488,552,2144,3216,5296,0.607250755287,532,540,8,0.011940298507,8,1.0
MOT20-01,27,10,29,130,v_to_u,-0.53491,-0.266117,-0.458820830466,mot20_01_r0027_10_29_f130_v_to_u,340,90,29,10,1,"{""10"": 90}",90,30,30,1,30,23,30,30,1.0,0.897894519774,29,7,7,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,690,900,0,-1590,1590,-1.0,83,53,-30,-0.361445783133,30,1.0,60,60,1,60,53,60,60,1.0,0.917499663414,29,7,7,0.905660377358,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,3180,3600,0,-6780,6780,-1.0,168,108,-60,-0.346820809249,60,1.0,120,120,1,90,113,120,90,1.0,0.903290102748,30,7,7,0.575221238938,1.0,0.988888888889,0.06104703804,2,0,0,89,0,89,-0.988888888889,-0.988888888889,0,10170,10680,120,-20730,20970,-0.988555078684,274,185,-89,-0.275541795666,90,1.0,300,300,1,90,286,300,90,1.0,0.903290102748,30,7,7,0.786713286713,0.733333333333,0.988888888889,0.06104703804,2,0,0,89,0,89,-0.988888888889,-0.988888888889,0,25740,19580,7420,-37900,52740,-0.718619643534,534,445,-89,-0.131656804734,90,1.0,339,339,1,90,325,339,90,1.0,0.903290102748,30,7,7,0.812307692308,0.648967551622,0.988888888889,0.06104703804,2,0,0,89,0,89,-0.988888888889,-0.988888888889,0,29250,19580,10930,-37900,59760,-0.634203480589,573,484,-89,-0.118037135279,90,1.0
MOT20-01,35,38,45,193,u_to_v,-1.158096,-0.605893,-0.866661568657,mot20_01_r0035_38_45_f193_u_to_v,260,170,38,45,1,"{""45"": 170}",170,30,30,1,30,16,30,30,1.0,0.899742215425,32,43,43,0.9375,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,480,900,0,-1380,1380,-1.0,75,45,-30,-0.394736842105,30,1.0,60,60,1,60,46,60,60,1.0,0.899348893831,32,43,43,0.978260869565,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,2760,3600,0,-6360,6360,-1.0,165,105,-60,-0.361445783133,60,1.0,120,120,1,120,105,120,120,1.0,0.881010974719,32,43,43,0.990476190476,1.0,1.0,-0.0,1,0,0,120,0,120,-1.0,-1.0,0,12600,14400,0,-27000,27000,-1.0,344,224,-120,-0.347826086957,120,1.0,237,128,1,170,222,128,170,1.0,0.887327346791,32,43,43,0.995495495495,1.0,1.0,-0.0,1,0,0,170,0,170,-1.0,-1.0,0,37740,21760,0,-59500,59500,-1.0,519,349,-170,-0.326923076923,170,1.0,237,128,1,170,222,128,170,1.0,0.887327346791,32,43,43,0.995495495495,1.0,1.0,-0.0,1,0,0,170,0,170,-1.0,-1.0,0,37740,21760,0,-59500,59500,-1.0,519,349,-170,-0.326923076923,170,1.0
MOT20-01,36,5,46,138,v_to_u,-0.217516,-0.115133,-0.147842267594,mot20_01_r0036_5_46_f138_v_to_u,139,291,46,5,1,"{""5"": 291}",291,1,30,1,30,0,30,30,1.0,0.814199592914,-1,26,26,,1.0,1.0,-0.0,1,0,0,30,0,0,0.0,-1.0,0,0,900,0,-900,900,-1.0,60,30,-30,-0.5,30,1.0,1,60,1,60,0,60,60,1.0,0.830041472032,-1,26,26,,1.0,1.0,-0.0,1,0,0,60,0,0,0.0,-1.0,0,0,3600,0,-3600,3600,-1.0,120,60,-60,-0.5,60,1.0,1,120,1,120,0,120,120,1.0,0.836500696471,-1,26,26,,1.0,0.816666666667,0.476410518752,2,0,0,98,0,0,0.0,-0.816666666667,0,0,11760,2640,-9120,14400,-0.633333333333,218,142,-76,-0.316666666667,120,1.0,1,138,1,291,0,138,279,0.958762886598,0.856846543006,-1,26,50,,1.0,0.426523297491,1.11565086906,4,0,0,112,0,0,0.0,-0.401433691756,0,0,15456,23046,7590,38502,0.197132616487,250,257,7,0.016786570743,291,1.0,1,138,1,291,0,138,279,0.958762886598,0.856846543006,-1,26,50,,1.0,0.426523297491,1.11565086906,4,0,0,112,0,0,0.0,-0.401433691756,0,0,15456,23046,7590,38502,0.197132616487,250,257,7,0.016786570743,291,1.0
MOT20-01,37,20,27,70,v_to_u,0.83944,0.436431,0.173332313731,mot20_01_r0037_20_27_f70_v_to_u,83,347,27,20,1,"{""20"": 347}",347,30,30,1,30,30,30,30,1.0,0.80894454277,8,7,8,1.0,1.0,0.9,0.325082973391,2,0,27,3,27,3,0.8,0.8,810,90,90,810,1440,1800,0.8,63,87,24,0.266666666667,30,1.0,60,60,1,60,60,60,60,1.0,0.83731958848,8,7,8,1.0,1.0,0.85,0.51818621305,3,0,51,3,51,3,0.8,0.8,3060,540,180,3420,5760,7200,0.8,123,171,48,0.266666666667,60,1.0,82,82,1,120,82,82,120,1.0,0.850229876179,8,7,8,1.0,1.0,0.925,0.31412302589,3,0,111,3,111,3,0.9,0.9,9102,738,246,9594,17712,19680,0.9,167,275,108,0.380281690141,120,1.0,82,82,1,300,82,82,300,1.0,0.884379393102,8,7,8,1.0,1.0,0.97,0.153837593229,3,0,291,3,291,3,0.96,0.96,23862,738,246,24354,47232,49200,0.96,291,455,164,0.353448275862,300,1.0,82,82,1,347,82,82,347,1.0,0.888480013832,8,7,8,1.0,1.0,0.974063400576,0.136829372585,3,0,338,3,338,3,0.965417867435,0.965417867435,27716,738,246,28208,54940,56908,0.965417867435,338,502,164,0.320939334638,347,1.0
MOT20-01,38,54,65,348,v_to_u,-0.53634,-0.287143,-0.025490046137,mot20_01_r0038_54_65_f348_v_to_u,349,81,65,54,1,"{""54"": 81}",81,30,30,1,30,30,30,30,1.0,0.889274285378,74,60,60,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,900,900,0,-1800,1800,-1.0,90,60,-30,-0.333333333333,30,1.0,60,60,1,60,60,60,60,1.0,0.891796879295,74,60,60,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,3600,3600,0,-7200,7200,-1.0,180,120,-60,-0.333333333333,60,1.0,120,120,1,81,120,120,81,1.0,0.888114890694,74,60,60,1.0,1.0,1.0,-0.0,1,0,0,81,0,81,-1.0,-1.0,0,9720,9720,0,-19440,19440,-1.0,321,240,-81,-0.252336448598,81,1.0,125,181,1,81,125,173,81,1.0,0.888114890694,74,60,60,1.0,0.861271676301,1.0,-0.0,1,0,0,81,0,81,-1.0,-1.0,0,10125,12069,1944,-20250,24138,-0.838926174497,355,274,-81,-0.213720316623,81,1.0,125,181,1,81,125,173,81,1.0,0.888114890694,74,60,60,1.0,0.861271676301,1.0,-0.0,1,0,0,81,0,81,-1.0,-1.0,0,10125,12069,1944,-20250,24138,-0.838926174497,355,274,-81,-0.213720316623,81,1.0
MOT20-01,39,5,16,292,v_to_u,-0.03273,-0.015819,0.0,mot20_01_r0039_5_16_f292_v_to_u,293,137,16,5,1,"{""5"": 137}",137,30,30,1,30,19,27,21,0.7,0.871109977344,27,24,50,1.0,0.592592592593,1.0,-0.0,1,0,0,0,0,0,0.0,0.0,0,399,0,567,168,966,0.173913043478,40,37,-3,-0.044776119403,30,1.0,60,60,1,60,49,57,51,0.85,0.890953789706,27,24,50,1.0,0.631578947368,1.0,-0.0,1,0,0,0,0,0,0.0,0.0,0,2499,0,2907,408,5406,0.075471698113,100,87,-13,-0.082802547771,60,1.0,120,120,1,120,109,117,111,0.925,0.896249240572,27,26,50,1.0,0.666666666667,1.0,-0.0,1,0,0,0,0,0,0.0,0.0,0,12099,0,12987,888,25086,0.035398230088,220,189,-31,-0.091988130564,120,1.0,292,292,1,137,281,289,128,0.934306569343,0.882367217117,27,26,50,1.0,0.865051903114,0.9296875,0.254446538324,2,0,0,0,0,0,0.0,0.0,0,35968,0,36992,1024,72960,0.014035087719,531,531,0,0.0,137,1.0,292,292,1,137,281,289,128,0.934306569343,0.882367217117,27,26,50,1.0,0.865051903114,0.9296875,0.254446538324,2,0,0,0,0,0,0.0,0.0,0,35968,0,36992,1024,72960,0.014035087719,531,531,0,0.0,137,1.0
MOT20-01,41,34,38,242,v_to_u,-0.02336,-0.012313,-0.015294027682,mot20_01_r0041_34_38_f242_v_to_u,260,11,38,34,1,"{""34"": 11}",11,30,30,1,11,16,29,3,0.272727272727,0.884211111327,32,31,31,0.9375,0.965517241379,1.0,-0.0,1,0,0,3,0,3,-1.0,-1.0,0,48,84,3,-129,135,-0.955555555556,46,43,-3,-0.0625,11,1.0,60,60,1,11,46,59,3,0.272727272727,0.884211111327,32,31,31,0.978260869565,0.983050847458,1.0,-0.0,1,0,0,3,0,3,-1.0,-1.0,0,138,174,3,-309,315,-0.980952380952,106,103,-3,-0.027777777778,11,1.0,120,120,1,11,105,119,3,0.272727272727,0.884211111327,32,31,31,0.990476190476,0.991596638655,1.0,-0.0,1,0,0,3,0,3,-1.0,-1.0,0,315,354,3,-666,672,-0.991071428571,225,222,-3,-0.013215859031,11,1.0,237,259,1,11,222,258,3,0.272727272727,0.884211111327,32,31,31,0.995495495495,0.996124031008,1.0,-0.0,1,0,0,3,0,3,-1.0,-1.0,0,666,771,3,-1434,1440,-0.995833333333,481,478,-3,-0.006211180124,11,1.0,237,259,1,11,222,258,3,0.272727272727,0.884211111327,32,31,31,0.995495495495,0.996124031008,1.0,-0.0,1,0,0,3,0,3,-1.0,-1.0,0,666,771,3,-1434,1440,-0.995833333333,481,478,-3,-0.006211180124,11,1.0
