seq,canonical_rank,u,v,boundary_frame,transaction_type,delta_AssA,delta_HOTA,delta_IDF1,name,effective_start_frame,changed_rows,donor_anchor,receiver_anchor,receiver_anchor_count,receiver_anchor_counts,target_rows_with_receiver_anchor,h30_history_donor_rows,h30_history_receiver_rows,h30_receiver_anchor_count,h30_future_rows,h30_history_donor_matched,h30_history_receiver_matched,h30_future_matched,h30_future_match_rate,h30_future_mean_match_iou,h30_donor_dominant_gt,h30_receiver_dominant_gt,h30_future_dominant_gt,h30_donor_gt_purity,h30_receiver_gt_purity,h30_future_gt_purity,h30_future_gt_entropy,h30_future_unique_gt,h30_history_dominant_same_gt,h30_donor_future_support_rows,h30_receiver_future_support_rows,h30_benefit_rows,h30_harm_rows,h30_row_net,h30_donor_minus_receiver_support_frac,h30_donor_same_pairs,h30_donor_different_pairs,h30_receiver_same_pairs,h30_receiver_different_pairs,h30_pairwise_net_pairs,h30_pairwise_affected_pairs,h30_pairwise_net_norm,h30_baseline_local_idtp,h30_edited_local_idtp,h30_idtp_delta,h30_idtp_delta_norm,h30_future_span_frames,h30_future_density,h60_history_donor_rows,h60_history_receiver_rows,h60_receiver_anchor_count,h60_future_rows,h60_history_donor_matched,h60_history_receiver_matched,h60_future_matched,h60_future_match_rate,h60_future_mean_match_iou,h60_donor_dominant_gt,h60_receiver_dominant_gt,h60_future_dominant_gt,h60_donor_gt_purity,h60_receiver_gt_purity,h60_future_gt_purity,h60_future_gt_entropy,h60_future_unique_gt,h60_history_dominant_same_gt,h60_donor_future_support_rows,h60_receiver_future_support_rows,h60_benefit_rows,h60_harm_rows,h60_row_net,h60_donor_minus_receiver_support_frac,h60_donor_same_pairs,h60_donor_different_pairs,h60_receiver_same_pairs,h60_receiver_different_pairs,h60_pairwise_net_pairs,h60_pairwise_affected_pairs,h60_pairwise_net_norm,h60_baseline_local_idtp,h60_edited_local_idtp,h60_idtp_delta,h60_idtp_delta_norm,h60_future_span_frames,h60_future_density,h120_history_donor_rows,h120_history_receiver_rows,h120_receiver_anchor_count,h120_future_rows,h120_history_donor_matched,h120_history_receiver_matched,h120_future_matched,h120_future_match_rate,h120_future_mean_match_iou,h120_donor_dominant_gt,h120_receiver_dominant_gt,h120_future_dominant_gt,h120_donor_gt_purity,h120_receiver_gt_purity,h120_future_gt_purity,h120_future_gt_entropy,h120_future_unique_gt,h120_history_dominant_same_gt,h120_donor_future_support_rows,h120_receiver_future_support_rows,h120_benefit_rows,h120_harm_rows,h120_row_net,h120_donor_minus_receiver_support_frac,h120_donor_same_pairs,h120_donor_different_pairs,h120_receiver_same_pairs,h120_receiver_different_pairs,h120_pairwise_net_pairs,h120_pairwise_affected_pairs,h120_pairwise_net_norm,h120_baseline_local_idtp,h120_edited_local_idtp,h120_idtp_delta,h120_idtp_delta_norm,h120_future_span_frames,h120_future_density,h300_history_donor_rows,h300_history_receiver_rows,h300_receiver_anchor_count,h300_future_rows,h300_history_donor_matched,h300_history_receiver_matched,h300_future_matched,h300_future_match_rate,h300_future_mean_match_iou,h300_donor_dominant_gt,h300_receiver_dominant_gt,h300_future_dominant_gt,h300_donor_gt_purity,h300_receiver_gt_purity,h300_future_gt_purity,h300_future_gt_entropy,h300_future_unique_gt,h300_history_dominant_same_gt,h300_donor_future_support_rows,h300_receiver_future_support_rows,h300_benefit_rows,h300_harm_rows,h300_row_net,h300_donor_minus_receiver_support_frac,h300_donor_same_pairs,h300_donor_different_pairs,h300_receiver_same_pairs,h300_receiver_different_pairs,h300_pairwise_net_pairs,h300_pairwise_affected_pairs,h300_pairwise_net_norm,h300_baseline_local_idtp,h300_edited_local_idtp,h300_idtp_delta,h300_idtp_delta_norm,h300_future_span_frames,h300_future_density,full_history_donor_rows,full_history_receiver_rows,full_receiver_anchor_count,full_future_rows,full_history_donor_matched,full_history_receiver_matched,full_future_matched,full_future_match_rate,full_future_mean_match_iou,full_donor_dominant_gt,full_receiver_dominant_gt,full_future_dominant_gt,full_donor_gt_purity,full_receiver_gt_purity,full_future_gt_purity,full_future_gt_entropy,full_future_unique_gt,full_history_dominant_same_gt,full_donor_future_support_rows,full_receiver_future_support_rows,full_benefit_rows,full_harm_rows,full_row_net,full_donor_minus_receiver_support_frac,full_donor_same_pairs,full_donor_different_pairs,full_receiver_same_pairs,full_receiver_different_pairs,full_pairwise_net_pairs,full_pairwise_affected_pairs,full_pairwise_net_norm,full_baseline_local_idtp,full_edited_local_idtp,full_idtp_delta,full_idtp_delta_norm,full_future_span_frames,full_future_density,rank_start,rank_end,ranking_metric
MOT20-01,37,20,27,70,v_to_u,0.83944,0.436431,0.173332313731,mot20_01_r0037_20_27_f70_v_to_u,83,347,27,20,1,"{""20"": 347}",347,30,30,1,30,30,30,30,1.0,0.80894454277,8,7,8,1.0,1.0,0.9,0.325082973391,2,0,27,3,27,3,0.8,0.8,810,90,90,810,1440,1800,0.8,63,87,24,0.266666666667,30,1.0,60,60,1,60,60,60,60,1.0,0.83731958848,8,7,8,1.0,1.0,0.85,0.51818621305,3,0,51,3,51,3,0.8,0.8,3060,540,180,3420,5760,7200,0.8,123,171,48,0.266666666667,60,1.0,82,82,1,120,82,82,120,1.0,0.850229876179,8,7,8,1.0,1.0,0.925,0.31412302589,3,0,111,3,111,3,0.9,0.9,9102,738,246,9594,17712,19680,0.9,167,275,108,0.380281690141,120,1.0,82,82,1,300,82,82,300,1.0,0.884379393102,8,7,8,1.0,1.0,0.97,0.153837593229,3,0,291,3,291,3,0.96,0.96,23862,738,246,24354,47232,49200,0.96,291,455,164,0.353448275862,300,1.0,82,82,1,347,82,82,347,1.0,0.888480013832,8,7,8,1.0,1.0,0.974063400576,0.136829372585,3,0,338,3,338,3,0.965417867435,0.965417867435,27716,738,246,28208,54940,56908,0.965417867435,338,502,164,0.320939334638,347,1.0,21,40,h30_row_net
MOT20-01,49,17,28,347,u_to_v,0.075333,0.046867,0.0,mot20_01_r0049_17_28_f347_u_to_v,348,82,17,28,1,"{""28"": 82}",82,30,30,1,30,30,27,26,0.866666666667,0.878066901315,30,28,52,1.0,0.962962962963,0.807692307692,0.489551893623,2,0,5,0,5,0,0.192307692308,0.192307692308,150,630,0,702,222,1482,0.14979757085,56,61,5,0.060240963855,30,1.0,60,60,1,60,58,57,56,0.933333333333,0.895178151517,30,28,52,1.0,0.982456140351,0.910714285714,0.300882104465,2,0,5,0,5,0,0.089285714286,0.089285714286,290,2958,0,3192,524,6440,0.081366459627,114,119,5,0.029239766082,60,1.0,120,120,1,82,118,117,78,0.951219512195,0.881958791002,30,28,52,0.516949152542,0.991452991453,0.935897435897,0.238109739946,2,0,5,0,5,0,0.064102564103,0.064102564103,305,8899,0,9126,532,18330,0.029023458811,177,189,12,0.038338658147,82,1.0,300,300,1,82,298,297,78,0.951219512195,0.881958791002,29,28,52,0.741610738255,0.996632996633,0.935897435897,0.238109739946,2,0,0,0,0,0,0.0,0.0,385,22859,0,23166,692,46410,0.014910579616,517,517,0,0.0,82,1.0,347,347,1,82,345,344,78,0.951219512195,0.881958791002,29,28,52,0.776811594203,0.997093023256,0.935897435897,0.238109739946,2,0,0,0,0,0,0.0,0.0,385,26525,0,26832,692,53742,0.012876335082,611,611,0,0.0,82,1.0,41,60,h30_row_net
MOT20-01,66,24,57,213,v_to_u,-0.14479,-0.076203,-0.209018378323,mot20_01_r0066_24_57_f213_v_to_u,233,41,57,24,1,"{""24"": 41}",41,30,30,1,30,25,3,30,1.0,0.729088304178,77,77,77,0.6,1.0,1.0,-0.0,1,1,30,30,0,0,0.0,0.0,450,300,90,0,60,840,0.071428571429,43,45,2,0.034482758621,30,1.0,50,60,1,41,45,13,41,1.0,0.723820211478,77,77,77,0.755555555556,1.0,1.0,-0.0,1,1,41,41,0,0,0.0,0.0,1394,451,533,0,410,2378,0.172413793103,65,75,10,0.10101010101,41,1.0,50,120,1,41,45,73,41,1.0,0.723820211478,77,77,77,0.755555555556,1.0,1.0,-0.0,1,1,41,41,0,0,0.0,0.0,1394,451,2993,0,-2050,4838,-0.423728813559,125,84,-41,-0.25786163522,41,1.0,50,232,1,41,45,185,41,1.0,0.723820211478,77,77,77,0.755555555556,1.0,1.0,-0.0,1,1,41,41,0,0,0.0,0.0,1394,451,7585,0,-6642,9430,-0.704347826087,237,196,-41,-0.151291512915,41,1.0,50,232,1,41,45,185,41,1.0,0.723820211478,77,77,77,0.755555555556,1.0,1.0,-0.0,1,1,41,41,0,0,0.0,0.0,1394,451,7585,0,-6642,9430,-0.704347826087,237,196,-41,-0.151291512915,41,1.0,61,80,h30_row_net
MOT20-01,85,17,28,343,u_to_v,0.075333,0.046867,0.0,mot20_01_r0085_17_28_f343_u_to_v,348,82,17,28,1,"{""28"": 82}",82,30,30,1,30,30,27,26,0.866666666667,0.878066901315,30,28,52,1.0,0.962962962963,0.807692307692,0.489551893623,2,0,5,0,5,0,0.192307692308,0.192307692308,150,630,0,702,222,1482,0.14979757085,56,61,5,0.060240963855,30,1.0,60,60,1,60,58,57,56,0.933333333333,0.895178151517,30,28,52,1.0,0.982456140351,0.910714285714,0.300882104465,2,0,5,0,5,0,0.089285714286,0.089285714286,290,2958,0,3192,524,6440,0.081366459627,114,119,5,0.029239766082,60,1.0,120,120,1,82,118,117,78,0.951219512195,0.881958791002,30,28,52,0.516949152542,0.991452991453,0.935897435897,0.238109739946,2,0,5,0,5,0,0.064102564103,0.064102564103,305,8899,0,9126,532,18330,0.029023458811,177,189,12,0.038338658147,82,1.0,300,300,1,82,298,297,78,0.951219512195,0.881958791002,29,28,52,0.741610738255,0.996632996633,0.935897435897,0.238109739946,2,0,0,0,0,0,0.0,0.0,385,22859,0,23166,692,46410,0.014910579616,517,517,0,0.0,82,1.0,347,347,1,82,345,344,78,0.951219512195,0.881958791002,29,28,52,0.776811594203,0.997093023256,0.935897435897,0.238109739946,2,0,0,0,0,0,0.0,0.0,385,26525,0,26832,692,53742,0.012876335082,611,611,0,0.0,82,1.0,81,100,h30_row_net
MOT20-02,31,129,130,1047,v_to_u,0.005914,0.00325,0.003270207429,mot20_02_r0031_129_130_f1047_v_to_u,1067,6,130,129,1,"{""129"": 6}",6,30,30,1,6,30,30,6,1.0,0.67155966403,277,279,277,0.533333333333,0.933333333333,0.666666666667,0.867563228481,3,0,4,1,4,1,0.5,0.5,78,102,36,144,84,360,0.233333333333,45,48,3,0.045454545455,6,1.0,60,60,1,6,60,60,6,1.0,0.67155966403,277,279,277,0.766666666667,0.966666666667,0.666666666667,0.867563228481,3,0,4,1,4,1,0.5,0.5,198,162,66,294,264,720,0.366666666667,105,108,3,0.02380952381,6,1.0,120,120,1,6,120,120,6,1.0,0.67155966403,277,279,277,0.883333333333,0.983333333333,0.666666666667,0.867563228481,3,0,4,1,4,1,0.5,0.5,438,282,126,594,624,1440,0.433333333333,225,228,3,0.012195121951,6,1.0,300,300,1,6,300,300,6,1.0,0.67155966403,277,279,277,0.953333333333,0.993333333333,0.666666666667,0.867563228481,3,0,4,1,4,1,0.5,0.5,1158,642,306,1494,1704,3600,0.473333333333,585,588,3,0.00495049505,6,1.0,494,502,1,6,494,502,6,1.0,0.67155966403,277,279,277,0.971659919028,0.982071713147,0.666666666667,0.867563228481,3,0,4,1,4,1,0.5,0.5,1934,1030,529,2483,2858,5976,0.478246318608,974,977,3,0.002994011976,6,1.0,21,40,h30_row_net
MOT20-02,56,214,246,1536,v_to_u,0.10592,0.05033,0.033356115778,mot20_02_r0056_214_246_f1536_v_to_u,1537,298,246,214,1,"{""214"": 298}",298,30,30,1,30,28,30,30,1.0,0.878059643864,38,36,38,0.535714285714,0.5,0.933333333333,0.244930026795,2,0,28,0,28,0,0.933333333333,0.933333333333,420,420,420,480,60,1740,0.034482758621,56,58,2,0.022727272727,30,1.0,60,60,1,60,50,60,60,1.0,0.872285394379,38,36,38,0.68,0.75,0.966666666667,0.146144746009,2,0,58,0,58,0,0.966666666667,0.966666666667,1972,1028,870,2730,2804,6600,0.424848484848,86,137,51,0.3,60,1.0,120,120,1,120,91,120,120,1.0,0.878390428917,62,36,38,0.43956043956,0.875,0.983333333333,0.084766075715,2,0,0,0,0,0,0.0,0.0,4130,6790,1770,12630,8200,25320,0.323854660348,173,258,85,0.256797583082,120,1.0,145,300,1,298,116,300,298,1.0,0.86502922649,62,36,38,0.560344827586,0.95,0.993288590604,0.040272369589,2,0,0,0,0,0,0.0,0.0,10360,24208,4440,84960,66672,123968,0.537816210635,376,616,240,0.336134453782,298,1.0,145,315,1,298,116,314,298,1.0,0.86502922649,62,36,38,0.560344827586,0.945859872611,0.993288590604,0.040272369589,2,0,0,0,0,0,0.0,0.0,10360,24208,4444,89128,70836,128140,0.552801623225,376,628,252,0.346153846154,298,1.0,41,60,h30_row_net
MOT20-02,63,347,477,2185,u_to_v,0.00764,0.00436,0.005232331887,mot20_02_r0063_347_477_f2185_u_to_v,2757,8,347,477,1,"{""477"": 8}",8,30,30,1,8,30,22,8,1.0,0.686233852512,128,141,128,1.0,1.0,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,240,0,0,176,416,416,1.0,52,60,8,0.133333333333,8,1.0,60,60,1,8,60,52,8,1.0,0.686233852512,128,141,128,1.0,1.0,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,480,0,0,416,896,896,1.0,112,120,8,0.066666666667,8,1.0,120,120,1,8,120,112,8,1.0,0.686233852512,128,141,128,1.0,1.0,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,960,0,0,896,1856,1856,1.0,232,240,8,0.033333333333,8,1.0,300,300,1,8,289,277,8,1.0,0.686233852512,128,141,128,1.0,0.996389891697,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,2312,0,0,2216,4528,4528,1.0,565,573,8,0.01393728223,8,1.0,949,585,1,8,861,552,8,1.0,0.686233852512,128,141,128,0.638792102207,0.949275362319,1.0,-0.0,1,0,8,0,8,0,1.0,1.0,4400,2488,176,4240,5976,11304,0.528662420382,1074,1082,8,0.005629838142,8,1.0,61,80,h30_row_net
MOT20-02,92,270,341,2130,v_to_u,-0.00557,0.000435,-0.003924248915,mot20_02_r0092_270_341_f2130_v_to_u,2244,12,341,270,1,"{""270"": 12}",12,30,30,1,12,30,28,6,0.5,0.635064292649,187,107,187,1.0,1.0,1.0,-0.0,1,0,6,0,6,0,1.0,1.0,180,0,0,168,348,348,1.0,58,64,6,0.09375,12,1.0,60,60,1,12,60,58,6,0.5,0.635064292649,187,107,187,1.0,1.0,1.0,-0.0,1,0,6,0,6,0,1.0,1.0,360,0,0,348,708,708,1.0,118,124,6,0.048387096774,12,1.0,120,120,1,12,120,118,6,0.5,0.635064292649,187,107,187,1.0,1.0,1.0,-0.0,1,0,6,0,6,0,1.0,1.0,720,0,0,708,1428,1428,1.0,238,244,6,0.024590163934,12,1.0,300,300,1,12,300,283,6,0.5,0.635064292649,187,107,187,0.513333333333,0.957597173145,1.0,-0.0,1,0,6,0,6,0,1.0,1.0,924,876,0,1698,1746,3498,0.499142367067,425,431,6,0.010186757216,12,1.0,460,745,1,12,448,727,6,0.5,0.635064292649,81,187,187,0.524553571429,0.588720770289,1.0,-0.0,1,0,0,6,0,6,-1.0,-1.0,924,1764,2568,1794,-1614,7050,-0.228936170213,669,663,-6,-0.005080440305,12,1.0,81,100,h30_row_net
MOT20-03,27,355,403,2122,v_to_u,0.00012,5.5e-05,0.000968377629,mot20_03_r0027_355_403_f2122_v_to_u,2127,24,403,355,1,"{""355"": 24}",24,30,30,1,24,29,30,3,0.125,0.745929006245,678,677,678,1.0,1.0,0.666666666667,0.636514168295,2,0,2,1,2,1,0.333333333333,0.333333333333,58,29,30,60,59,177,0.333333333333,60,61,1,0.016129032258,24,1.0,60,60,1,24,59,60,3,0.125,0.745929006245,678,677,678,1.0,1.0,0.666666666667,0.636514168295,2,0,2,1,2,1,0.333333333333,0.333333333333,118,59,60,120,119,357,0.333333333333,120,121,1,0.008196721311,24,1.0,120,120,1,24,119,120,3,0.125,0.745929006245,678,677,678,0.991596638655,0.675,0.666666666667,0.636514168295,2,0,2,1,2,1,0.333333333333,0.333333333333,236,121,83,277,309,717,0.430962343096,200,201,1,0.004132231405,24,1.0,300,300,1,24,299,300,3,0.125,0.745929006245,678,679,678,0.996655518395,0.726666666667,0.666666666667,0.636514168295,2,0,2,0,2,0,0.666666666667,0.666666666667,596,301,83,817,1029,1797,0.572621035058,516,518,2,0.003322259136,24,1.0,745,897,1,24,744,897,3,0.125,0.745929006245,678,679,678,0.990591397849,0.908584169454,0.666666666667,0.636514168295,2,0,2,0,2,0,0.666666666667,0.666666666667,1474,758,83,2608,3241,4923,0.658338411538,1552,1554,2,0.001216545012,24,1.0,21,40,h30_row_net
MOT20-03,42,305,414,1760,v_to_u,-0.001,-0.000517,-0.000968377629,mot20_03_r0042_305_414_f1760_v_to_u,1784,3,414,305,1,"{""305"": 3}",3,30,30,1,3,29,1,3,1.0,0.602682829408,589,589,589,1.0,1.0,1.0,-0.0,1,1,3,3,0,0,0.0,0.0,87,0,3,0,84,90,0.933333333333,29,32,3,0.090909090909,3,1.0,60,60,1,3,29,31,3,1.0,0.602682829408,589,589,589,1.0,1.0,1.0,-0.0,1,1,3,3,0,0,0.0,0.0,87,0,93,0,-6,180,-0.033333333333,34,32,-2,-0.031746031746,3,1.0,120,120,1,3,72,91,3,1.0,0.602682829408,349,589,589,0.597222222222,1.0,1.0,-0.0,1,0,0,3,0,3,-1.0,-1.0,87,129,273,0,-315,489,-0.644171779141,137,134,-3,-0.018072289157,3,1.0,300,300,1,3,239,271,3,1.0,0.602682829408,349,589,589,0.878661087866,1.0,1.0,-0.0,1,0,0,3,0,3,-1.0,-1.0,87,630,813,0,-1356,1530,-0.886274509804,484,481,-3,-0.005847953216,3,1.0,381,672,1,3,320,643,3,1.0,0.602682829408,349,589,589,0.909375,1.0,1.0,-0.0,1,0,0,3,0,3,-1.0,-1.0,87,873,1929,0,-2715,2889,-0.939771547248,937,934,-3,-0.003105590062,3,1.0,41,60,h30_row_net
