metric,selected_windows,positive_windows,negative_windows,zero_windows,utility_sum,worst_sequence_utility,sequence_utility
h30_row_net,16,12,4,0,0.502846,-0.028759,"{""MOT20-01"": 0.4539619999999757, ""MOT20-02"": 0.0583750000000121, ""MOT20-03"": -0.028759000000022066, ""MOT20-05"": 0.01926799999998234}"
h30_donor_minus_receiver_support_frac,16,12,4,0,0.493249,-0.028759,"{""MOT20-01"": 0.4539619999999757, ""MOT20-02"": 0.0583750000000121, ""MOT20-03"": -0.028759000000022066, ""MOT20-05"": 0.009670999999997203}"
h30_pairwise_net_norm,16,11,5,0,0.42965,-0.034316,"{""MOT20-01"": 0.3912759999999765, ""MOT20-02"": 0.0583750000000121, ""MOT20-03"": -0.03431600000001807, ""MOT20-05"": 0.014314999999982002}"
h30_idtp_delta_norm,16,12,4,0,0.538914,0.005202,"{""MOT20-01"": 0.4539619999999757, ""MOT20-02"": 0.0583750000000121, ""MOT20-03"": 0.005201999999968635, ""MOT20-05"": 0.02137499999997764}"
h60_row_net,16,12,4,0,0.679558,-0.006513,"{""MOT20-01"": 0.4539619999999757, ""MOT20-02"": 0.221350000000015, ""MOT20-03"": 0.010758999999964635, ""MOT20-05"": -0.006512999999998201}"
h60_donor_minus_receiver_support_frac,16,13,3,0,0.692403,0.006332,"{""MOT20-01"": 0.4539619999999757, ""MOT20-02"": 0.221350000000015, ""MOT20-03"": 0.010758999999964635, ""MOT20-05"": 0.0063320000000004}"
h60_pairwise_net_norm,16,11,5,0,0.508069,-0.00947,"{""MOT20-01"": 0.4539619999999757, ""MOT20-02"": 0.0583750000000121, ""MOT20-03"": 0.005201999999968635, ""MOT20-05"": -0.009470000000007299}"
h60_idtp_delta_norm,16,11,5,0,0.633515,0.001104,"{""MOT20-01"": 0.4539619999999757, ""MOT20-02"": 0.1676900000000073, ""MOT20-03"": 0.010758999999964635, ""MOT20-05"": 0.0011039999999838397}"
h120_row_net,16,15,1,0,0.410303,0.007782,"{""MOT20-01"": 0.1679379999999923, ""MOT20-02"": 0.221350000000015, ""MOT20-03"": 0.013232999999956837, ""MOT20-05"": 0.007781999999991601}"
h120_donor_minus_receiver_support_frac,16,15,1,0,0.410303,0.007782,"{""MOT20-01"": 0.1679379999999923, ""MOT20-02"": 0.221350000000015, ""MOT20-03"": 0.013232999999956837, ""MOT20-05"": 0.007781999999991601}"
h120_pairwise_net_norm,16,14,2,0,0.700804,0.008644,"{""MOT20-01"": 0.5640119999999769, ""MOT20-02"": 0.1149150000000103, ""MOT20-03"": 0.013232999999956837, ""MOT20-05"": 0.008643999999989702}"
h120_idtp_delta_norm,16,13,3,0,0.809089,0.001104,"{""MOT20-01"": 0.5705219999999683, ""MOT20-02"": 0.2242300000000055, ""MOT20-03"": 0.013232999999956837, ""MOT20-05"": 0.0011039999999838397}"
h300_row_net,16,14,2,0,0.425203,0.011192,"{""MOT20-01"": 0.1679379999999923, ""MOT20-02"": 0.221350000000015, ""MOT20-03"": 0.024722999999965897, ""MOT20-05"": 0.011191999999994002}"
h300_donor_minus_receiver_support_frac,16,14,2,0,0.425203,0.011192,"{""MOT20-01"": 0.1679379999999923, ""MOT20-02"": 0.221350000000015, ""MOT20-03"": 0.024722999999965897, ""MOT20-05"": 0.011191999999994002}"
h300_pairwise_net_norm,16,14,2,0,0.775104,0.009889,"{""MOT20-01"": 0.5640119999999769, ""MOT20-02"": 0.18797000000002112, ""MOT20-03"": 0.013232999999956837, ""MOT20-05"": 0.009888999999986901}"
h300_idtp_delta_norm,16,14,2,0,0.734082,0.009889,"{""MOT20-01"": 0.5243879999999733, ""MOT20-02"": 0.1676900000000073, ""MOT20-03"": 0.0321149999999758, ""MOT20-05"": 0.009888999999986901}"
full_row_net,16,15,1,0,0.432889,0.013918,"{""MOT20-01"": 0.1679379999999923, ""MOT20-02"": 0.2263100000000119, ""MOT20-03"": 0.024722999999965897, ""MOT20-05"": 0.013917999999989501}"
full_donor_minus_receiver_support_frac,16,15,1,0,0.432889,0.013918,"{""MOT20-01"": 0.1679379999999923, ""MOT20-02"": 0.2263100000000119, ""MOT20-03"": 0.024722999999965897, ""MOT20-05"": 0.013917999999989501}"
full_pairwise_net_norm,16,14,2,0,0.783056,0.008315,"{""MOT20-01"": 0.5640119999999769, ""MOT20-02"": 0.1918700000000085, ""MOT20-03"": 0.018858999999963336, ""MOT20-05"": 0.008314999999981901}"
full_idtp_delta_norm,16,15,1,0,0.703428,0.012615,"{""MOT20-01"": 0.5243879999999733, ""MOT20-02"": 0.13431000000001342, ""MOT20-03"": 0.0321149999999758, ""MOT20-05"": 0.0126149999999824}"
