canonical_rank,seq,track_id,boundary_frame,prev_frame,adjacent_change,adjacent_cos,appearance_change,appearance_margin,area_log_ratio_abs,boundary_position_ratio,frame_density,frame_gap,height_log_ratio_abs,left_cross_cos,left_match_iou_mean,left_self_cos,overlap_max_ioa,overlap_partner_hits,prediction_error_norm,proto_cos,right_cross_cos,right_match_iou_mean,right_self_cos,score_abs_jump,speed_log_ratio_abs,speed_post,speed_pre,track_length,velocity_cos,loso_unary_raw,loso_unary_raw_plus_percentile,proposal_rank,track_a,track_b,partner_rank,partner_ioa,partner_frame_delta,a_left_feat_rows,a_right_feat_rows,b_left_feat_rows,b_right_feat_rows,a_left_match_iou,a_right_match_iou,b_left_match_iou,b_right_match_iou,valid_pair_reid,sim_a_left_a_right,sim_b_left_b_right,sim_a_left_b_left,sim_a_right_b_right,sim_a_left_b_right,sim_b_left_a_right,pair_keep_score,pair_reciprocal_score,pair_swap_margin,old_handoff_score,new_source_score,center_dist_norm,bottom_dist_norm,height_log_ratio_abs_pair,area_log_ratio_abs_pair,a_gt_old,a_gt_new,b_gt_old,b_gt_new,a_gt_old_rows,a_gt_new_rows,b_gt_old_rows,b_gt_new_rows,a_gt_old_purity,a_gt_new_purity,b_gt_old_purity,b_gt_new_purity,label_a_changed,label_b_changed,label_reciprocal_swap,label_old_carrier,label_new_source,label_pair_related,label_pair_class,outer_clean_reciprocal_raw_plus_percentile_ensemble,outer_clean_related_raw_plus_percentile_ensemble,outer_clean_reciprocal_raw_ensemble,outer_clean_related_raw_ensemble,heldout_unary_score,outer_clean_transaction_score,u,v,cluster_size,cluster_min_frame,cluster_max_frame,u_track_start,u_track_end,v_track_start,v_track_end,u_age_at_event,v_age_at_event,u_future_life,v_future_life,pair_min_future_life,pair_max_future_life,pair_end_gap_abs,u_pre_rows,v_pre_rows,u_pre_match_iou,v_pre_match_iou,future_overlap_total_count,future_overlap_last_offset,future_overlap_max_ioa,future_overlap_mean_ioa,u_present_h30,v_present_h30,copresent_h30,copresent_frac_h30,u_reid_rows_h30,v_reid_rows_h30,u_reid_coverage_h30,v_reid_coverage_h30,u_match_iou_h30,v_match_iou_h30,keep_score_h30,swap_score_h30,swap_margin_h30,overlap_count_h30,overlap_max_h30,overlap_mean_h30,u_present_h60,v_present_h60,copresent_h60,copresent_frac_h60,u_reid_rows_h60,v_reid_rows_h60,u_reid_coverage_h60,v_reid_coverage_h60,u_match_iou_h60,v_match_iou_h60,keep_score_h60,swap_score_h60,swap_margin_h60,overlap_count_h60,overlap_max_h60,overlap_mean_h60,u_present_h120,v_present_h120,copresent_h120,copresent_frac_h120,u_reid_rows_h120,v_reid_rows_h120,u_reid_coverage_h120,v_reid_coverage_h120,u_match_iou_h120,v_match_iou_h120,keep_score_h120,swap_score_h120,swap_margin_h120,overlap_count_h120,overlap_max_h120,overlap_mean_h120,u_present_h300,v_present_h300,copresent_h300,copresent_frac_h300,u_reid_rows_h300,v_reid_rows_h300,u_reid_coverage_h300,v_reid_coverage_h300,u_match_iou_h300,v_match_iou_h300,keep_score_h300,swap_score_h300,swap_margin_h300,overlap_count_h300,overlap_max_h300,overlap_mean_h300,chunk0_keep_score,chunk0_swap_score,chunk0_swap_margin,chunk0_valid_both,chunk1_keep_score,chunk1_swap_score,chunk1_swap_margin,chunk1_valid_both,chunk2_keep_score,chunk2_swap_score,chunk2_swap_margin,chunk2_valid_both,chunk3_keep_score,chunk3_swap_score,chunk3_swap_margin,chunk3_valid_both,swap_margin_future_mean,swap_margin_future_min,swap_margin_future_max,swap_margin_positive_horizons,swap_margin_non_decreasing,age_min,age_max,pre_rows_min,pre_match_iou_min,reid_coverage_min_h30,match_iou_min_h30,reid_coverage_min_h60,match_iou_min_h60,reid_coverage_min_h120,match_iou_min_h120,reid_coverage_min_h300,match_iou_min_h300,transaction_type,accepted,changed_rows,effective_start_frame,reject_reason,executor_accepted,executor_changed_rows,executor_changed_rows_log1p,direction_u_to_v,donor_age_at_event,receiver_age_at_event,donor_future_life,receiver_future_life,donor_track_start,receiver_track_start,donor_track_end,receiver_track_end,donor_pre_rows,receiver_pre_rows,donor_pre_match_iou,receiver_pre_match_iou,executor_handoff_delay,executor_impact_receiver_future,executor_impact_pair_future,donor_receiver_age_gap,donor_receiver_future_gap,donor_receiver_pre_rows_gap,donor_receiver_pre_iou_gap,donor_ends_before_receiver,full_idtp_delta_norm,delta_HOTA,delta_AssA,delta_IDF1,rank_start,rank_end
37,MOT20-01,27,70,69,0.097691714764,0.902308285236,0.255743503571,0.230738013983,0.056299469064,0.851851851852,38,1,0.014473904166,0.663477540016,0.981452167034,0.891463637352,0.82851358153,6,0.009295189634,0.744256496429,0.679494440556,0.97293138504,0.912984371185,0.03,0.533313713518,5.27640247345,3.095442295074,82,0.984952778542,0.047951640764,0.195059718062,1250,27,20,2,0.758477568626,3,5,5,5,5,0.981452167034,0.972931349277,0.967127466202,0.964098143578,1,0.74425637722,0.737783551216,0.826718688011,0.864994764328,0.595120191574,0.8483979702,1.482039928436,1.443518161774,-0.038521766663,0.595120191574,0.8483979702,0.109237411045,0.007258900795,0.009326852351,0.067449564961,8.0,8.0,7.0,7.0,5,5,5,5,1.0,1.0,1.0,1.0,0,0,0,0,0,0,keep,0.450373460144,0.429669550909,0.243202164184,0.244244606577,0.195059718062,0.450373460144,20,27,2,70,70,1,429,1,82,69,69,360,13,13,360,347,10,10,0.970491605997,0.98170273304,13,12,0.831493556499,0.760822493296,30,13,13,0.433333333333,30,13,1.0,1.0,0.975759363174,0.976797044277,1.444826960564,1.455329239368,0.010502278805,13,0.831493556499,0.760822493296,60,13,13,0.216666666667,60,13,1.0,1.0,0.975099851688,0.976797044277,1.440540254116,1.481202065945,0.040661811829,13,0.831493556499,0.760822493296,120,13,13,0.108333333333,120,13,1.0,1.0,0.973122782509,0.976797044277,1.455103635788,1.53776049614,0.082656860352,13,0.831493556499,0.760822493296,300,13,13,0.043333333333,300,13,1.0,1.0,0.979984605312,0.976797044277,1.41523373127,1.529449939728,0.114216208458,13,0.831493556499,0.760822493296,1.444826960564,1.455329239368,0.010502278805,1,,,,0,,,,0,,,,0,0.062009289861,0.010502278805,0.114216208458,4,1,69,69,10,0.970491605997,1.0,0.975759363174,1.0,0.975099851688,1.0,0.973122782509,1.0,0.976797044277,v_to_u,1,347,83.0,,1,347.0,5.852202479774,0,69,69,13,360,1,1,82,429,10,10,0.98170273304,0.970491605997,13.0,0.961218836565,0.927807486631,0,-347,0,0.011211127043,1,0.320939334638,0.436431,0.83944,0.173332313731,21,40
49,MOT20-01,28,347,346,0.101043641567,0.898956358433,0.233345508575,0.219798803329,0.064750434135,0.808411214953,48,1,0.000454215124,0.724585652351,0.973398983479,0.945126712322,0.874787307654,2,0.00564103088,0.766654491425,0.719708323479,0.956567168236,0.938764870167,0.03,1.295550416734,1.211436390877,4.425384521484,429,0.629441873021,0.870091977371,0.940159503363,21,28,17,1,0.882113516331,-2,5,5,5,1,0.973398983479,0.956567168236,0.969686508179,0.976124048233,1,0.766654491425,0.869557380676,0.882316112518,0.810019731522,0.730511844158,0.738262057304,1.636211872101,1.468773901463,-0.167437970638,0.730511844158,0.738262057304,0.087707147104,0.112716369088,0.110010404247,0.17578059929,28.0,30.0,30.0,30.0,3,4,5,1,1.0,1.0,1.0,1.0,1,0,0,0,1,1,new_identity_source,0.236984458988,0.414520746471,0.055293805861,0.318504949088,0.940159503363,0.414520746471,17,28,1,347,347,1,347,1,429,346,346,1,83,1,83,82,10,10,0.976481151581,0.974283111095,1,0,0.873602926731,0.873602926731,1,30,1,0.033333333333,1,30,1.0,1.0,0.976124048233,0.952850719293,1.499969601631,1.347466647625,-0.152502954006,1,0.873602926731,0.873602926731,1,60,1,0.016666666667,1,60,1.0,1.0,0.976124048233,0.966587731242,1.439749777317,1.286906838417,-0.1528429389,1,0.873602926731,0.873602926731,1,83,1,0.008333333333,1,83,1.0,1.0,0.976124048233,0.969949147069,1.403890252113,1.245892345905,-0.157997906208,1,0.873602926731,0.873602926731,1,83,1,0.003333333333,1,83,1.0,1.0,0.976124048233,0.969949147069,1.403890252113,1.245892345905,-0.157997906208,1,0.873602926731,0.873602926731,1.499969601631,1.347466647625,-0.152502954006,1,,,,0,,,,0,,,,0,-0.155335426331,-0.157997906208,-0.152502954006,0,0,346,346,10,0.974283111095,1.0,0.952850719293,1.0,0.966587731242,1.0,0.969949147069,1.0,0.969949147069,u_to_v,1,82,348.0,,1,82.0,4.418840607797,1,346,346,1,83,1,1,347,429,10,10,0.976481151581,0.974283111095,1.0,0.97619047619,0.964705882353,0,-82,0,0.002198040485,1,0.0,0.046867,0.075333,0.0,41,60
74,MOT20-01,29,181,180,0.106314539909,0.893685460091,0.174721479416,0.162394523621,0.058056095353,0.532544378698,46,1,0.038124224638,0.755959153175,0.84022128582,0.916004657745,0.540166367412,6,0.021037843053,0.825278520584,0.778149008751,0.97445088625,0.942892551422,0.03,0.032042258529,3.539696455002,3.65495300293,339,0.997143751351,0.181375124521,0.421073574126,788,29,17,1,0.555291056633,1,5,5,5,5,0.840221369267,0.974450910091,0.724002373219,0.720908021927,1,0.825278460979,0.87793391943,0.874583721161,0.643187940121,0.804945707321,0.721623659134,1.703212380409,1.526569366455,-0.176643013954,0.804945707321,0.721623659134,0.173791572484,0.031830898353,0.034984748822,0.086880376614,30.0,30.0,29.0,29.0,5,5,5,5,1.0,1.0,1.0,1.0,0,0,0,0,0,0,keep,0.112976476395,0.319370968902,0.038132760597,0.188430734846,0.421073574126,0.319370968902,17,29,9,181,198,1,347,1,339,180,180,167,159,159,167,8,10,10,0.712584167719,0.835174053907,124,137,1.0,0.624792259547,30,30,30,1.0,30,30,1.0,1.0,0.916996822755,0.972717922926,1.296072602272,1.304242432117,0.008169829845,30,0.677859067917,0.567798791329,60,60,60,1.0,60,60,1.0,1.0,0.947706082463,0.976262078683,1.253779292107,1.255523681641,0.001744389534,57,0.687509775162,0.541705704572,120,120,120,1.0,120,120,1.0,1.0,0.939035082857,0.975674574077,1.192191541195,1.171953350306,-0.020238190889,106,1.0,0.608359852208,167,159,159,0.53,167,159,1.0,1.0,0.925526562208,0.967868367456,1.158916294575,1.149209082127,-0.009707212448,124,1.0,0.624792259547,1.296072602272,1.304242432117,0.008169829845,1,1.071304440498,1.068408817053,-0.002895623446,1,1.040445119143,1.000190705061,-0.040254414082,1,0.84871956706,0.867802709341,0.019083142281,1,-0.00500779599,-0.020238190889,0.008169829845,2,0,180,180,10,0.712584167719,1.0,0.916996822755,1.0,0.947706082463,1.0,0.939035082857,1.0,0.925526562208,v_to_u,1,8,340.0,,1,8.0,2.197224577336,0,180,180,159,167,1,1,339,347,10,10,0.835174053907,0.712584167719,159.0,0.047619047619,0.024464831804,0,-8,0,0.122589886189,1,0.011940298507,0.040357,0.0829,0.040784073819,61,80
93,MOT20-01,62,368,367,0.098091602325,0.901908397675,0.214489579201,0.191243112087,0.004783017372,0.732456140351,46,1,0.003576562694,0.67596322298,0.72645843029,0.860540211201,0.962728669422,12,2.6377562e-05,0.785510420799,0.724789440632,0.956360518932,0.922698676586,0.0,0.006062948619,2.797981977463,2.781069278717,229,0.454809372068,0.89283446098,0.927363344444,42,62,95,3,0.600654840469,0,5,5,0,5,0.726458454132,0.956360530853,0.0,0.986335074902,0,0.785510480404,,,0.43970489502,0.544404447079,,,,,,,0.294826617828,0.165340044481,0.247042700248,0.399637193923,20.0,20.0,,48.0,1,5,0,5,1.0,1.0,0.0,1.0,0,0,0,0,0,0,keep,0.027780383546,0.240309232871,0.021726050547,0.184425078026,0.927363344444,0.240309232871,62,95,1,368,368,201,429,368,421,167,0,62,54,54,62,8,10,0,0.706950098276,0.0,7,6,0.600654840469,0.477227934769,30,30,30,1.0,30,30,1.0,1.0,0.974537326892,0.875327948729,,,,7,0.600654840469,0.477227934769,60,54,54,0.9,60,54,1.0,1.0,0.975083881617,0.874213249595,,,,7,0.600654840469,0.477227934769,62,54,54,0.45,62,54,1.0,1.0,0.974998260698,0.874213249595,,,,7,0.600654840469,0.477227934769,62,54,54,0.18,62,54,1.0,1.0,0.974998260698,0.874213249595,,,,7,0.600654840469,0.477227934769,,,,1,,,,1,,,,0,,,,0,,,,0,0,0,167,0,0.0,1.0,0.875327948729,1.0,0.874213249595,1.0,0.874213249595,1.0,0.874213249595,v_to_u,1,8,422.0,,1,8.0,2.197224577336,0,0,167,54,62,368,201,421,429,0,10,0.0,0.706950098276,54.0,0.126984126984,0.068376068376,-167,-8,-10,-0.706950098276,1,0.029411764706,0.000733,0.00134,0.0,81,100
34,MOT20-02,310,2119,2118,0.121431231499,0.878568768501,0.164545059204,0.146407395601,0.022066516385,0.975663716814,89,1,0.004422021145,0.775938391685,0.958712279797,0.928761482239,0.971289614142,8,0.003503760144,0.835454940796,0.71078813076,0.881456077099,0.850779831409,0.01,0.031985532446,4.995917797089,4.838649272919,453,-0.994184427138,0.800330948446,0.748066076372,1484,310,453,1,0.98712593317,1,5,5,5,5,0.958712315559,0.881456112862,0.772437667847,0.94602124691,1,0.835454702377,0.839737176895,1.0,0.897602558136,0.839737176895,0.835454702377,1.675191879272,1.675191879272,0.0,0.839737176895,0.835454702377,0.025790316134,0.020135844694,0.00861156749,0.036886475649,180.0,78.0,78.0,78.0,5,3,5,5,0.8,0.666666666667,0.8,0.6,1,0,0,0,1,1,new_identity_source,0.625744856822,0.647506683002,0.715732860576,0.693645776676,0.748066076372,0.647506683002,310,453,7,2111,2123,1678,2130,2094,2198,441,25,12,80,12,80,68,10,10,0.959805631638,0.7561191082,12,11,0.98712593317,0.740718414386,12,30,12,0.4,12,30,1.0,1.0,0.862621674935,0.97062266469,1.531136512756,1.527415037155,-0.003721475601,12,0.98712593317,0.740718414386,12,60,12,0.2,12,60,1.0,1.0,0.862621674935,0.970839381218,1.55618005991,1.551144957542,-0.005035102367,12,0.98712593317,0.740718414386,12,80,12,0.1,12,80,1.0,1.0,0.862621674935,0.972558405995,1.523944377899,1.516329407692,-0.007614970207,12,0.98712593317,0.740718414386,12,80,12,0.04,12,80,1.0,1.0,0.862621674935,0.972558405995,1.523944377899,1.516329407692,-0.007614970207,12,0.98712593317,0.740718414386,1.531136512756,1.527415037155,-0.003721475601,1,,,,0,,,,0,,,,0,-0.005996629596,-0.007614970207,-0.003721475601,0,0,25,441,10,0.7561191082,1.0,0.862621674935,1.0,0.862621674935,1.0,0.862621674935,1.0,0.862621674935,u_to_v,1,68,2131.0,,1,68.0,4.234106504597,1,441,25,12,80,1678,2094,2130,2198,10,10,0.959805631638,0.7561191082,12.0,0.83950617284,0.731182795699,416,-68,0,0.203686523437,1,0.083870967742,0.00223,0.004084,-0.003924248915,21,40
56,MOT20-02,214,1536,1535,0.060505628586,0.939494371414,0.105266809464,0.100352793932,0.040875495708,0.513071895425,63,1,0.022589666211,0.843887150288,0.943648457527,0.943171858788,0.958344208722,19,0.007909861951,0.894733190536,0.862043261528,0.961239635944,0.963464140892,0.0,0.195426391319,1.205633878708,1.465844988823,613,0.607800149543,0.907731410721,0.935479664722,227,214,246,1,0.958344221115,0,5,5,5,1,0.943648517132,0.961239659786,0.917683577538,0.957632660866,1,0.894733190536,0.881029725075,0.930620789528,0.952550411224,0.9043866992,0.870937228203,1.775762915611,1.775323927402,-0.000438988209,0.9043866992,0.870937228203,0.034008737908,0.050536277603,0.043388376345,0.069539170634,38.0,38.0,36.0,,5,5,4,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,keep,0.466839439218,0.605340707959,0.44237858686,0.635545819875,0.935479664722,0.605340707959,214,246,1,1536,1536,1222,1834,1392,1536,314,144,299,1,1,299,298,10,10,0.961061638594,0.949869698286,1,0,0.958344221115,0.958344221115,30,1,1,0.033333333333,30,1,1.0,1.0,0.976378315687,0.957632660866,1.674695193768,1.670480132103,-0.004215061665,1,0.958344221115,0.958344221115,60,1,1,0.016666666667,60,1,1.0,1.0,0.977704904477,0.957632660866,1.619105815887,1.59342455864,-0.025681257248,1,0.958344221115,0.958344221115,120,1,1,0.008333333333,120,1,1.0,1.0,0.981803869704,0.957632660866,1.544375121593,1.503660798073,-0.040714323521,1,0.958344221115,0.958344221115,299,1,1,0.003333333333,299,1,1.0,1.0,0.977722669525,0.957632660866,1.368278324604,1.333870530128,-0.034407794476,1,0.958344221115,0.958344221115,1.674695193768,1.670480132103,-0.004215061665,1,,,,0,,,,0,,,,0,-0.026254609227,-0.040714323521,-0.004215061665,0,0,144,314,10,0.949869698286,1.0,0.957632660866,1.0,0.957632660866,1.0,0.957632660866,1.0,0.957632660866,v_to_u,1,298,1537.0,,1,298.0,5.700443573391,0,144,314,1,299,1392,1222,1536,1834,10,10,0.949869698286,0.961061638594,1.0,0.993333333333,0.990033222591,-170,-298,0,-0.011191940308,1,0.346153846154,0.05033,0.10592,0.033356115778,41,60
77,MOT20-02,104,513,512,0.188805937767,0.811194062233,0.214536428452,0.19895619154,0.02896275104,0.121082621083,38,1,0.011142374247,0.749087870121,0.970268368721,0.953688919544,0.822490986383,9,0.053525546788,0.785463571548,0.707754015923,0.917130172253,0.901065349579,0.17,0.645174617087,5.075657844543,2.662542581558,703,0.486223299498,0.630539440455,0.585149319983,2277,104,117,1,0.822490990162,0,5,5,0,1,0.970268404484,0.917130184174,0.0,0.999793469906,0,0.785463511944,,,0.915887832642,0.808091878891,,,,,,,0.075450856995,0.048733636881,0.00313524555,0.034579048498,276.0,276.0,,276.0,5,4,0,1,1.0,1.0,0.0,1.0,0,0,0,0,0,0,keep,0.00747219231,0.577785680333,0.014075261776,0.637366446591,0.585149319983,0.577785680333,104,117,1,513,513,428,1130,513,513,85,0,618,1,1,618,617,10,0,0.97487282753,0.0,1,0,0.822490990162,0.822490990162,30,1,1,0.033333333333,30,1,1.0,1.0,0.974442176024,0.999793469906,,,,1,0.822490990162,0.822490990162,60,1,1,0.016666666667,60,1,1.0,1.0,0.978833679358,0.999793469906,,,,1,0.822490990162,0.822490990162,120,1,1,0.008333333333,120,1,1.0,1.0,0.968393313885,0.999793469906,,,,1,0.822490990162,0.822490990162,300,1,1,0.003333333333,300,1,1.0,1.0,0.979188846548,0.999793469906,,,,1,0.822490990162,0.822490990162,,,,1,,,,0,,,,0,,,,0,,,,0,0,0,85,0,0.0,1.0,0.974442176024,1.0,0.978833679358,1.0,0.968393313885,1.0,0.979188846548,v_to_u,1,617,514.0,,1,617.0,6.426488457458,0,0,85,1,618,513,428,513,1130,0,10,0.0,0.97487282753,1.0,0.996768982229,0.995161290323,-85,-617,-10,-0.97487282753,1,0.053333333333,0.00826,0.015433,-0.010464663774,61,80
91,MOT20-02,454,2111,2110,0.116863667965,0.883136332035,0.402814030647,0.343070864677,0.00202803983,0.384615384615,88,1,0.001118925948,0.509996235371,0.795301496983,0.853999257088,0.983399096755,14,3.1574299e-05,0.597185969353,0.507232367992,0.832444965839,0.84937107563,0.0,2.828952e-06,5.393787384033,5.393802642822,40,0.999999691471,0.595954086622,0.451962188684,2942,454,262,1,0.983399093151,0,1,4,5,5,0.692729413509,0.797696277499,0.93403441906,0.957751572132,1,0.790290594101,0.732837080956,0.906985402107,0.82475322485,0.800082921982,0.796295523643,1.523127675056,1.596378445625,0.073250770569,0.800082921982,0.796295523643,0.017511481145,0.040591805766,0.051453038797,0.063151521908,126.0,126.0,126.0,126.0,1,1,4,4,1.0,1.0,1.0,1.0,0,0,0,0,0,0,keep,0.547365840625,0.555738299947,0.552941824158,0.565389537206,0.451962188684,0.555738299947,262,454,2,2109,2111,1453,2728,2096,2135,658,15,618,25,25,618,593,10,6,0.937328076363,0.823998868465,5,4,0.983399093151,0.677549356222,30,25,25,0.833333333333,30,24,1.0,0.96,0.97133338054,0.920862170557,1.195312678814,1.312966644764,0.11765396595,5,0.983399093151,0.677549356222,60,25,25,0.416666666667,60,24,1.0,0.96,0.977860674262,0.920862170557,1.101052999496,1.261250555515,0.160197556019,5,0.983399093151,0.677549356222,120,25,25,0.208333333333,120,24,1.0,0.96,0.979306684931,0.920862170557,1.099874436855,1.28634929657,0.186474859715,5,0.983399093151,0.677549356222,300,25,25,0.083333333333,300,24,1.0,0.96,0.963015527527,0.920862170557,1.093124806881,1.344761967659,0.251637160778,5,0.983399093151,0.677549356222,1.195312678814,1.312966644764,0.11765396595,1,,,,0,,,,0,,,,0,0.178990885615,0.11765396595,0.251637160778,4,1,15,658,6,0.823998868465,0.96,0.920862170557,0.96,0.920862170557,0.96,0.920862170557,0.96,0.920862170557,v_to_u,1,593,2136.0,,1,593.0,6.386879319363,0,15,658,25,618,2096,1453,2135,2728,6,10,0.823998868465,0.937328076363,25.0,0.957996768982,0.920807453416,-643,-593,-4,-0.113329207897,1,0.344854673998,0.07349,0.14551,0.141272960944,81,100
22,MOT20-03,273,1205,1204,0.032346606255,0.967653393745,0.16383934021,0.15247040987,0.004730378098,0.626666666667,125,1,0.005148121687,0.800989329815,0.989014804363,0.957937240601,0.969543193827,6,0.00643677542,0.83616065979,0.755286991596,0.935042202473,0.903279900551,0.0,1.237419340126,6.864472866058,1.991603136063,301,0.972937765918,0.783030900093,0.888348284596,883,273,281,1,0.985379934311,1,5,5,5,5,0.989014852047,0.935042238235,0.706428492069,0.945360183716,1,0.836160540581,0.89192533493,1.0,0.915701210499,0.89192533493,0.836160540581,1.728085875511,1.728085875511,0.0,0.89192533493,0.836160540581,0.029874370223,0.041242155025,0.050997341858,0.112612813319,410.0,316.0,316.0,410.0,5,5,5,3,1.0,0.6,1.0,1.0,1,1,1,1,1,1,reciprocal_swap,0.654171526661,0.655609332122,0.69470922761,0.705011340032,0.888348284596,0.655609332122,273,281,2,1205,1205,1017,1317,1041,1686,188,164,113,482,113,482,369,10,10,0.989448565245,0.700014001131,40,39,0.985379934311,0.687285611778,30,30,30,1.0,30,30,1.0,1.0,0.948811431726,0.973330404361,1.246587395668,1.262608289719,0.016020894051,30,0.985379934311,0.758408345779,60,60,60,1.0,60,60,1.0,1.0,0.959446530541,0.979100415111,1.10913169384,1.141565859318,0.032434165478,40,0.985379934311,0.687285611778,113,120,113,0.941666666667,113,120,1.0,1.0,0.964243832415,0.983900446196,1.083410024643,1.133806735277,0.050396710634,40,0.985379934311,0.687285611778,113,300,113,0.376666666667,113,300,1.0,1.0,0.964243832415,0.98643352131,0.967517912388,1.020959049463,0.053441137075,40,0.985379934311,0.687285611778,1.246587395668,1.262608289719,0.016020894051,1,0.773248553276,0.814504593611,0.041256040335,1,0.763447731733,0.820290699601,0.056842967868,1,,,,0,0.03807322681,0.016020894051,0.053441137075,4,1,164,188,10,0.700014001131,1.0,0.948811431726,1.0,0.959446530541,1.0,0.964243832415,1.0,0.964243832415,u_to_v,1,369,1318.0,,1,369.0,5.913503005638,1,188,164,113,482,1017,1041,1317,1686,10,10,0.989448565245,0.700014001131,113.0,0.76397515528,0.619127516779,24,-369,0,0.289434564114,1,0.138709677419,0.01216,0.03773,0.033570424456,21,40
41,MOT20-03,566,2155,2154,0.077033042908,0.922966957092,0.245327472687,0.224596172571,0.016561648851,0.732739420935,169,1,0.023424274621,0.711499392986,0.974109947681,0.942792117596,0.893737512439,15,0.011211126626,0.754672527313,0.670299232006,0.980595111847,0.888198852539,0.0,0.803615775736,3.626829385757,1.623757719994,450,0.382824527618,0.820405477424,0.892834525976,822,566,552,1,0.893737494946,0,5,5,5,5,0.974109888077,0.980595064163,0.619337534904,0.91551977396,1,0.754672646523,0.865872681141,0.976735532284,0.823091983795,0.873348593712,0.745382905006,1.620545327663,1.618731498718,-0.001813828945,0.873348593712,0.745382905006,0.053118069578,0.01728181706,0.024492040187,0.065462722537,633.0,731.0,731.0,633.0,5,5,5,5,0.6,1.0,0.6,1.0,1,1,1,1,1,1,reciprocal_swap,0.546689201279,0.479788821273,0.560408512591,0.517869392787,0.892834525976,0.546689201279,552,566,2,2154,2155,1786,2327,1826,2275,369,329,173,121,121,173,52,10,10,0.618272286654,0.977569156885,47,120,0.893737494946,0.426532246965,30,30,30,1.0,30,30,1.0,1.0,0.966674375534,0.971796967586,1.410434365273,1.351666986942,-0.05876737833,8,0.893737494946,0.528264552355,60,60,60,1.0,60,60,1.0,1.0,0.973721954226,0.971744128068,1.381630718708,1.295173883438,-0.08645683527,8,0.893737494946,0.528264552355,120,120,120,1.0,120,120,1.0,1.0,0.980327957869,0.974107086162,1.35748898983,1.288064718246,-0.069424271584,46,0.893737494946,0.424292103104,173,121,121,0.403333333333,173,121,1.0,1.0,0.979179251056,0.973955901201,1.31767231226,1.259063124657,-0.058609187603,47,0.893737494946,0.426532246965,1.410434365273,1.351666986942,-0.05876737833,1,1.253335773945,1.137294173241,-0.116041600704,1,1.089608550072,1.063735544682,-0.02587300539,1,0.646759927273,0.785385578871,0.138625651598,1,-0.068314418197,-0.08645683527,-0.058609187603,0,0,329,369,10,0.618272286654,1.0,0.966674375534,1.0,0.971744128068,1.0,0.974107086162,1.0,0.973955901201,v_to_u,1,52,2276.0,,1,52.0,3.970291913552,0,329,369,121,173,1826,1786,2275,2327,10,10,0.977569156885,0.618272286654,121.0,0.298850574713,0.176271186441,-40,-52,0,0.359296870232,1,0.052419354839,0.007583,0.016386,0.016785212228,41,60
