threshold,selected_windows,covered_sequences,local_positive_windows,local_nonpositive_windows,local_positive_precision,local_positive_sum,local_negative_mass,local_negative_mass_fraction,local_utility_sum,worst_sequence_local_utility,catastrophic_local_windows,sequence_local_utility,eligible,outer_held_out_seq
0.4,11,3,4,7,0.363636363636,0.545589436414,0.515599182594,0.945031461721,0.02999025382,-0.494670336346,2,"{""MOT20-02"": 0.49335706646800004, ""MOT20-03"": -0.494670336346, ""MOT20-05"": 0.031303523698}",0,MOT20-01
0.45,10,3,4,6,0.4,0.545589436414,0.515599182594,0.945031461721,0.02999025382,-0.494670336346,2,"{""MOT20-02"": 0.49335706646800004, ""MOT20-03"": -0.494670336346, ""MOT20-05"": 0.031303523698}",0,MOT20-01
0.5,10,3,4,6,0.4,0.545589436414,0.554718859015,1.016733136662,-0.009129422601,-0.494670336346,2,"{""MOT20-02"": 0.45423739004700003, ""MOT20-03"": -0.494670336346, ""MOT20-05"": 0.031303523698}",0,MOT20-01
0.55,9,3,4,5,0.444444444444,0.541347654866,0.607340188741,1.121904165063,-0.065992533875,-0.299302604336,2,"{""MOT20-02"": 0.45423739004700003, ""MOT20-03"": -0.220927319586, ""MOT20-05"": -0.2993026043359999}",0,MOT20-01
0.6,8,3,4,4,0.5,0.535371630532,0.604833923077,1.129745934569,-0.069462292545,-0.302772363006,2,"{""MOT20-02"": 0.45423739004700003, ""MOT20-03"": -0.220927319586, ""MOT20-05"": -0.30277236300599997}",0,MOT20-01
0.65,6,3,2,4,0.333333333333,0.030023129374,0.604833923077,20.145598932828,-0.574810793703,-0.302772363006,2,"{""MOT20-02"": -0.051111111111, ""MOT20-03"": -0.220927319586, ""MOT20-05"": -0.30277236300599997}",0,MOT20-01
0.7,4,3,0,4,0.0,0.0,0.604833923077,604833923077.0,-0.604833923077,-0.331578947368,2,"{""MOT20-02"": -0.051111111111, ""MOT20-03"": -0.222143864598, ""MOT20-05"": -0.331578947368}",0,MOT20-01
0.75,3,3,0,3,0.0,0.0,0.604833923077,604833923077.0,-0.604833923077,-0.331578947368,2,"{""MOT20-02"": -0.051111111111, ""MOT20-03"": -0.222143864598, ""MOT20-05"": -0.331578947368}",0,MOT20-01
0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""MOT20-02"": 0.0, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",0,MOT20-01
0.4,10,3,4,6,0.4,0.049025186419,0.568055238973,11.587008239358,-0.519030052554,-0.494670336346,2,"{""MOT20-01"": 0.046198335449, ""MOT20-03"": -0.494670336346, ""MOT20-05"": -0.07055805165699999}",0,MOT20-02
0.45,10,3,4,6,0.4,0.049025186419,0.509128238093,10.385034209593,-0.460103051674,-0.494670336346,2,"{""MOT20-01"": 0.046198335449, ""MOT20-03"": -0.494670336346, ""MOT20-05"": -0.011631050777}",0,MOT20-02
0.5,10,3,4,6,0.4,0.049025186419,0.509128238093,10.385034209593,-0.460103051674,-0.494670336346,2,"{""MOT20-01"": 0.046198335449, ""MOT20-03"": -0.494670336346, ""MOT20-05"": -0.011631050777}",0,MOT20-02
0.55,9,3,3,6,0.333333333333,0.019613421713,0.509128238093,25.958154856556,-0.48951481638,-0.494670336346,2,"{""MOT20-01"": 0.016786570743, ""MOT20-03"": -0.494670336346, ""MOT20-05"": -0.011631050777}",0,MOT20-02
0.6,8,2,2,6,0.25,0.00282685097,0.509128238093,180.104378864019,-0.506301387123,-0.494670336346,2,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.494670336346, ""MOT20-05"": -0.011631050777}",0,MOT20-02
0.65,5,2,1,4,0.2,0.001216545012,0.509128238093,418.503411769362,-0.507911693081,-0.494670336346,2,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.494670336346, ""MOT20-05"": -0.013241356735000001}",0,MOT20-02
0.7,4,2,1,3,0.25,0.001216545012,0.235385221333,193.48665196204,-0.234168676321,-0.220927319586,1,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.220927319586, ""MOT20-05"": -0.013241356735000001}",0,MOT20-02
0.75,2,2,0,2,0.0,0.0,0.553722811966,553722811966.0,-0.553722811966,-0.331578947368,2,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.222143864598, ""MOT20-05"": -0.331578947368}",0,MOT20-02
0.8,2,2,0,2,0.0,0.0,0.553722811966,553722811966.0,-0.553722811966,-0.331578947368,2,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.222143864598, ""MOT20-05"": -0.331578947368}",0,MOT20-02
0.4,9,3,3,6,0.333333333333,0.826287835796,0.11018932929,0.13335465502,0.716098506506,-0.059078218179,0,"{""MOT20-01"": 0.320939334638, ""MOT20-02"": 0.45423739004700003, ""MOT20-05"": -0.059078218179}",0,MOT20-03
0.45,9,3,4,5,0.444444444444,0.827898141754,0.112544377655,0.135939884364,0.715353764099,-0.059822960586,0,"{""MOT20-01"": 0.320939334638, ""MOT20-02"": 0.45423739004700003, ""MOT20-05"": -0.059822960586}",0,MOT20-03
0.5,9,3,5,4,0.555555555556,0.86268075045,0.053617376775,0.062152049582,0.809063373675,0.03388664899,0,"{""MOT20-01"": 0.320939334638, ""MOT20-02"": 0.45423739004700003, ""MOT20-05"": 0.03388664899}",0,MOT20-03
0.55,9,3,4,5,0.444444444444,0.861070444492,0.072343968535,0.084016318291,0.788726475957,0.013549751272,0,"{""MOT20-01"": 0.320939334638, ""MOT20-02"": 0.45423739004700003, ""MOT20-05"": 0.013549751272}",0,MOT20-03
0.6,8,3,4,4,0.5,0.827813388809,0.069837702871,0.084364065398,0.757975685938,-0.017201038747,0,"{""MOT20-01"": 0.320939334638, ""MOT20-02"": 0.45423739004700003, ""MOT20-05"": -0.017201038747000002}",0,MOT20-03
0.65,7,3,3,4,0.428571428571,0.826287835796,0.382690058479,0.463143764074,0.443597777317,-0.331578947368,1,"{""MOT20-01"": 0.320939334638, ""MOT20-02"": 0.45423739004700003, ""MOT20-05"": -0.331578947368}",0,MOT20-03
0.7,5,2,2,3,0.4,0.505348501158,0.382690058479,0.757279496431,0.122658442679,-0.331578947368,1,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.45423739004700003, ""MOT20-05"": -0.331578947368}",0,MOT20-03
0.75,3,2,1,2,0.333333333333,0.16049382716,0.051111111111,0.318461538462,0.109382716049,0.0,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.10938271604899999, ""MOT20-05"": 0.0}",0,MOT20-03
0.8,1,1,1,0,1.0,0.16049382716,-0.0,-0.0,0.16049382716,0.16049382716,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.16049382716, ""MOT20-05"": 0.0}",0,MOT20-03
0.4,10,3,4,6,0.4,0.041958497362,0.44106228998,10.511870484176,-0.399103792618,-0.217516645183,2,"{""MOT20-01"": -0.217516645183, ""MOT20-02"": -0.179698102385, ""MOT20-03"": -0.0018890450499999998}",0,MOT20-05
0.45,10,3,4,6,0.4,0.022776487162,0.44106228998,19.364807524659,-0.418285802818,-0.217516645183,2,"{""MOT20-01"": -0.217516645183, ""MOT20-02"": -0.198880112585, ""MOT20-03"": -0.0018890450499999998}",0,MOT20-05
0.5,10,3,4,6,0.4,0.022776487162,0.44106228998,19.364807524659,-0.418285802818,-0.217516645183,2,"{""MOT20-01"": -0.217516645183, ""MOT20-02"": -0.198880112585, ""MOT20-03"": -0.0018890450499999998}",0,MOT20-05
