selected_windows,covered_sequences,selected_sequences,positive_windows,negative_windows,zero_windows,positive_precision,positive_sum,negative_mass,utility_sum,worst_sequence_utility,sequence_utility,catastrophic_local_windows,candidate_stability_min,candidate_stability_mean,motion_min_min,motion_q25_min,outer_held_out_seq,gate_config,gate_order,eligible
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,3,0.375,0.376176975528,0.372798222237,0.003378753291,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.146886942719}",2,0.8,0.981818181818,0.153846153846,0.307692307692,MOT20-01,stable080_no_motion_veto,0,0
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,3,0.375,0.376176975528,0.372798222237,0.003378753291,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.146886942719}",2,0.8,0.981818181818,0.153846153846,0.307692307692,MOT20-01,stable080_motion_min_ge_010,1,0
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,3,0.375,0.376176975528,0.372798222237,0.003378753291,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.146886942719}",2,0.8,0.981818181818,0.153846153846,0.307692307692,MOT20-01,stable080_motion_min_ge_015,2,0
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,4,3,0.428571428571,0.376176975528,0.226403466228,0.1497735093,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.146886942719}",1,0.8,0.98,0.285714285714,0.5,MOT20-01,stable080_motion_min_ge_020,3,0
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,4,3,0.428571428571,0.376176975528,0.226403466228,0.1497735093,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.146886942719}",1,0.8,0.98,0.285714285714,0.5,MOT20-01,stable080_motion_min_ge_025,4,0
9,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,4,2,0.428571428571,0.376176975528,0.226403466228,0.1497735093,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.146886942719}",1,0.8,0.977777777778,0.416666666667,0.5,MOT20-01,stable080_motion_min_ge_030,5,0
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,3,0.375,0.376176975528,0.372798222237,0.003378753291,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.146886942719}",2,0.8,0.981818181818,0.153846153846,0.307692307692,MOT20-01,stable080_motion_q25_ge_020,6,0
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,3,0.375,0.376176975528,0.372798222237,0.003378753291,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.146886942719}",2,0.8,0.981818181818,0.153846153846,0.307692307692,MOT20-01,stable080_motion_q25_ge_025,7,0
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,3,0.375,0.376176975528,0.372798222237,0.003378753291,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.146886942719}",2,0.8,0.981818181818,0.153846153846,0.307692307692,MOT20-01,stable080_motion_q25_ge_030,8,0
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,4,3,0.428571428571,0.376176975528,0.226403466228,0.1497735093,-0.146886942719,"{'MOT20-02': 0.295443907007, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.146886942719}",1,0.8,0.98,0.285714285714,0.5,MOT20-01,stable080_motion_q25_ge_035,9,0
