canonical_rank,seq,track_id,boundary_frame,prev_frame,adjacent_change,adjacent_cos,appearance_change,appearance_margin,area_log_ratio_abs,boundary_position_ratio,frame_density,frame_gap,height_log_ratio_abs,left_cross_cos,left_match_iou_mean,left_self_cos,overlap_max_ioa,overlap_partner_hits,prediction_error_norm,proto_cos,right_cross_cos,right_match_iou_mean,right_self_cos,score_abs_jump,speed_log_ratio_abs,speed_post,speed_pre,track_length,velocity_cos,loso_unary_raw,loso_unary_raw_plus_percentile,proposal_rank,track_a,track_b,partner_rank,partner_ioa,partner_frame_delta,a_left_feat_rows,a_right_feat_rows,b_left_feat_rows,b_right_feat_rows,a_left_match_iou,a_right_match_iou,b_left_match_iou,b_right_match_iou,valid_pair_reid,sim_a_left_a_right,sim_b_left_b_right,sim_a_left_b_left,sim_a_right_b_right,sim_a_left_b_right,sim_b_left_a_right,pair_keep_score,pair_reciprocal_score,pair_swap_margin,old_handoff_score,new_source_score,center_dist_norm,bottom_dist_norm,height_log_ratio_abs_pair,area_log_ratio_abs_pair,a_gt_old,a_gt_new,b_gt_old,b_gt_new,a_gt_old_rows,a_gt_new_rows,b_gt_old_rows,b_gt_new_rows,a_gt_old_purity,a_gt_new_purity,b_gt_old_purity,b_gt_new_purity,label_a_changed,label_b_changed,label_reciprocal_swap,label_old_carrier,label_new_source,label_pair_related,label_pair_class,outer_clean_reciprocal_raw_plus_percentile_ensemble,outer_clean_related_raw_plus_percentile_ensemble,outer_clean_reciprocal_raw_ensemble,outer_clean_related_raw_ensemble,heldout_unary_score,outer_clean_transaction_score,u,v,cluster_size,cluster_min_frame,cluster_max_frame,u_track_start,u_track_end,v_track_start,v_track_end,u_age_at_event,v_age_at_event,u_future_life,v_future_life,pair_min_future_life,pair_max_future_life,pair_end_gap_abs,u_pre_rows,v_pre_rows,u_pre_match_iou,v_pre_match_iou,future_overlap_total_count,future_overlap_last_offset,future_overlap_max_ioa,future_overlap_mean_ioa,u_present_h30,v_present_h30,copresent_h30,copresent_frac_h30,u_reid_rows_h30,v_reid_rows_h30,u_reid_coverage_h30,v_reid_coverage_h30,u_match_iou_h30,v_match_iou_h30,keep_score_h30,swap_score_h30,swap_margin_h30,overlap_count_h30,overlap_max_h30,overlap_mean_h30,u_present_h60,v_present_h60,copresent_h60,copresent_frac_h60,u_reid_rows_h60,v_reid_rows_h60,u_reid_coverage_h60,v_reid_coverage_h60,u_match_iou_h60,v_match_iou_h60,keep_score_h60,swap_score_h60,swap_margin_h60,overlap_count_h60,overlap_max_h60,overlap_mean_h60,u_present_h120,v_present_h120,copresent_h120,copresent_frac_h120,u_reid_rows_h120,v_reid_rows_h120,u_reid_coverage_h120,v_reid_coverage_h120,u_match_iou_h120,v_match_iou_h120,keep_score_h120,swap_score_h120,swap_margin_h120,overlap_count_h120,overlap_max_h120,overlap_mean_h120,u_present_h300,v_present_h300,copresent_h300,copresent_frac_h300,u_reid_rows_h300,v_reid_rows_h300,u_reid_coverage_h300,v_reid_coverage_h300,u_match_iou_h300,v_match_iou_h300,keep_score_h300,swap_score_h300,swap_margin_h300,overlap_count_h300,overlap_max_h300,overlap_mean_h300,chunk0_keep_score,chunk0_swap_score,chunk0_swap_margin,chunk0_valid_both,chunk1_keep_score,chunk1_swap_score,chunk1_swap_margin,chunk1_valid_both,chunk2_keep_score,chunk2_swap_score,chunk2_swap_margin,chunk2_valid_both,chunk3_keep_score,chunk3_swap_score,chunk3_swap_margin,chunk3_valid_both,swap_margin_future_mean,swap_margin_future_min,swap_margin_future_max,swap_margin_positive_horizons,swap_margin_non_decreasing,age_min,age_max,pre_rows_min,pre_match_iou_min,reid_coverage_min_h30,match_iou_min_h30,reid_coverage_min_h60,match_iou_min_h60,reid_coverage_min_h120,match_iou_min_h120,reid_coverage_min_h300,match_iou_min_h300,transaction_type,accepted,changed_rows,effective_start_frame,reject_reason,executor_accepted,executor_changed_rows,executor_changed_rows_log1p,direction_u_to_v,donor_age_at_event,receiver_age_at_event,donor_future_life,receiver_future_life,donor_track_start,receiver_track_start,donor_track_end,receiver_track_end,donor_pre_rows,receiver_pre_rows,donor_pre_match_iou,receiver_pre_match_iou,executor_handoff_delay,executor_impact_receiver_future,executor_impact_pair_future,donor_receiver_age_gap,donor_receiver_future_gap,donor_receiver_pre_rows_gap,donor_receiver_pre_iou_gap,donor_ends_before_receiver,delta_HOTA,delta_HOTA_norm,pairwise_win_score,pairwise_margin,rank_start,rank_end,window_executable_candidates,ranker_name,pairwise_train_examples,outer_held_out_seq,inner_held_out_seq,gate_name,selected_by_gate
25,MOT20-01,29,280,279,0.097839474678,0.902160525322,0.226565599442,0.212820440531,0.016868337672,0.825443786982,50,1,0.000199044587,0.732536673546,0.981286644936,0.947121918201,0.850926420339,10,0.00557236424,0.773434400558,0.720487713814,0.984756350517,0.93154335022,0.02,0.719192885743,2.353161811829,1.1463316679,339,0.957205503162,0.242910508032,0.380348156574,869,29,17,1,0.964114308357,3,5,5,5,5,0.981286656857,0.984756374359,0.962016129494,0.890691435337,1,0.773434460163,0.702332735062,0.851190149784,0.995571732521,0.769476771355,0.679424285889,1.475767195225,1.448901057243,-0.026866137981,0.769476771355,0.679424285889,0.073559525184,0.062011788949,0.037548656124,0.11190418367,30.0,30.0,29.0,29.0,5,5,5,5,1.0,1.0,1.0,1.0,0,0,0,0,0,0,keep,0.516349127362,0.491561376485,0.48140538985,0.442596955084,0.380348156574,0.516349127362,17,29,2,280,280,1,347,1,339,279,279,68,60,60,68,8,10,10,0.968910592794,0.975536704063,39,38,1.0,0.850877993382,30,30,30,1.0,30,30,1.0,1.0,0.882600903511,0.976374461253,1.363675177097,1.417052090168,0.053376913071,30,1.0,0.931478190422,60,60,60,1.0,60,60,1.0,1.0,0.86390945514,0.955275337895,1.38714325428,1.483365654945,0.096222400665,39,1.0,0.850877993382,68,60,60,0.5,68,60,1.0,1.0,0.876993132865,0.955275337895,1.368897914886,1.469732642174,0.100834727287,39,1.0,0.850877993382,68,60,60,0.2,68,60,1.0,1.0,0.876993132865,0.955275337895,1.368897914886,1.469732642174,0.100834727287,39,1.0,0.850877993382,1.363675177097,1.417052090168,0.053376913071,1,1.257441341877,1.391316890717,0.13387554884,1,,,,0,,,,0,0.087817192078,0.053376913071,0.100834727287,4,1,279,279,10,0.968910592794,1.0,0.882600903511,1.0,0.86390945514,1.0,0.876993132865,1.0,0.876993132865,v_to_u,1,8,340.0,,1,8.0,2.197224577336,0,279,279,60,68,1,1,339,347,10,10,0.975536704063,0.968910592794,60.0,0.115942028986,0.062015503876,0,-8,0,0.006626111269,1,0.040357,0.555642228128,0.792234037264,0.220036239358,21,40,9,extra_raw_capped,1842,MOT20-03,MOT20-01,changed_ge_4_margin_ge_002,1
49,MOT20-01,28,347,346,0.101043641567,0.898956358433,0.233345508575,0.219798803329,0.064750434135,0.808411214953,48,1,0.000454215124,0.724585652351,0.973398983479,0.945126712322,0.874787307654,2,0.00564103088,0.766654491425,0.719708323479,0.956567168236,0.938764870167,0.03,1.295550416734,1.211436390877,4.425384521484,429,0.629441873021,0.870091977371,0.940159503363,21,28,17,1,0.882113516331,-2,5,5,5,1,0.973398983479,0.956567168236,0.969686508179,0.976124048233,1,0.766654491425,0.869557380676,0.882316112518,0.810019731522,0.730511844158,0.738262057304,1.636211872101,1.468773901463,-0.167437970638,0.730511844158,0.738262057304,0.087707147104,0.112716369088,0.110010404247,0.17578059929,28.0,30.0,30.0,30.0,3,4,5,1,1.0,1.0,1.0,1.0,1,0,0,0,1,1,new_identity_source,0.236984458988,0.414520746471,0.055293805861,0.318504949088,0.940159503363,0.414520746471,17,28,1,347,347,1,347,1,429,346,346,1,83,1,83,82,10,10,0.976481151581,0.974283111095,1,0,0.873602926731,0.873602926731,1,30,1,0.033333333333,1,30,1.0,1.0,0.976124048233,0.952850719293,1.499969601631,1.347466647625,-0.152502954006,1,0.873602926731,0.873602926731,1,60,1,0.016666666667,1,60,1.0,1.0,0.976124048233,0.966587731242,1.439749777317,1.286906838417,-0.1528429389,1,0.873602926731,0.873602926731,1,83,1,0.008333333333,1,83,1.0,1.0,0.976124048233,0.969949147069,1.403890252113,1.245892345905,-0.157997906208,1,0.873602926731,0.873602926731,1,83,1,0.003333333333,1,83,1.0,1.0,0.976124048233,0.969949147069,1.403890252113,1.245892345905,-0.157997906208,1,0.873602926731,0.873602926731,1.499969601631,1.347466647625,-0.152502954006,1,,,,0,,,,0,,,,0,-0.155335426331,-0.157997906208,-0.152502954006,0,0,346,346,10,0.974283111095,1.0,0.952850719293,1.0,0.966587731242,1.0,0.969949147069,1.0,0.969949147069,u_to_v,1,82,348.0,,1,82.0,4.418840607797,1,346,346,1,83,1,1,347,429,10,10,0.976481151581,0.974283111095,1.0,0.97619047619,0.964705882353,0,-82,0,0.002198040485,1,0.046867,0.645273045709,0.755438414805,0.036576395854,41,60,8,extra_raw_capped,1842,MOT20-03,MOT20-01,changed_ge_4_margin_ge_002,1
74,MOT20-01,29,181,180,0.106314539909,0.893685460091,0.174721479416,0.162394523621,0.058056095353,0.532544378698,46,1,0.038124224638,0.755959153175,0.84022128582,0.916004657745,0.540166367412,6,0.021037843053,0.825278520584,0.778149008751,0.97445088625,0.942892551422,0.03,0.032042258529,3.539696455002,3.65495300293,339,0.997143751351,0.181375124521,0.421073574126,788,29,17,1,0.555291056633,1,5,5,5,5,0.840221369267,0.974450910091,0.724002373219,0.720908021927,1,0.825278460979,0.87793391943,0.874583721161,0.643187940121,0.804945707321,0.721623659134,1.703212380409,1.526569366455,-0.176643013954,0.804945707321,0.721623659134,0.173791572484,0.031830898353,0.034984748822,0.086880376614,30.0,30.0,29.0,29.0,5,5,5,5,1.0,1.0,1.0,1.0,0,0,0,0,0,0,keep,0.112976476395,0.319370968902,0.038132760597,0.188430734846,0.421073574126,0.319370968902,17,29,9,181,198,1,347,1,339,180,180,167,159,159,167,8,10,10,0.712584167719,0.835174053907,124,137,1.0,0.624792259547,30,30,30,1.0,30,30,1.0,1.0,0.916996822755,0.972717922926,1.296072602272,1.304242432117,0.008169829845,30,0.677859067917,0.567798791329,60,60,60,1.0,60,60,1.0,1.0,0.947706082463,0.976262078683,1.253779292107,1.255523681641,0.001744389534,57,0.687509775162,0.541705704572,120,120,120,1.0,120,120,1.0,1.0,0.939035082857,0.975674574077,1.192191541195,1.171953350306,-0.020238190889,106,1.0,0.608359852208,167,159,159,0.53,167,159,1.0,1.0,0.925526562208,0.967868367456,1.158916294575,1.149209082127,-0.009707212448,124,1.0,0.624792259547,1.296072602272,1.304242432117,0.008169829845,1,1.071304440498,1.068408817053,-0.002895623446,1,1.040445119143,1.000190705061,-0.040254414082,1,0.84871956706,0.867802709341,0.019083142281,1,-0.00500779599,-0.020238190889,0.008169829845,2,0,180,180,10,0.712584167719,1.0,0.916996822755,1.0,0.947706082463,1.0,0.939035082857,1.0,0.925526562208,v_to_u,1,8,340.0,,1,8.0,2.197224577336,0,180,180,159,167,1,1,339,347,10,10,0.835174053907,0.712584167719,159.0,0.047619047619,0.024464831804,0,-8,0,0.122589886189,1,0.040357,0.555642228128,0.793480662108,0.059643128751,61,80,13,extra_raw_capped,1842,MOT20-03,MOT20-01,changed_ge_4_margin_ge_002,1
90,MOT20-01,29,276,275,0.071343421936,0.928656578064,0.181932032108,0.169929295778,0.027836503326,0.813609467456,50,1,0.018446762976,0.762228310108,0.973358333111,0.931741893291,0.679950406282,10,0.00916737238,0.818067967892,0.765967190266,0.983595848083,0.936312198639,0.0,0.179271323172,1.833992481232,1.532995939255,339,0.861633726051,0.165515632661,0.327064947435,946,29,17,1,0.808913767338,3,5,5,5,5,0.973358333111,0.983595836163,0.964035081863,0.972423171997,1,0.818068087101,0.763610184193,0.725404381752,0.871569693089,0.810068905354,0.618767976761,1.581678271294,1.428836882114,-0.152841389179,0.810068905354,0.618767976761,0.130612763979,0.025091584283,0.009276597908,0.061753457639,30.0,30.0,29.0,29.0,5,5,5,5,1.0,1.0,1.0,1.0,0,0,0,0,0,0,keep,0.158850845273,0.247551671256,0.015081728548,0.111880754133,0.327064947435,0.247551671256,17,29,2,276,276,1,347,1,339,275,275,72,64,64,72,8,10,10,0.972653049231,0.971917980909,43,42,1.0,0.838085403969,30,30,30,1.0,30,30,1.0,1.0,0.882833842436,0.976865565777,1.385480940342,1.396562516689,0.011081576347,30,1.0,0.918919328849,60,60,60,1.0,60,60,1.0,1.0,0.864845835169,0.961425849795,1.3792552948,1.486452400684,0.107197105885,43,1.0,0.838085403969,72,64,64,0.533333333333,72,64,1.0,1.0,0.882185533643,0.956932649016,1.355941653252,1.475235581398,0.119293928146,43,1.0,0.838085403969,72,64,64,0.213333333333,72,64,1.0,1.0,0.882185533643,0.956932649016,1.355941653252,1.475235581398,0.119293928146,43,1.0,0.838085403969,1.385480940342,1.396562516689,0.011081576347,1,1.24545186758,1.445102274418,0.199650406837,1,0.802871108055,0.964571267366,0.161700159311,1,,,,0,0.089216634631,0.011081576347,0.119293928146,4,1,275,275,10,0.971917980909,1.0,0.882833842436,1.0,0.864845835169,1.0,0.882185533643,1.0,0.882185533643,v_to_u,1,8,340.0,,1,8.0,2.197224577336,0,275,275,64,72,1,1,339,347,10,10,0.971917980909,0.972653049231,64.0,0.109589041096,0.058394160584,0,-8,0,-0.000735068321,1,0.040357,0.555642228128,0.814912255825,0.10594500792,81,100,16,extra_raw_capped,1842,MOT20-03,MOT20-01,changed_ge_4_margin_ge_002,1
23,MOT20-02,289,1930,1929,0.079331278801,0.920668721199,0.119381070137,0.114105850458,0.009427889519,0.612052730697,93,1,0.016406513631,0.837014198303,0.965636134148,0.95048391819,0.936388287333,19,0.001782909838,0.880618929863,0.846398830414,0.982004165649,0.961140811443,0.02,0.306942609129,2.596584320068,3.529440879822,532,0.982549115724,0.732933910361,0.456270659834,2922,289,298,1,1.0,2,5,5,5,5,0.965636146069,0.98200417757,0.86679816246,0.799527955055,1,0.880618929863,0.831245422363,0.848646759987,0.973952591419,0.889896988869,0.843755424023,1.711864352226,1.733652412891,0.021788060665,0.889896988869,0.843755424023,0.044206448625,0.074896276739,0.105546127173,0.188600174991,74.0,74.0,76.0,76.0,5,5,5,5,1.0,1.0,1.0,0.8,0,0,0,0,0,0,keep,0.685475843409,0.584411613507,0.645700061282,0.593167829029,0.456270659834,0.685475843409,289,298,5,1926,1934,1605,2136,1626,2004,325,304,207,75,75,207,132,10,10,0.967269527912,0.924675619602,15,14,1.0,0.71116279165,30,30,30,1.0,30,30,1.0,1.0,0.979838476578,0.946878427267,1.341010928154,1.451625108719,0.110614180565,15,1.0,0.71116279165,60,60,60,1.0,60,60,1.0,1.0,0.97864826719,0.965713622173,1.256548464298,1.361081004143,0.104532539845,15,1.0,0.71116279165,120,75,75,0.625,120,75,1.0,1.0,0.97758842061,0.961925219695,1.241072356701,1.348147213459,0.107074856758,15,1.0,0.71116279165,207,75,75,0.25,207,75,1.0,1.0,0.975898356541,0.961925219695,1.228841781616,1.318010032177,0.089168250561,15,1.0,0.71116279165,1.341010928154,1.451625108719,0.110614180565,1,1.105799138546,1.196956038475,0.091156899929,1,1.077815711498,1.219044208527,0.141228497028,1,,,,0,0.102847456932,0.089168250561,0.110614180565,4,0,304,325,10,0.924675619602,1.0,0.946878427267,1.0,0.965713622173,1.0,0.961925219695,1.0,0.961925219695,v_to_u,1,132,2005.0,,1,132.0,4.890349128222,0,304,325,75,207,1626,1605,2004,2136,10,10,0.924675619602,0.967269527912,75.0,0.634615384615,0.466431095406,-21,-132,0,-0.04259390831,1,-0.01418,-0.709,0.804268289125,0.00945097585,21,40,19,extra_raw_capped,1208,MOT20-03,MOT20-02,changed_ge_4_margin_ge_002,0
57,MOT20-02,169,1223,1222,0.354315757751,0.645684242249,0.294994711876,0.283659309149,0.291631746324,0.501483679525,42,1,0.148567588824,0.675080060959,0.94390630722,0.957553207874,0.807676855109,10,0.074704758766,0.705005288124,0.680749773979,0.928127169609,0.965595245361,0.11,0.458988423342,2.110003232956,1.333358645439,675,0.774713950808,0.927308876697,0.880463116615,655,169,150,1,0.807676851749,-1,5,5,5,5,0.943906283379,0.928127169609,0.982876002789,0.947224211693,1,0.705005288124,0.603492379189,0.729920089245,0.620745241642,0.590957045555,0.883502602577,1.308497667313,1.474459648132,0.16596198082,0.590957045555,0.883502602577,0.107607929194,0.00028534741,0.020516250391,0.047106052196,4.0,4.0,294.0,294.0,5,5,5,5,0.6,1.0,0.6,1.0,0,0,0,0,0,0,keep,0.604001744946,0.523229544724,0.630837705924,0.530991906315,0.880463116615,0.604001744946,150,169,3,1223,1227,758,1307,885,1559,465,338,85,337,85,337,252,10,10,0.98454592824,0.956971746683,8,7,0.744745254517,0.581245969981,30,30,30,1.0,30,30,1.0,1.0,0.96605039835,0.954264309009,1.27040797472,1.571617662907,0.301209688187,8,0.744745254517,0.581245969981,60,60,60,1.0,60,60,1.0,1.0,0.965249097347,0.967843661706,1.285486340523,1.564005434513,0.27851909399,8,0.744745254517,0.581245969981,85,120,85,0.708333333333,85,120,1.0,1.0,0.964675707677,0.976081662873,1.245210289955,1.450454711914,0.205244421959,8,0.744745254517,0.581245969981,85,300,85,0.283333333333,85,300,1.0,1.0,0.964675707677,0.980618618925,1.144929587841,1.398924469948,0.253994882107,8,0.744745254517,0.581245969981,1.27040797472,1.571617662907,0.301209688187,1,1.163178622723,1.387516796589,0.224338173866,1,1.048507750034,1.097812354565,0.04930460453,1,,,,0,0.259742021561,0.205244421959,0.301209688187,4,0,338,465,10,0.956971746683,1.0,0.954264309009,1.0,0.965249097347,1.0,0.964675707677,1.0,0.964675707677,u_to_v,1,252,1308.0,,1,252.0,5.533389488728,1,465,338,85,337,758,885,1307,1559,10,10,0.98454592824,0.956971746683,85.0,0.745562130178,0.595744680851,127,-252,0,0.027574181557,1,0.040555,2.02775,0.819536186226,0.047375592055,41,60,15,extra_raw_capped,1208,MOT20-03,MOT20-02,changed_ge_4_margin_ge_002,1
73,MOT20-02,412,2043,2042,0.092969179153,0.907030820847,0.268695235252,0.239499628544,0.013779934773,0.767123287671,90,1,0.008839435167,0.604858696461,0.91654843092,0.827095210552,0.795816828168,6,0.044005571406,0.731304764748,0.6988286376,0.939982414246,0.955591380596,0.03,2.437439260521,0.879635035992,10.066278457642,74,0.591771652788,0.724003356365,0.745733841873,1503,412,312,1,0.895255625248,1,5,5,5,5,0.916548454762,0.939982354641,0.717097187042,0.733766448498,1,0.731304764748,0.821807324886,0.76893556118,0.99214309454,0.754887342453,0.829116225243,1.553112089634,1.584003567696,0.030891478062,0.754887342453,0.829116225243,0.104283533459,0.074819975411,0.03800606562,0.000236587793,119.0,53.0,53.0,53.0,5,3,5,5,1.0,0.666666666667,1.0,0.6,1,0,0,0,1,1,new_identity_source,0.58208871996,0.575262716701,0.550527609355,0.580924370936,0.745733841873,0.58208871996,312,412,5,2043,2051,1689,2089,1987,2060,354,56,47,18,18,47,29,9,10,0.734298368295,0.939896190166,11,10,0.895255625248,0.682433992624,30,18,18,0.6,30,18,1.0,1.0,0.876141514381,0.947379423512,1.314222216606,1.49738919735,0.183166980743,11,0.895255625248,0.682433992624,47,18,18,0.3,47,18,1.0,1.0,0.911070298641,0.947379423512,1.234681129456,1.458973109722,0.224291980267,11,0.895255625248,0.682433992624,47,18,18,0.15,47,18,1.0,1.0,0.911070298641,0.947379423512,1.234681129456,1.458973109722,0.224291980267,11,0.895255625248,0.682433992624,47,18,18,0.06,47,18,1.0,1.0,0.911070298641,0.947379423512,1.234681129456,1.458973109722,0.224291980267,11,0.895255625248,0.682433992624,1.314222216606,1.49738919735,0.183166980743,1,,,,0,,,,0,,,,0,0.214010730386,0.183166980743,0.224291980267,4,1,56,354,9,0.734298368295,1.0,0.876141514381,1.0,0.911070298641,1.0,0.911070298641,1.0,0.911070298641,v_to_u,1,29,2061.0,,1,29.0,3.401197381662,0,56,354,18,47,1987,1689,2060,2089,10,9,0.939896190166,0.734298368295,18.0,0.604166666667,0.439393939394,-298,-29,1,0.205597821871,1,-0.00954,-0.476999999999,0.890446477589,0.030204573712,61,80,18,extra_raw_capped,1208,MOT20-03,MOT20-02,changed_ge_4_margin_ge_002,1
88,MOT20-02,325,1961,1960,0.090022087097,0.909977912903,0.097581505775,0.0904969275,0.017972637182,0.583979328165,94,1,0.015128224532,0.834588706493,0.900055527687,0.924835562706,0.929094860984,28,0.018301490394,0.902418494225,0.839214682579,0.955245018005,0.929961681366,0.0,1.148233900766,2.417979478836,0.766974568367,388,-0.493588964977,0.971520025571,0.900392342105,504,325,374,1,0.929094851017,-1,5,5,5,1,0.900055539608,0.955245089531,0.865235161781,0.841080725193,1,0.90241843462,0.712155640125,0.985439538956,0.757314920425,0.684783935547,0.91056317091,1.614574074745,1.595347106457,-0.019226968288,0.684783935547,0.91056317091,0.10301135998,0.069287433448,0.019293676533,0.028450550893,85.0,85.0,83.0,83.0,5,5,5,1,0.6,1.0,0.6,1.0,0,0,0,0,0,0,keep,0.443540786356,0.560491914814,0.500359020625,0.58744605603,0.900392342105,0.560491914814,325,374,1,1961,1961,1735,2122,1868,1961,226,93,162,1,1,162,161,10,10,0.931485939026,0.898921948671,1,0,0.771738409996,0.771738409996,30,1,1,0.033333333333,30,1,1.0,1.0,0.866759993633,0.841080725193,1.557048261166,1.55955529213,0.002507030964,1,0.771738409996,0.771738409996,60,1,1,0.016666666667,58,1,0.966666666667,1.0,0.827087699339,0.841080725193,1.504501223564,1.51376581192,0.009264588356,1,0.771738409996,0.771738409996,120,1,1,0.008333333333,117,1,0.975,1.0,0.846568213569,0.841080725193,1.488110482693,1.507646083832,0.019535601139,1,0.771738409996,0.771738409996,162,1,1,0.003333333333,159,1,0.981481481481,1.0,0.878093459696,0.841080725193,1.504167377949,1.512669205666,0.008501827717,1,0.771738409996,0.771738409996,1.557048261166,1.55955529213,0.002507030964,1,,,,0,,,,0,,,,0,0.009952262044,0.002507030964,0.019535601139,4,0,93,226,10,0.898921948671,1.0,0.841080725193,0.966666666667,0.827087699339,0.975,0.841080725193,0.981481481481,0.841080725193,v_to_u,1,161,1962.0,,1,161.0,5.087596335232,0,93,226,1,162,1868,1735,1961,2122,10,10,0.898921948671,0.931485939026,1.0,0.98773006135,0.981707317073,-133,-161,0,-0.032563990355,1,-0.000435,-0.02175,0.79089780514,0.051160588944,81,100,17,extra_raw_capped,1208,MOT20-03,MOT20-02,changed_ge_4_margin_ge_002,1
24,MOT20-05,1413,2924,2923,0.144934892654,0.855065107346,0.293642163277,0.264661371708,0.018861165378,0.926035502959,195,1,0.002532104807,0.631279349327,0.932033717632,0.893710315228,0.975014830945,6,0.030490736222,0.706357836723,0.642009794712,0.924708247185,0.908901572227,0.0,0.0458301346,1.38063621521,1.445383310318,339,-0.588931118686,0.726587162885,0.811251620293,1246,1413,1421,1,0.975014805794,-1,5,5,5,5,0.932033765316,0.924708282948,0.950147235394,0.950654113293,1,0.706357836723,0.739935159683,0.875042140484,0.839376330376,0.720293521881,0.819229125977,1.446292996407,1.539522647858,0.093229651451,0.720293521881,0.819229125977,0.046326907841,0.024620033775,0.018569719521,0.097886893562,598.0,601.0,601.0,598.0,5,5,5,5,0.8,1.0,0.8,1.0,1,1,1,1,1,1,reciprocal_swap,0.663357246973,0.673278729372,0.637492032546,0.660614405916,0.811251620293,0.673278729372,1413,1421,3,2921,2926,2611,2949,2634,2934,313,290,26,11,11,26,15,10,10,0.954851537943,0.962565207481,11,10,0.940699160099,0.736693691124,26,11,11,0.366666666667,26,11,1.0,1.0,0.949796039325,0.95211191069,0.810108542442,0.935767322779,0.125658780336,11,0.940699160099,0.736693691124,26,11,11,0.183333333333,26,11,1.0,1.0,0.949796039325,0.95211191069,0.810108542442,0.935767322779,0.125658780336,11,0.940699160099,0.736693691124,26,11,11,0.091666666667,26,11,1.0,1.0,0.949796039325,0.95211191069,0.810108542442,0.935767322779,0.125658780336,11,0.940699160099,0.736693691124,26,11,11,0.036666666667,26,11,1.0,1.0,0.949796039325,0.95211191069,0.810108542442,0.935767322779,0.125658780336,11,0.940699160099,0.736693691124,0.810108542442,0.935767322779,0.125658780336,1,,,,0,,,,0,,,,0,0.125658780336,0.125658780336,0.125658780336,4,1,290,313,10,0.954851537943,1.0,0.949796039325,1.0,0.949796039325,1.0,0.949796039325,1.0,0.949796039325,v_to_u,1,15,2935.0,,1,15.0,2.77258872224,0,290,313,11,26,2634,2611,2934,2949,10,10,0.962565207481,0.954851537943,11.0,0.555555555556,0.394736842105,-23,-15,0,0.007713669538,1,0.000321,0.01605,0.799778859204,0.063406901311,21,40,18,extra_raw_capped,1602,MOT20-03,MOT20-05,changed_ge_4_margin_ge_002,1
42,MOT20-05,883,1928,1927,0.08154964447,0.91845035553,0.106487691402,0.100152879953,0.030697235795,0.878787878788,205,1,0.024452880728,0.841316878796,0.954307854176,0.941583931446,0.909613051395,22,0.006239185031,0.893512308598,0.839401245117,0.955043911934,0.939439952374,0.01,0.436800388122,3.922446012497,2.534293889999,661,0.421052864231,0.81116680983,0.803621147983,1367,883,872,1,0.914486944675,-2,5,5,5,5,0.954307866096,0.955043840408,0.770542967319,0.804747283459,1,0.893512427807,0.881956636906,1.000000119209,0.987397670746,0.881956636906,0.893512427807,1.775469064713,1.775469064713,0.0,0.881956636906,0.893512427807,0.072024544554,0.053720534989,0.035959944943,0.011213122328,1011.0,1011.0,1004.0,1004.0,5,5,5,5,1.0,1.0,1.0,1.0,0,0,0,0,0,0,keep,0.596577604757,0.613810770214,0.66500447096,0.619483834585,0.803621147983,0.613810770214,872,883,6,1919,1930,1305,1948,1348,2008,623,580,21,81,21,81,60,10,10,0.873216563463,0.951995152235,21,20,0.908572971821,0.789577424526,21,30,21,0.7,21,30,1.0,1.0,0.916273843674,0.967707665761,1.344489037991,1.261932253838,-0.082556784153,21,0.908572971821,0.789577424526,21,60,21,0.35,21,60,1.0,1.0,0.916273843674,0.971841385961,1.215710878372,1.132705152035,-0.083005726337,21,0.908572971821,0.789577424526,21,81,21,0.175,21,81,1.0,1.0,0.916273843674,0.966696673705,1.217812478542,1.135990202427,-0.081822276115,21,0.908572971821,0.789577424526,21,81,21,0.07,21,81,1.0,1.0,0.916273843674,0.966696673705,1.217812478542,1.135990202427,-0.081822276115,21,0.908572971821,0.789577424526,1.344489037991,1.261932253838,-0.082556784153,1,,,,0,,,,0,,,,0,-0.08230176568,-0.083005726337,-0.081822276115,0,0,580,623,10,0.873216563463,1.0,0.916273843674,1.0,0.916273843674,1.0,0.916273843674,1.0,0.916273843674,u_to_v,1,60,1949.0,,1,60.0,4.110873864173,1,623,580,21,81,1305,1348,1948,2008,10,10,0.873216563463,0.951995152235,21.0,0.731707317073,0.582524271845,43,-60,0,-0.078778588772,1,-0.007224,-0.3612,0.657259195491,0.004312707096,41,60,13,extra_raw_capped,1602,MOT20-03,MOT20-05,changed_ge_4_margin_ge_002,0
