selected_windows,covered_sequences,positive_windows,negative_windows,zero_windows,positive_precision,positive_sum,negative_mass,utility_sum,worst_sequence_utility,sequence_utility,robust_score,eligible,outer_held_out_seq,ranker_name,family,target_scale,weight_scheme,gate_name
12,3,5,6,1,0.416666666667,0.013005,0.054238,-0.041233,-0.039915,"{""MOT20-02"": 0.0007090000000289001, ""MOT20-03"": -0.03991500000003606, ""MOT20-05"": -0.002026999999998283}",-0.432168,0,MOT20-01,extra_raw_capped,extra,raw,capped,all
11,3,4,6,1,0.363636363636,0.012809,0.054238,-0.041429,-0.039915,"{""MOT20-02"": 0.0005130000000264003, ""MOT20-03"": -0.03991500000003606, ""MOT20-05"": -0.002026999999998283}",-0.432364,0,MOT20-01,extra_raw_capped,extra,raw,capped,changed_ge_2
9,3,4,5,0,0.444444444444,0.012809,0.054138,-0.041329,-0.039815,"{""MOT20-02"": 0.0005130000000264003, ""MOT20-03"": -0.03981500000003276, ""MOT20-05"": -0.002026999999998283}",-0.431464,0,MOT20-01,extra_raw_capped,extra,raw,capped,changed_ge_4
7,3,3,4,0,0.428571428571,0.012469,0.052098,-0.039629,-0.040155,"{""MOT20-02"": 0.0025530000000202006, ""MOT20-03"": -0.04015500000002696, ""MOT20-05"": -0.002026999999998283}",-0.420584,0,MOT20-01,extra_raw_capped,extra,raw,capped,changed_ge_8
7,3,3,4,0,0.428571428571,0.012469,0.052098,-0.039629,-0.040155,"{""MOT20-02"": 0.0025530000000202006, ""MOT20-03"": -0.04015500000002696, ""MOT20-05"": -0.002026999999998283}",-0.420584,0,MOT20-01,extra_raw_capped,extra,raw,capped,changed_ge_12
12,3,5,6,1,0.416666666667,0.013005,0.054238,-0.041233,-0.039915,"{""MOT20-02"": 0.0007090000000289001, ""MOT20-03"": -0.03991500000003606, ""MOT20-05"": -0.002026999999998283}",-0.432168,0,MOT20-01,extra_raw_capped,extra,raw,capped,impact_receiver_le_080
9,3,4,5,0,0.444444444444,0.012809,0.054138,-0.041329,-0.039815,"{""MOT20-02"": 0.0005130000000264003, ""MOT20-03"": -0.03981500000003276, ""MOT20-05"": -0.002026999999998283}",-0.431464,0,MOT20-01,extra_raw_capped,extra,raw,capped,changed_ge_4_impact_receiver_le_080
8,3,3,5,0,0.375,0.012754,0.054138,-0.041384,-0.03987,"{""MOT20-02"": 0.0005130000000264003, ""MOT20-03"": -0.0398700000000218, ""MOT20-05"": -0.002026999999998283}",-0.431684,0,MOT20-01,extra_raw_capped,extra,raw,capped,changed_ge_4_impact_pair_le_050
8,3,4,4,0,0.5,0.012809,0.052098,-0.039289,-0.039815,"{""MOT20-02"": 0.0025530000000202006, ""MOT20-03"": -0.03981500000003276, ""MOT20-05"": -0.002026999999998283}",-0.419224,0,MOT20-01,extra_raw_capped,extra,raw,capped,changed_ge_4_margin_ge_002
8,3,3,5,0,0.375,0.000716,0.054138,-0.053422,-0.039815,"{""MOT20-02"": -0.0115799999999808, ""MOT20-03"": -0.03981500000003276, ""MOT20-05"": -0.002026999999998283}",-0.443557,0,MOT20-01,extra_raw_capped,extra,raw,capped,changed_ge_4_score_ge_070
