seq,rank_start,rank_end,window_executable_candidates,window_positive_candidates,oracle_rank,oracle_transaction_type,oracle_delta_HOTA
MOT20-01,21,40,9,4,37,v_to_u,0.436431
MOT20-01,41,60,8,1,49,u_to_v,0.046867
MOT20-01,61,80,13,1,74,v_to_u,0.040357
MOT20-01,81,100,16,7,85,u_to_v,0.046867
MOT20-02,21,40,19,4,36,u_to_v,0.01618
MOT20-02,41,60,15,4,48,u_to_v,0.10687
MOT20-02,61,80,18,2,77,v_to_u,0.00826
MOT20-02,81,100,17,4,86,u_to_v,0.10687
MOT20-03,21,40,16,3,22,u_to_v,0.01216
MOT20-03,41,60,13,2,41,v_to_u,0.007583
MOT20-03,61,80,12,2,73,v_to_u,0.005897
MOT20-03,81,100,14,2,99,u_to_v,0.006475
MOT20-05,21,40,18,5,28,v_to_u,0.005942
MOT20-05,41,60,13,3,41,u_to_v,0.012171
MOT20-05,61,80,12,2,72,v_to_u,0.00112
MOT20-05,81,100,12,2,95,v_to_u,0.017851
