gate,selected_windows,positive_windows,negative_windows,positive_precision,positive_sum,negative_mass,utility_sum,utility_mean_per_selected,worst_window_utility,worst_sequence_utility,sequence_utility,robust_score,eligible
base,4,1,3,0.25,5.5e-05,0.011904,-0.011849,-0.00296225,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": -4.5e-05, ""MOT20-05"": -0.002264}",-0.078545,0
regression_any_positive,4,1,3,0.25,5.5e-05,0.011904,-0.011849,-0.00296225,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": -4.5e-05, ""MOT20-05"": -0.002264}",-0.078545,0
median_positive,4,1,3,0.25,5.5e-05,0.011904,-0.011849,-0.00296225,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": -4.5e-05, ""MOT20-05"": -0.002264}",-0.078545,0
expected_positive,3,1,2,0.333333333333,5.5e-05,0.00964,-0.009585,-0.003195,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": -4.5e-05, ""MOT20-05"": 0.0}",-0.067225,0
regression_consensus,3,1,2,0.333333333333,5.5e-05,0.00964,-0.009585,-0.003195,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": -4.5e-05, ""MOT20-05"": 0.0}",-0.067225,0
q25_positive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",0.0,0
classifier_strict,2,1,1,0.5,5.5e-05,0.00954,-0.009485,-0.0047425,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": 5.5e-05, ""MOT20-05"": 0.0}",-0.066725,0
hybrid_safe,3,1,2,0.333333333333,5.5e-05,0.011804,-0.011749,-0.003916333333,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": 5.5e-05, ""MOT20-05"": -0.002264}",-0.078045,0
unique_signal,4,1,3,0.25,5.5e-05,0.011904,-0.011849,-0.00296225,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": -4.5e-05, ""MOT20-05"": -0.002264}",-0.078545,0
sparse_signal,4,1,3,0.25,5.5e-05,0.011904,-0.011849,-0.00296225,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": -4.5e-05, ""MOT20-05"": -0.002264}",-0.078545,0
score_gap_010,4,1,3,0.25,5.5e-05,0.011904,-0.011849,-0.00296225,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": -4.5e-05, ""MOT20-05"": -0.002264}",-0.078545,0
sparse_regression_any,4,1,3,0.25,5.5e-05,0.011904,-0.011849,-0.00296225,-0.00954,-0.00954,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.00954, ""MOT20-03"": -4.5e-05, ""MOT20-05"": -0.002264}",-0.078545,0
