selected_windows,positive_windows,negative_windows,positive_precision,utility_sum,minimum_selected_utility,coverage,eligible,retrieval_spec,seq
4,3,1,0.75,0.118272,-0.015819,1.0,0,compact_standard_k1_nearest_positive,MOT20-01
3,3,0,1.0,0.121071,0.040357,0.75,1,compact_standard_k3_vote67,MOT20-01
2,2,0,1.0,0.080714,0.040357,0.5,0,compact_standard_k3_q25,MOT20-01
1,1,0,1.0,0.040357,0.040357,0.25,0,compact_robust_k3_q25,MOT20-01
4,2,2,0.5,-0.975412,-0.528063,1.0,0,compact_robust_k7_vote,MOT20-01
4,3,1,0.75,-0.400482,-0.528063,1.0,0,mechanism_robust_k5_pmean,MOT20-01
4,3,1,0.75,-0.400482,-0.528063,1.0,0,mechanism_robust_k5_vote,MOT20-01
4,3,1,0.75,-0.400482,-0.528063,1.0,0,mechanism_robust_k7_pmean,MOT20-01
2,2,0,1.0,0.080714,0.040357,0.5,0,mechanism_standard_k5_mean,MOT20-01
4,3,1,0.75,0.108758,-0.012313,1.0,0,mechanism_standard_k7_pmean,MOT20-01
4,0,4,0.0,-0.292574,-0.15477,1.0,0,compact_standard_k1_nearest_positive,MOT20-02
2,0,2,0.0,-0.009695,-0.00954,0.5,0,compact_standard_k3_vote67,MOT20-02
1,0,1,0.0,-0.00954,-0.00954,0.25,0,compact_standard_k3_q25,MOT20-02
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-02
4,0,4,0.0,-0.08778,-0.08515,1.0,0,compact_robust_k7_vote,MOT20-02
4,1,3,0.25,-0.073727,-0.055457,1.0,0,mechanism_robust_k5_pmean,MOT20-02
4,0,4,0.0,-0.046166,-0.01965,1.0,0,mechanism_robust_k5_vote,MOT20-02
4,1,3,0.25,-0.02123,-0.055457,1.0,0,mechanism_robust_k7_pmean,MOT20-02
2,1,1,0.5,-0.04603,-0.04826,0.5,0,mechanism_standard_k5_mean,MOT20-02
4,1,3,0.25,-0.030795,-0.01965,1.0,0,mechanism_standard_k7_pmean,MOT20-02
3,1,2,0.333333333333,-0.06278,-0.06348,0.75,0,compact_standard_k1_nearest_positive,MOT20-03
2,0,2,0.0,-0.000617,-0.000517,0.5,0,compact_standard_k3_vote67,MOT20-03
1,0,1,0.0,-0.0001,-0.0001,0.25,0,compact_standard_k3_q25,MOT20-03
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-03
4,1,3,0.25,-0.003322,-0.00678,1.0,0,compact_robust_k7_vote,MOT20-03
4,2,2,0.5,0.012192,-0.00154,1.0,0,mechanism_robust_k5_pmean,MOT20-03
4,3,1,0.75,0.009489,-0.004624,1.0,0,mechanism_robust_k5_vote,MOT20-03
4,2,2,0.5,0.007957,-0.004624,1.0,0,mechanism_robust_k7_pmean,MOT20-03
1,0,1,0.0,-0.000326,-0.000326,0.25,0,mechanism_standard_k5_mean,MOT20-03
4,1,3,0.25,-0.006036,-0.004624,1.0,0,mechanism_standard_k7_pmean,MOT20-03
4,1,3,0.25,-0.014141,-0.007404,1.0,0,compact_standard_k1_nearest_positive,MOT20-05
3,2,1,0.666666666667,0.005867,-0.00301,0.75,0,compact_standard_k3_vote67,MOT20-05
1,1,0,1.0,0.008761,0.008761,0.25,0,compact_standard_k3_q25,MOT20-05
3,3,0,1.0,0.013407,0.000116,0.75,1,compact_robust_k3_q25,MOT20-05
4,4,0,1.0,0.013713,0.000116,1.0,1,compact_robust_k7_vote,MOT20-05
4,4,0,1.0,0.032125,0.000983,1.0,1,mechanism_robust_k5_pmean,MOT20-05
4,4,0,1.0,0.01458,0.000306,1.0,1,mechanism_robust_k5_vote,MOT20-05
4,4,0,1.0,0.013713,0.000116,1.0,1,mechanism_robust_k7_pmean,MOT20-05
3,3,0,1.0,0.026728,0.000116,0.75,1,mechanism_standard_k5_mean,MOT20-05
4,4,0,1.0,0.027848,0.000116,1.0,1,mechanism_standard_k7_pmean,MOT20-05
