selected_windows,positive_windows,negative_windows,positive_precision,utility_sum,minimum_selected_utility,coverage,eligible,retrieval_spec,seq,outer_rank_start,outer_rank_end
3,3,0,1.0,0.127581,0.040357,1.0,1,compact_standard_k1_nearest_positive,MOT20-01,21,40
1,1,0,1.0,0.040357,0.040357,0.333333333333,0,compact_standard_k3_vote67,MOT20-01,21,40
1,1,0,1.0,0.040357,0.040357,0.333333333333,0,compact_standard_k3_q25,MOT20-01,21,40
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-01,21,40
3,2,1,0.666666666667,-0.548803,-0.596403,1.0,0,compact_robust_k7_vote,MOT20-01,21,40
3,1,2,0.333333333333,-0.794425,-0.528063,1.0,0,mechanism_robust_k5_pmean,MOT20-01,21,40
3,2,1,0.666666666667,-0.219495,-0.306719,1.0,0,mechanism_robust_k5_vote,MOT20-01,21,40
3,2,1,0.666666666667,-0.219495,-0.306719,1.0,0,mechanism_robust_k7_pmean,MOT20-01,21,40
0,0,0,0.0,0.0,0.0,0.0,0,mechanism_standard_k5_mean,MOT20-01,21,40
3,1,2,0.333333333333,-0.568359,-0.596403,1.0,0,mechanism_standard_k7_pmean,MOT20-01,21,40
3,1,2,0.333333333333,-0.843189,-0.596403,1.0,0,compact_standard_k1_nearest_positive,MOT20-01,41,60
3,3,0,1.0,0.121071,0.040357,1.0,1,compact_standard_k3_vote67,MOT20-01,41,60
2,2,0,1.0,0.080714,0.040357,0.666666666667,1,compact_standard_k3_q25,MOT20-01,41,60
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-01,41,60
3,2,1,0.666666666667,-0.447349,-0.528063,1.0,0,compact_robust_k7_vote,MOT20-01,41,60
3,2,1,0.666666666667,-0.509096,-0.550186,1.0,0,mechanism_robust_k5_pmean,MOT20-01,41,60
3,2,1,0.666666666667,-0.469472,-0.550186,1.0,0,mechanism_robust_k5_vote,MOT20-01,41,60
3,2,1,0.666666666667,-0.273993,-0.315083,1.0,0,mechanism_robust_k7_pmean,MOT20-01,41,60
2,2,0,1.0,0.080714,0.040357,0.666666666667,1,mechanism_standard_k5_mean,MOT20-01,41,60
3,3,0,1.0,0.081447,0.000733,1.0,1,mechanism_standard_k7_pmean,MOT20-01,41,60
3,2,1,0.666666666667,0.077915,-0.015819,1.0,0,compact_standard_k1_nearest_positive,MOT20-01,61,80
2,2,0,1.0,0.080714,0.040357,0.666666666667,1,compact_standard_k3_vote67,MOT20-01,61,80
1,1,0,1.0,0.040357,0.040357,0.333333333333,0,compact_standard_k3_q25,MOT20-01,61,80
1,1,0,1.0,0.040357,0.040357,0.333333333333,0,compact_robust_k3_q25,MOT20-01,61,80
3,2,1,0.666666666667,-0.447349,-0.528063,1.0,0,compact_robust_k7_vote,MOT20-01,61,80
3,2,1,0.666666666667,-0.447349,-0.528063,1.0,0,mechanism_robust_k5_pmean,MOT20-01,61,80
3,2,1,0.666666666667,-0.447349,-0.528063,1.0,0,mechanism_robust_k5_vote,MOT20-01,61,80
3,2,1,0.666666666667,0.074911,-0.012313,1.0,0,mechanism_robust_k7_pmean,MOT20-01,61,80
2,1,1,0.5,0.028044,-0.012313,0.666666666667,0,mechanism_standard_k5_mean,MOT20-01,61,80
3,2,1,0.666666666667,0.068401,-0.012313,1.0,0,mechanism_standard_k7_pmean,MOT20-01,61,80
1,0,1,0.0,-0.015819,-0.015819,0.333333333333,0,compact_standard_k1_nearest_positive,MOT20-01,81,100
0,0,0,0.0,0.0,0.0,0.0,0,compact_standard_k3_vote67,MOT20-01,81,100
0,0,0,0.0,0.0,0.0,0.0,0,compact_standard_k3_q25,MOT20-01,81,100
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-01,81,100
3,0,3,0.0,-1.343269,-0.528063,1.0,0,compact_robust_k7_vote,MOT20-01,81,100
3,0,3,0.0,-0.966089,-0.528063,1.0,0,mechanism_robust_k5_pmean,MOT20-01,81,100
3,0,3,0.0,-0.694765,-0.528063,1.0,0,mechanism_robust_k5_vote,MOT20-01,81,100
