feature,p15_median,p17_median,standardized_median_shift,absolute_standardized_shift,ks_statistic,ks_pvalue,p15_missing_fraction,p17_missing_fraction
receiver_speed_mean_20,1.685408357048,4.381173248753,0.844145782938,0.844145782938,0.406464646465,0.0,0.0,0.0
future_receiver_velocity_gap_20_h60,0.880151990969,1.981364885851,0.715211035471,0.715211035471,0.419224309055,0.0,0.013333333333,0.02479338843
future_source_velocity_gap_20_h60,1.510229718863,4.189076032759,0.676186049108,0.676186049108,0.356542983662,0.0,0.013333333333,0.02479338843
future_source_velocity_gap_20_full,1.631824799557,4.244695911349,0.606516696914,0.606516696914,0.354863337914,0.0,0.013333333333,0.02479338843
motion_margin_20_h30_min,-0.829519731473,-2.388418872994,-0.567560588488,0.567560588488,0.300679522498,1.3e-11,0.0,0.0
motion_margin_20_h30_mean,-0.657893781142,-1.917192770996,-0.524422937121,0.524422937121,0.294912764004,3.6e-11,0.0,0.0
source_center_resid_20_h30_mean,0.75783270925,1.993949942171,0.523226184047,0.523226184047,0.273939393939,1.103e-09,0.0,0.0
motion_margin_20_h30_q25,-0.742052208298,-2.06276588294,-0.516387576826,0.516387576826,0.284407713499,2.06e-10,0.0,0.0
future_receiver_velocity_gap_20_full,1.076070490523,2.431928178399,0.510893585048,0.510893585048,0.401358986105,0.0,0.013333333333,0.02479338843
motion_margin_20_h60_min,-1.14906343877,-2.533952670368,-0.496603757227,0.496603757227,0.274086317723,1.076e-09,0.0,0.0
motion_margin_20_h120_min,-1.31015999228,-2.829313313481,-0.477196967032,0.477196967032,0.254178145087,2.1763e-08,0.0,0.0
velocity_margin_20_h60,-0.390454148546,-1.82963541966,-0.46764090872,0.46764090872,0.270422965338,2.758e-09,0.013333333333,0.02479338843
motion_margin_20_h60_mean,-0.763178002614,-1.872295083201,-0.455534277026,0.455534277026,0.255096418733,1.9068e-08,0.0,0.0
motion_margin_20_h60_q25,-0.968405306297,-2.169776004718,-0.44891293999,0.44891293999,0.25741046832,1.3597e-08,0.0,0.0
source_center_resid_20_h60_mean,1.002838648868,2.037865371683,0.427547315584,0.427547315584,0.227658402204,8.30537e-07,0.0,0.0
motion_margin_20_h120_q25,-1.066157826974,-2.229777470083,-0.422764079304,0.422764079304,0.230119375574,6.01989e-07,0.0,0.0
source_center_resid_20_h120_mean,1.306956273582,2.272522313745,0.40236840131,0.40236840131,0.211974288338,5.873099e-06,0.0,0.0
velocity_margin_20_full,-0.350720221624,-1.512432895207,-0.400879918607,0.400879918607,0.238204306001,2.72731e-07,0.013333333333,0.02479338843
motion_margin_20_full_min,-1.548231345708,-2.984982497074,-0.393737788093,0.393737788093,0.238530762167,1.96036e-07,0.0,0.0
motion_margin_20_full_q25,-1.107046398647,-2.194194828962,-0.370329666427,0.370329666427,0.220348943985,2.10369e-06,0.0,0.0
motion_margin_20_h120_mean,-0.879680235709,-1.730389024692,-0.342307135202,0.342307135202,0.194233241506,4.5339613e-05,0.0,0.0
motion_margin_20_full_mean,-0.917808947198,-1.742717179786,-0.322422457368,0.322422457368,0.17564738292,0.000316964739,0.0,0.0
source_center_resid_20_full_mean,1.815689069587,2.555047369822,0.261417722637,0.261417722637,0.230009182736,6.10236e-07,0.0,0.0
source_speed_20,2.016302423837,2.510165758789,0.14358304118,0.14358304118,0.240734618916,1.45365e-07,0.0,0.0
receiver_center_resid_20_h30_mean,0.134957350898,0.124599944799,-0.106285665793,0.106285665793,0.108797061524,0.068013129104,0.0,0.0
receiver_center_resid_20_h120_mean,0.326949436036,0.348978547546,0.045447042181,0.045447042181,0.119853076217,0.033315329701,0.0,0.0
receiver_center_resid_20_full_mean,0.41937917749,0.393981041377,-0.02861255689,0.02861255689,0.092378328742,0.172785360966,0.0,0.0
receiver_center_resid_20_h60_mean,0.218956610242,0.224116342755,0.02355303196,0.02355303196,0.075996326905,0.374906561825,0.0,0.0
motion_source_win_fraction_20_h30,0.0,0.0,0.0,0.0,0.100202020202,0.112924787084,0.0,0.0
motion_source_win_fraction_20_h60,0.0,0.0,0.0,0.0,0.090174471993,0.19356145808,0.0,0.0
aggregate_anchor_used,0.0,0.0,0.0,0.0,0.066666666667,0.539177008883,0.0,0.0
motion_source_win_fraction_20_h120,0.0,0.0,0.0,0.0,0.055316804408,0.761841130344,0.0,0.0
motion_source_win_fraction_20_full,0.0,0.0,0.0,0.0,0.040110192837,0.970152578795,0.0,0.0
source_gap_20,1.0,1.0,0.0,0.0,0.008888888889,1.0,0.0,0.0
receiver_family_size,1.0,1.0,0.0,0.0,0.004444444444,1.0,0.0,0.0
receiver_gap_mean_20,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
