seq,canonical_rank,u,v,boundary_frame,transaction_type,training_mode,score,rank_start,rank_end,predicted_score,full_idtp_delta_norm,delta_HOTA
MOT20-01,37,20,27,70,v_to_u,augmented_p17,pred_reg,21,40,-0.011625398115,0.320939334638,0.436431
MOT20-01,37,20,27,70,v_to_u,augmented_p17,pred_clf,21,40,0.638491798792,0.320939334638,0.436431
MOT20-01,41,34,38,242,v_to_u,augmented_p17,pred_reg,41,60,-0.042350713454,-0.006211180124,-0.012313
MOT20-01,49,17,28,347,u_to_v,augmented_p17,pred_clf,41,60,0.583377709124,0.0,0.046867
MOT20-01,66,24,57,213,v_to_u,augmented_p17,pred_reg,61,80,-0.030309875587,-0.151291512915,-0.076203
MOT20-01,61,24,26,218,u_to_v,augmented_p17,pred_clf,61,80,0.488036305891,-0.234303215926,-0.528063
MOT20-01,81,17,29,35,v_to_u,augmented_p17,pred_reg,81,100,-0.038273380484,0.011940298507,0.040357
MOT20-01,97,5,16,206,v_to_u,augmented_p17,pred_clf,81,100,0.624012982546,0.0,-0.015819
MOT20-02,31,129,130,1047,v_to_u,augmented_p17,pred_reg,21,40,-0.030688602441,0.002994011976,0.00325
MOT20-02,22,223,371,2107,u_to_v,augmented_p17,pred_clf,21,40,0.574727216026,-0.016903313049,-0.015253
MOT20-02,46,310,392,1992,u_to_v,augmented_p17,pred_reg,41,60,-0.033018442287,-0.092814371257,-0.01965
MOT20-02,53,35,40,57,u_to_v,augmented_p17,pred_clf,41,60,0.648940286862,-0.162420382166,-0.018144
MOT20-02,80,413,531,2556,v_to_u,augmented_p17,pred_reg,61,80,-0.020282901364,-0.145114942529,-0.04826
MOT20-02,77,104,117,513,v_to_u,augmented_p17,pred_clf,61,80,0.668602918574,0.053333333333,0.00826
MOT20-02,93,342,356,1829,v_to_u,augmented_p17,pred_reg,81,100,0.010694750053,-0.230224321133,-0.095714
MOT20-02,93,342,356,1829,v_to_u,augmented_p17,pred_clf,81,100,0.683127665413,-0.230224321133,-0.095714
MOT20-03,21,295,328,1941,u_to_v,augmented_p17,pred_reg,21,40,-0.044735010969,0.0,-1.6e-05
MOT20-03,40,98,193,632,v_to_u,augmented_p17,pred_clf,21,40,0.540778919224,-0.210110584518,-0.02766
MOT20-03,50,399,435,1989,v_to_u,augmented_p17,pred_reg,41,60,-0.010181670995,-0.146394756009,-0.06296
MOT20-03,57,533,643,2081,v_to_u,augmented_p17,pred_clf,41,60,0.625317165275,-0.145679012346,-0.0052
MOT20-03,80,342,533,1746,u_to_v,augmented_p17,pred_reg,61,80,0.000619820496,-0.187165775401,-0.04036
MOT20-03,80,342,533,1746,u_to_v,augmented_p17,pred_clf,61,80,0.702767517806,-0.187165775401,-0.04036
MOT20-03,94,131,280,1199,u_to_v,augmented_p17,pred_reg,81,100,-0.033105025409,0.0,-0.0001
MOT20-03,91,363,399,2220,u_to_v,augmented_p17,pred_clf,81,100,0.624002662916,-0.011583011583,-0.01307
MOT20-05,38,1123,1366,2963,u_to_v,augmented_p17,pred_reg,21,40,0.014602241404,0.0,-0.002277
MOT20-05,24,1413,1421,2924,v_to_u,augmented_p17,pred_clf,21,40,0.561408692855,0.001610305958,0.000321
MOT20-05,48,489,806,1198,v_to_u,augmented_p17,pred_reg,41,60,-0.028751697584,-0.175693527081,-0.010598
MOT20-05,42,872,883,1928,u_to_v,augmented_p17,pred_clf,41,60,0.541982655955,-0.037779491133,-0.007224
MOT20-05,78,337,384,781,v_to_u,augmented_p17,pred_reg,61,80,-0.030120136375,-0.024514811032,-0.00301
MOT20-05,67,142,394,395,v_to_u,augmented_p17,pred_clf,61,80,0.673718733558,0.159942363112,-0.002394
MOT20-05,95,225,263,1216,v_to_u,augmented_p17,pred_reg,81,100,-0.000442569108,0.0,0.017851
MOT20-05,93,1377,1380,3042,v_to_u,augmented_p17,pred_clf,81,100,0.575899668145,-0.008026755853,-0.002264
MOT20-01,39,5,16,292,v_to_u,p15_only,pred_reg,21,40,0.023262552548,0.0,-0.015819
