seq,u,v,boundary_frame,transaction_type,donor_raw_tid,receiver_raw_tid,accepted,reject_reason,effective_start_frame,changed_rows,pair_common_frames,pair_common_span,canonical_rank
MOT17-09-FRCNN,1,8,42,u_to_v,1,8,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,1,8,42,v_to_u,8,1,1,,43.0,162,1,1,1
MOT17-09-FRCNN,2,8,42,u_to_v,2,8,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,2,8,42,v_to_u,8,2,1,,43.0,350,1,1,2
MOT17-09-FRCNN,3,8,42,u_to_v,3,8,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,3,8,42,v_to_u,8,3,1,,43.0,77,1,1,3
MOT17-09-FRCNN,4,8,42,u_to_v,4,8,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,4,8,42,v_to_u,8,4,1,,43.0,483,1,1,4
MOT17-09-FRCNN,5,8,42,u_to_v,5,8,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,5,8,42,v_to_u,8,5,1,,43.0,179,1,1,5
MOT17-09-FRCNN,6,8,42,u_to_v,6,8,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,6,8,42,v_to_u,8,6,1,,43.0,208,1,1,6
MOT17-09-FRCNN,7,8,42,u_to_v,7,8,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,7,8,42,v_to_u,8,7,1,,43.0,25,1,1,7
MOT17-09-FRCNN,1,7,67,u_to_v,1,7,0,no_post_boundary_handoff_frame,,0,58,58,0
MOT17-09-FRCNN,1,7,67,v_to_u,7,1,1,,68.0,137,58,58,8
MOT17-09-FRCNN,2,7,67,u_to_v,2,7,0,no_post_boundary_handoff_frame,,0,58,58,0
MOT17-09-FRCNN,2,7,67,v_to_u,7,2,1,,68.0,325,58,58,9
MOT17-09-FRCNN,3,7,67,u_to_v,3,7,0,no_post_boundary_handoff_frame,,0,58,58,0
MOT17-09-FRCNN,3,7,67,v_to_u,7,3,1,,68.0,52,58,58,10
MOT17-09-FRCNN,4,7,67,u_to_v,4,7,0,no_post_boundary_handoff_frame,,0,58,58,0
MOT17-09-FRCNN,4,7,67,v_to_u,7,4,1,,68.0,458,58,58,11
MOT17-09-FRCNN,5,7,67,u_to_v,5,7,0,no_post_boundary_handoff_frame,,0,58,58,0
MOT17-09-FRCNN,5,7,67,v_to_u,7,5,1,,68.0,154,58,58,12
MOT17-09-FRCNN,6,7,67,u_to_v,6,7,0,no_post_boundary_handoff_frame,,0,58,58,0
MOT17-09-FRCNN,6,7,67,v_to_u,7,6,1,,68.0,183,58,58,13
MOT17-09-FRCNN,7,9,67,u_to_v,7,9,1,,68.0,144,23,23,14
MOT17-09-FRCNN,7,9,67,v_to_u,9,7,0,no_post_boundary_handoff_frame,,0,23,23,0
MOT17-09-FRCNN,1,10,83,u_to_v,1,10,0,no_post_boundary_handoff_frame,,0,16,16,0
MOT17-09-FRCNN,1,10,83,v_to_u,10,1,1,,84.0,121,16,16,15
