seq,canonical_rank,u,v,boundary_frame,transaction_type,frame,frames_after_handoff,baseline_label,edited_label,matched_gt_id,matched_gt_iou,donor_dominant_gt_full,receiver_dominant_gt_full,aggregate_receiver_dominant_gt_full,row_class
MOT17-09-FRCNN,1,1,8,42,v_to_u,43,0,1,8,19,0.918282622222,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,44,1,1,8,19,0.924614056669,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,45,2,1,8,19,0.930747704026,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,46,3,1,8,19,0.941296000202,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,47,4,1,8,19,0.947635444863,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,48,5,1,8,19,0.974487034465,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,49,6,1,8,19,0.947271035073,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,50,7,1,8,19,0.931859473243,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,51,8,1,8,19,0.917263572933,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,52,9,1,8,19,0.911975734062,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,53,10,1,8,19,0.908607169413,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,54,11,1,8,19,0.898815508282,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,55,12,1,8,19,0.923773662812,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,56,13,1,8,19,0.949626819792,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,57,14,1,8,19,0.960026286504,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,58,15,1,8,19,0.95901966191,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,59,16,1,8,19,0.959293920145,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,60,17,1,8,19,0.967187896475,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,61,18,1,8,19,0.976629376265,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,62,19,1,8,19,0.962525679755,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,63,20,1,8,19,0.953630807392,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,64,21,1,8,19,0.978856590223,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,65,22,1,8,19,0.970760405866,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,66,23,1,8,19,0.969009128858,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,67,24,1,8,19,0.954554712734,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,68,25,1,8,19,0.947219345957,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,69,26,1,8,19,0.944614629252,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,70,27,1,8,19,0.949629285616,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,71,28,1,8,19,0.958455739303,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,72,29,1,8,19,0.969321410581,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,73,30,1,8,19,0.940457075776,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,74,31,1,8,19,0.923695624095,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,75,32,1,8,19,0.915107487332,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,76,33,1,8,19,0.894042380976,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,77,34,1,8,19,0.882844369614,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,78,35,1,8,19,0.884299693338,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,79,36,1,8,19,0.889588982636,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,80,37,1,8,19,0.914015535804,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,81,38,1,8,19,0.924766222743,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,82,39,1,8,19,0.929381078873,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,83,40,1,8,19,0.944038823773,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,84,41,1,8,19,0.951014390402,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,85,42,1,8,19,0.940375310571,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,86,43,1,8,19,0.913370403154,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,87,44,1,8,19,0.925101438878,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,88,45,1,8,19,0.92377956307,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,89,46,1,8,19,0.930885953744,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,90,47,1,8,19,0.957255334586,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,91,48,1,8,19,0.966511223538,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,92,49,1,8,19,0.966074119881,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,93,50,1,8,19,0.950611487284,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,94,51,1,8,19,0.949158403785,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,95,52,1,8,19,0.955456444906,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,96,53,1,8,19,0.963196594666,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,97,54,1,8,19,0.95267893411,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,98,55,1,8,19,0.956647554404,43,19,19,harm
MOT17-09-FRCNN,1,1,8,42,v_to_u,99,56,1,8,19,0.957716374974,43,19,19,harm
