seq,u,v,boundary_frame,transaction_type,donor_raw_tid,receiver_raw_tid,accepted,effective_start_frame,changed_rows,pair_common_frames,pair_common_span,donor_anchor,receiver_anchor,candidate_policy_version,donor_first_frame,donor_last_frame,receiver_first_frame,receiver_last_frame,donor_track_rows,receiver_track_rows,donor_history_rows,receiver_history_rows,handoff_gap,future_receiver_rows,future_receiver_unique_frames,future_receiver_span,future_receiver_density,boundary_center_distance_norm,boundary_bottom_gap_norm,boundary_iou,boundary_log_width_ratio_abs,boundary_log_height_ratio_abs,boundary_donor_score,boundary_receiver_score,canonical_rank,receiver_anchor_count,receiver_anchor_counts,target_rows_with_receiver_anchor,h30_history_donor_rows,h30_history_receiver_rows,h30_receiver_anchor_count,h30_future_rows,h30_history_donor_matched,h30_history_receiver_matched,h30_future_matched,h30_future_match_rate,h30_future_mean_match_iou,h30_donor_dominant_gt,h30_receiver_dominant_gt,h30_future_dominant_gt,h30_donor_gt_purity,h30_receiver_gt_purity,h30_future_gt_purity,h30_future_gt_entropy,h30_future_unique_gt,h30_history_dominant_same_gt,h30_donor_future_support_rows,h30_receiver_future_support_rows,h30_benefit_rows,h30_harm_rows,h30_row_net,h30_donor_minus_receiver_support_frac,h30_donor_same_pairs,h30_donor_different_pairs,h30_receiver_same_pairs,h30_receiver_different_pairs,h30_pairwise_net_pairs,h30_pairwise_affected_pairs,h30_pairwise_net_norm,h30_baseline_local_idtp,h30_edited_local_idtp,h30_idtp_delta,h30_idtp_delta_norm,h30_future_span_frames,h30_future_density,h60_history_donor_rows,h60_history_receiver_rows,h60_receiver_anchor_count,h60_future_rows,h60_history_donor_matched,h60_history_receiver_matched,h60_future_matched,h60_future_match_rate,h60_future_mean_match_iou,h60_donor_dominant_gt,h60_receiver_dominant_gt,h60_future_dominant_gt,h60_donor_gt_purity,h60_receiver_gt_purity,h60_future_gt_purity,h60_future_gt_entropy,h60_future_unique_gt,h60_history_dominant_same_gt,h60_donor_future_support_rows,h60_receiver_future_support_rows,h60_benefit_rows,h60_harm_rows,h60_row_net,h60_donor_minus_receiver_support_frac,h60_donor_same_pairs,h60_donor_different_pairs,h60_receiver_same_pairs,h60_receiver_different_pairs,h60_pairwise_net_pairs,h60_pairwise_affected_pairs,h60_pairwise_net_norm,h60_baseline_local_idtp,h60_edited_local_idtp,h60_idtp_delta,h60_idtp_delta_norm,h60_future_span_frames,h60_future_density,h120_history_donor_rows,h120_history_receiver_rows,h120_receiver_anchor_count,h120_future_rows,h120_history_donor_matched,h120_history_receiver_matched,h120_future_matched,h120_future_match_rate,h120_future_mean_match_iou,h120_donor_dominant_gt,h120_receiver_dominant_gt,h120_future_dominant_gt,h120_donor_gt_purity,h120_receiver_gt_purity,h120_future_gt_purity,h120_future_gt_entropy,h120_future_unique_gt,h120_history_dominant_same_gt,h120_donor_future_support_rows,h120_receiver_future_support_rows,h120_benefit_rows,h120_harm_rows,h120_row_net,h120_donor_minus_receiver_support_frac,h120_donor_same_pairs,h120_donor_different_pairs,h120_receiver_same_pairs,h120_receiver_different_pairs,h120_pairwise_net_pairs,h120_pairwise_affected_pairs,h120_pairwise_net_norm,h120_baseline_local_idtp,h120_edited_local_idtp,h120_idtp_delta,h120_idtp_delta_norm,h120_future_span_frames,h120_future_density,h300_history_donor_rows,h300_history_receiver_rows,h300_receiver_anchor_count,h300_future_rows,h300_history_donor_matched,h300_history_receiver_matched,h300_future_matched,h300_future_match_rate,h300_future_mean_match_iou,h300_donor_dominant_gt,h300_receiver_dominant_gt,h300_future_dominant_gt,h300_donor_gt_purity,h300_receiver_gt_purity,h300_future_gt_purity,h300_future_gt_entropy,h300_future_unique_gt,h300_history_dominant_same_gt,h300_donor_future_support_rows,h300_receiver_future_support_rows,h300_benefit_rows,h300_harm_rows,h300_row_net,h300_donor_minus_receiver_support_frac,h300_donor_same_pairs,h300_donor_different_pairs,h300_receiver_same_pairs,h300_receiver_different_pairs,h300_pairwise_net_pairs,h300_pairwise_affected_pairs,h300_pairwise_net_norm,h300_baseline_local_idtp,h300_edited_local_idtp,h300_idtp_delta,h300_idtp_delta_norm,h300_future_span_frames,h300_future_density,full_history_donor_rows,full_history_receiver_rows,full_receiver_anchor_count,full_future_rows,full_history_donor_matched,full_history_receiver_matched,full_future_matched,full_future_match_rate,full_future_mean_match_iou,full_donor_dominant_gt,full_receiver_dominant_gt,full_future_dominant_gt,full_donor_gt_purity,full_receiver_gt_purity,full_future_gt_purity,full_future_gt_entropy,full_future_unique_gt,full_history_dominant_same_gt,full_donor_future_support_rows,full_receiver_future_support_rows,full_benefit_rows,full_harm_rows,full_row_net,full_donor_minus_receiver_support_frac,full_donor_same_pairs,full_donor_different_pairs,full_receiver_same_pairs,full_receiver_different_pairs,full_pairwise_net_pairs,full_pairwise_affected_pairs,full_pairwise_net_norm,full_baseline_local_idtp,full_edited_local_idtp,full_idtp_delta,full_idtp_delta_norm,full_future_span_frames,full_future_density
MOT17-09-FRCNN,1,8,42,v_to_u,8,1,1,43,162,1,1,8,1,1,42,42,1,204,1,204,1,42,1,162,162,162,1.0,7.230839384304,0.240873997084,0.0,0.591618273043,0.508661120756,-1.0,-1.0,1,1,"{""1"": 162}",162,1,30,1,30,1,30,30,1.0,0.946899690496,43,19,19,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,30,900,0,-930,930,-1.0,61,31,-30,-0.491803278689,30,1.0,1,42,1,60,1,42,60,1.0,0.93968390018,43,19,19,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,60,2520,0,-2580,2580,-1.0,103,60,-43,-0.417475728155,60,1.0,1,42,1,120,1,42,120,1.0,0.93166625545,43,19,19,1.0,1.0,1.0,-0.0,1,0,0,120,0,120,-1.0,-1.0,0,120,5040,0,-5160,5160,-1.0,163,120,-43,-0.263803680982,120,1.0,1,42,1,162,1,42,158,0.975308641975,0.916412323747,43,19,19,1.0,1.0,1.0,-0.0,1,0,0,158,0,158,-1.0,-1.0,0,158,6636,0,-6794,6794,-1.0,201,158,-43,-0.213930348259,162,1.0,1,42,1,162,1,42,158,0.975308641975,0.916412323747,43,19,19,1.0,1.0,1.0,-0.0,1,0,0,158,0,158,-1.0,-1.0,0,158,6636,0,-6794,6794,-1.0,201,158,-43,-0.213930348259,162,1.0
MOT17-09-FRCNN,2,8,42,v_to_u,8,2,1,43,350,1,1,8,2,1,42,42,1,392,1,392,1,42,1,350,350,350,1.0,8.039641280914,0.169333908144,0.0,0.135626616595,0.189917903686,-1.0,-1.0,2,1,"{""2"": 350}",350,1,30,1,30,1,30,30,1.0,0.94795264877,43,22,22,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,30,900,0,-930,930,-1.0,61,31,-30,-0.491803278689,30,1.0,1,42,1,60,1,42,60,1.0,0.954379720646,43,22,22,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,60,2520,0,-2580,2580,-1.0,103,60,-43,-0.417475728155,60,1.0,1,42,1,120,1,42,120,1.0,0.832043818081,43,22,22,1.0,1.0,1.0,-0.0,1,0,0,120,0,120,-1.0,-1.0,0,120,5040,0,-5160,5160,-1.0,163,120,-43,-0.263803680982,120,1.0,1,42,1,300,1,42,300,1.0,0.887146695795,43,22,22,1.0,1.0,0.996666666667,0.022340379843,2,0,0,299,0,299,-0.996666666667,-0.996666666667,0,300,12558,42,-12816,12900,-0.993488372093,342,299,-43,-0.125364431487,300,1.0,1,42,1,350,1,42,350,1.0,0.889735375603,43,22,22,1.0,1.0,0.997142857143,0.019590009202,2,0,0,349,0,349,-0.997142857143,-0.997142857143,0,350,14658,42,-14966,15050,-0.994418604651,392,349,-43,-0.10941475827,350,1.0
MOT17-09-FRCNN,3,8,42,v_to_u,8,3,1,43,77,1,1,8,3,1,42,42,1,119,1,119,1,42,1,77,77,77,1.0,9.819981934708,0.232051320472,0.0,0.605279693717,0.658325131751,-1.0,-1.0,3,1,"{""3"": 77}",77,1,30,1,30,1,30,30,1.0,0.90462288356,43,21,21,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,30,900,0,-930,930,-1.0,61,31,-30,-0.491803278689,30,1.0,1,42,1,60,1,42,60,1.0,0.917255011295,43,21,21,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,60,2520,0,-2580,2580,-1.0,103,60,-43,-0.417475728155,60,1.0,1,42,1,77,1,42,72,0.935064935065,0.890799791362,43,21,21,1.0,1.0,1.0,-0.0,1,0,0,72,0,72,-1.0,-1.0,0,72,3024,0,-3096,3096,-1.0,115,72,-43,-0.373913043478,77,1.0,1,42,1,77,1,42,72,0.935064935065,0.890799791362,43,21,21,1.0,1.0,1.0,-0.0,1,0,0,72,0,72,-1.0,-1.0,0,72,3024,0,-3096,3096,-1.0,115,72,-43,-0.373913043478,77,1.0,1,42,1,77,1,42,72,0.935064935065,0.890799791362,43,21,21,1.0,1.0,1.0,-0.0,1,0,0,72,0,72,-1.0,-1.0,0,72,3024,0,-3096,3096,-1.0,115,72,-43,-0.373913043478,77,1.0
MOT17-09-FRCNN,4,8,42,v_to_u,8,4,1,43,483,1,1,8,4,1,42,42,1,525,1,525,1,42,1,483,483,483,1.0,0.944898769658,0.030651263191,0.0,0.047925504224,0.029782301759,-1.0,-1.0,4,1,"{""4"": 483}",483,1,30,1,30,1,30,30,1.0,0.889971785537,43,1,1,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,30,900,0,-930,930,-1.0,61,31,-30,-0.491803278689,30,1.0,1,42,1,60,1,42,60,1.0,0.91753644253,43,1,1,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,60,2520,0,-2580,2580,-1.0,103,60,-43,-0.417475728155,60,1.0,1,42,1,120,1,42,120,1.0,0.926352385843,43,1,1,1.0,1.0,1.0,-0.0,1,0,0,120,0,120,-1.0,-1.0,0,120,5040,0,-5160,5160,-1.0,163,120,-43,-0.263803680982,120,1.0,1,42,1,300,1,42,299,0.996666666667,0.876058183863,43,1,1,1.0,1.0,0.588628762542,0.894295027383,4,0,0,176,0,176,-0.588628762542,-0.588628762542,0,299,7392,5166,-2525,12857,-0.196391071012,219,176,-43,-0.125730994152,300,1.0,1,42,1,483,1,42,482,0.997929606625,0.880705761367,43,1,1,1.0,1.0,0.365145228216,1.35802455627,5,0,0,176,0,176,-0.365145228216,-0.365145228216,0,482,7392,12852,4978,20726,0.240181414648,219,176,-43,-0.081904761905,483,1.0
MOT17-09-FRCNN,5,8,42,v_to_u,8,5,1,43,179,1,1,8,5,1,42,42,1,221,1,221,1,42,1,179,179,179,1.0,7.649071771196,0.244480171926,0.0,0.668630859012,0.666324172159,-1.0,-1.0,5,1,"{""5"": 179}",179,1,30,1,30,1,30,30,1.0,0.946050981176,43,20,20,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,30,900,0,-930,930,-1.0,61,31,-30,-0.491803278689,30,1.0,1,42,1,60,1,42,60,1.0,0.947731502015,43,20,20,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,60,2520,0,-2580,2580,-1.0,103,60,-43,-0.417475728155,60,1.0,1,42,1,120,1,42,120,1.0,0.953282835791,43,20,20,1.0,1.0,1.0,-0.0,1,0,0,120,0,120,-1.0,-1.0,0,120,5040,0,-5160,5160,-1.0,163,120,-43,-0.263803680982,120,1.0,1,42,1,179,1,42,178,0.994413407821,0.939368313077,43,20,20,1.0,1.0,1.0,-0.0,1,0,0,178,0,178,-1.0,-1.0,0,178,7476,0,-7654,7654,-1.0,221,178,-43,-0.194570135747,179,1.0,1,42,1,179,1,42,178,0.994413407821,0.939368313077,43,20,20,1.0,1.0,1.0,-0.0,1,0,0,178,0,178,-1.0,-1.0,0,178,7476,0,-7654,7654,-1.0,221,178,-43,-0.194570135747,179,1.0
MOT17-09-FRCNN,6,8,42,v_to_u,8,6,1,43,208,1,1,8,6,1,42,42,1,250,1,250,1,42,1,208,208,208,1.0,0.242591848238,0.503062442081,0.088807448976,1.445618952505,0.975665795127,-1.0,-1.0,6,1,"{""6"": 208}",208,1,30,1,30,1,30,30,1.0,0.910924440676,43,23,23,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,30,900,0,-930,930,-1.0,61,31,-30,-0.491803278689,30,1.0,1,42,1,60,1,42,60,1.0,0.916290074836,43,23,23,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,60,2520,0,-2580,2580,-1.0,103,60,-43,-0.417475728155,60,1.0,1,42,1,120,1,42,120,1.0,0.895851348369,43,23,23,1.0,1.0,1.0,-0.0,1,0,0,120,0,120,-1.0,-1.0,0,120,5040,0,-5160,5160,-1.0,163,120,-43,-0.263803680982,120,1.0,1,42,1,208,1,42,208,1.0,0.909541744483,43,23,23,1.0,1.0,1.0,-0.0,1,0,0,208,0,208,-1.0,-1.0,0,208,8736,0,-8944,8944,-1.0,251,208,-43,-0.171314741036,208,1.0,1,42,1,208,1,42,208,1.0,0.909541744483,43,23,23,1.0,1.0,1.0,-0.0,1,0,0,208,0,208,-1.0,-1.0,0,208,8736,0,-8944,8944,-1.0,251,208,-43,-0.171314741036,208,1.0
MOT17-09-FRCNN,7,8,42,v_to_u,8,7,1,43,25,1,1,8,7,1,42,42,10,67,1,58,1,33,1,25,25,25,1.0,12.682563447479,0.386129482083,0.0,0.349546620032,0.342448014024,-1.0,-1.0,7,1,"{""7"": 25}",25,1,30,1,25,1,30,10,0.4,0.687234954901,43,16,16,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,10,300,0,-310,310,-1.0,41,31,-10,-0.243902439024,25,1.0,1,33,1,25,1,33,10,0.4,0.687234954901,43,16,16,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,10,330,0,-340,340,-1.0,44,34,-10,-0.227272727273,25,1.0,1,33,1,25,1,33,10,0.4,0.687234954901,43,16,16,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,10,330,0,-340,340,-1.0,44,34,-10,-0.227272727273,25,1.0,1,33,1,25,1,33,10,0.4,0.687234954901,43,16,16,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,10,330,0,-340,340,-1.0,44,34,-10,-0.227272727273,25,1.0,1,33,1,25,1,33,10,0.4,0.687234954901,43,16,16,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,10,330,0,-340,340,-1.0,44,34,-10,-0.227272727273,25,1.0
MOT17-09-FRCNN,1,7,67,v_to_u,7,1,1,68,137,58,58,7,1,1,10,67,1,204,58,204,58,67,1,137,137,137,1.0,1.358965139532,0.443973004755,0.0,0.895733349915,0.648735335203,-1.0,-1.0,8,1,"{""1"": 137}",137,30,30,1,30,15,30,30,1.0,0.935231576275,16,19,19,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,450,900,0,-1350,1350,-1.0,75,45,-30,-0.4,30,1.0,58,60,1,60,43,60,60,1.0,0.932488376664,16,19,19,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,2580,3600,0,-6180,6180,-1.0,163,103,-60,-0.368098159509,60,1.0,58,67,1,120,43,67,120,1.0,0.923184158834,16,19,19,1.0,1.0,1.0,-0.0,1,0,0,120,0,120,-1.0,-1.0,0,5160,8040,0,-13200,13200,-1.0,230,120,-110,-0.478260869565,120,1.0,58,67,1,137,43,67,133,0.970802919708,0.910942833443,16,19,19,1.0,1.0,1.0,-0.0,1,0,0,133,0,133,-1.0,-1.0,0,5719,8911,0,-14630,14630,-1.0,243,133,-110,-0.452674897119,137,1.0,58,67,1,137,43,67,133,0.970802919708,0.910942833443,16,19,19,1.0,1.0,1.0,-0.0,1,0,0,133,0,133,-1.0,-1.0,0,5719,8911,0,-14630,14630,-1.0,243,133,-110,-0.452674897119,137,1.0
MOT17-09-FRCNN,2,7,67,v_to_u,7,2,1,68,325,58,58,7,2,1,10,67,1,392,58,392,58,67,1,325,325,325,1.0,3.820639463074,0.027041490159,0.0,0.033155036824,0.170271261569,-1.0,-1.0,9,1,"{""2"": 325}",325,30,30,1,30,15,30,30,1.0,0.959378661076,16,22,22,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,450,900,0,-1350,1350,-1.0,75,45,-30,-0.4,30,1.0,58,60,1,60,43,60,60,1.0,0.842911085126,16,22,22,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,2580,3600,0,-6180,6180,-1.0,163,103,-60,-0.368098159509,60,1.0,58,67,1,120,43,67,120,1.0,0.830461560589,16,22,22,1.0,1.0,1.0,-0.0,1,0,0,120,0,120,-1.0,-1.0,0,5160,8040,0,-13200,13200,-1.0,230,120,-110,-0.478260869565,120,1.0,58,67,1,300,43,67,300,1.0,0.883090522046,16,22,22,1.0,1.0,0.996666666667,0.022340379843,2,0,0,299,0,299,-0.996666666667,-0.996666666667,0,12900,20033,67,-32866,33000,-0.995939393939,409,299,-110,-0.268292682927,300,1.0,58,67,1,325,43,67,325,1.0,0.885260537832,16,22,22,1.0,1.0,0.996923076923,0.020868569663,2,0,0,324,0,324,-0.996923076923,-0.996923076923,0,13975,21708,67,-35616,35750,-0.996251748252,434,324,-110,-0.252873563218,325,1.0
MOT17-09-FRCNN,3,7,67,v_to_u,7,3,1,68,52,58,58,7,3,1,10,67,1,119,58,119,58,67,1,52,52,52,1.0,5.176553791629,0.017167197409,0.0,0.457341747999,0.641253625225,-1.0,-1.0,10,1,"{""3"": 52}",52,30,30,1,30,15,30,30,1.0,0.939264193854,16,21,21,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,450,900,0,-1350,1350,-1.0,75,45,-30,-0.4,30,1.0,58,60,1,52,43,60,47,0.903846153846,0.885739677841,16,21,21,1.0,1.0,1.0,-0.0,1,0,0,47,0,47,-1.0,-1.0,0,2021,2820,0,-4841,4841,-1.0,150,103,-47,-0.313333333333,52,1.0,58,67,1,52,43,67,47,0.903846153846,0.885739677841,16,21,21,1.0,1.0,1.0,-0.0,1,0,0,47,0,47,-1.0,-1.0,0,2021,3149,0,-5170,5170,-1.0,157,110,-47,-0.299363057325,52,1.0,58,67,1,52,43,67,47,0.903846153846,0.885739677841,16,21,21,1.0,1.0,1.0,-0.0,1,0,0,47,0,47,-1.0,-1.0,0,2021,3149,0,-5170,5170,-1.0,157,110,-47,-0.299363057325,52,1.0,58,67,1,52,43,67,47,0.903846153846,0.885739677841,16,21,21,1.0,1.0,1.0,-0.0,1,0,0,47,0,47,-1.0,-1.0,0,2021,3149,0,-5170,5170,-1.0,157,110,-47,-0.299363057325,52,1.0
