seq,canonical_rank,u,v,boundary_frame,transaction_type,accepted,changed_rows,effective_start_frame,reject_reason,donor_raw_tid,receiver_raw_tid,donor_anchor,receiver_anchor
MOT17-09-FRCNN,1,1,8,42,v_to_u,1,162,43,,8,1,8,1
MOT17-09-FRCNN,2,2,8,42,v_to_u,1,350,43,,8,2,8,2
MOT17-09-FRCNN,3,3,8,42,v_to_u,1,77,43,,8,3,8,3
MOT17-09-FRCNN,4,4,8,42,v_to_u,1,483,43,,8,4,8,4
MOT17-09-FRCNN,5,5,8,42,v_to_u,1,179,43,,8,5,8,5
MOT17-09-FRCNN,6,6,8,42,v_to_u,1,208,43,,8,6,8,6
MOT17-09-FRCNN,7,7,8,42,v_to_u,1,25,43,,8,7,8,7
MOT17-09-FRCNN,8,1,7,67,v_to_u,1,137,68,,7,1,7,1
MOT17-09-FRCNN,9,2,7,67,v_to_u,1,325,68,,7,2,7,2
MOT17-09-FRCNN,10,3,7,67,v_to_u,1,52,68,,7,3,7,3
MOT17-09-FRCNN,11,4,7,67,v_to_u,1,458,68,,7,4,7,4
MOT17-09-FRCNN,12,5,7,67,v_to_u,1,154,68,,7,5,7,5
MOT17-09-FRCNN,13,6,7,67,v_to_u,1,183,68,,7,6,7,6
MOT17-09-FRCNN,14,7,9,67,u_to_v,1,144,68,,7,9,7,9
MOT17-09-FRCNN,15,1,10,83,v_to_u,1,121,84,,10,1,10,1
MOT17-09-FRCNN,16,2,10,83,v_to_u,1,309,84,,10,2,10,2
MOT17-09-FRCNN,17,3,10,83,v_to_u,1,36,84,,10,3,10,3
MOT17-09-FRCNN,18,4,10,83,v_to_u,1,442,84,,10,4,10,4
MOT17-09-FRCNN,19,5,10,83,v_to_u,1,138,84,,10,5,10,5
MOT17-09-FRCNN,20,6,10,83,v_to_u,1,167,84,,10,6,10,6
MOT17-09-FRCNN,21,9,10,83,v_to_u,1,128,84,,10,9,10,9
MOT17-09-FRCNN,22,1,11,110,v_to_u,1,94,111,,11,1,11,1
MOT17-09-FRCNN,23,2,11,110,v_to_u,1,282,111,,11,2,11,2
MOT17-09-FRCNN,24,3,11,110,v_to_u,1,9,111,,11,3,11,3
MOT17-09-FRCNN,25,4,11,110,v_to_u,1,415,111,,11,4,11,4
MOT17-09-FRCNN,26,5,11,110,v_to_u,1,111,111,,11,5,11,5
MOT17-09-FRCNN,27,6,11,110,v_to_u,1,140,111,,11,6,11,6
MOT17-09-FRCNN,28,9,11,110,v_to_u,1,101,111,,11,9,11,9
MOT17-09-FRCNN,29,1,3,119,v_to_u,1,85,120,,3,1,3,1
MOT17-09-FRCNN,30,2,3,119,v_to_u,1,273,120,,3,2,3,2
MOT17-09-FRCNN,31,3,4,119,u_to_v,1,406,120,,3,4,3,4
MOT17-09-FRCNN,32,3,5,119,u_to_v,1,102,120,,3,5,3,5
MOT17-09-FRCNN,33,3,6,119,u_to_v,1,131,120,,3,6,3,6
MOT17-09-FRCNN,34,3,9,119,u_to_v,1,92,120,,3,9,3,9
MOT17-09-FRCNN,35,1,13,168,v_to_u,1,36,169,,13,1,13,1
MOT17-09-FRCNN,36,2,13,168,v_to_u,1,224,169,,13,2,13,2
MOT17-09-FRCNN,37,4,13,168,v_to_u,1,357,169,,13,4,13,4
MOT17-09-FRCNN,38,5,13,168,v_to_u,1,53,169,,13,5,13,5
MOT17-09-FRCNN,39,6,13,168,v_to_u,1,82,169,,13,6,13,6
MOT17-09-FRCNN,40,9,13,168,v_to_u,1,43,169,,13,9,13,9
MOT17-09-FRCNN,41,12,13,168,v_to_u,1,224,169,,13,12,13,12
MOT17-09-FRCNN,42,13,14,168,u_to_v,1,172,169,,13,14,13,14
MOT17-09-FRCNN,43,13,15,168,u_to_v,1,4,169,,13,15,13,15
MOT17-09-FRCNN,44,1,15,172,v_to_u,1,32,173,,15,1,15,1
MOT17-09-FRCNN,45,2,15,172,v_to_u,1,220,173,,15,2,15,2
MOT17-09-FRCNN,46,4,15,172,v_to_u,1,353,173,,15,4,15,4
MOT17-09-FRCNN,47,5,15,172,v_to_u,1,49,173,,15,5,15,5
MOT17-09-FRCNN,48,6,15,172,v_to_u,1,78,173,,15,6,15,6
MOT17-09-FRCNN,49,9,15,172,v_to_u,1,39,173,,15,9,15,9
MOT17-09-FRCNN,50,12,15,172,v_to_u,1,220,173,,15,12,15,12
MOT17-09-FRCNN,51,14,15,172,v_to_u,1,168,173,,15,14,15,14
MOT17-09-FRCNN,52,15,16,172,u_to_v,1,165,173,,15,16,15,16
MOT17-09-FRCNN,53,15,17,172,u_to_v,1,210,173,,15,17,15,17
MOT17-09-FRCNN,54,1,19,198,v_to_u,1,6,199,,19,1,19,1
MOT17-09-FRCNN,55,2,19,198,v_to_u,1,194,199,,19,2,19,2
MOT17-09-FRCNN,56,4,19,198,v_to_u,1,327,199,,19,4,19,4
MOT17-09-FRCNN,57,5,19,198,v_to_u,1,23,199,,19,5,19,5
MOT17-09-FRCNN,58,6,19,198,v_to_u,1,52,199,,19,6,19,6
MOT17-09-FRCNN,59,9,19,198,v_to_u,1,13,199,,19,9,19,9
MOT17-09-FRCNN,60,12,19,198,v_to_u,1,194,199,,19,12,19,12
MOT17-09-FRCNN,61,14,19,198,v_to_u,1,142,199,,19,14,19,14
MOT17-09-FRCNN,62,16,19,198,v_to_u,1,139,199,,19,16,19,16
MOT17-09-FRCNN,63,17,19,198,v_to_u,1,184,199,,19,17,19,17
MOT17-09-FRCNN,64,18,19,198,v_to_u,1,203,199,,19,18,19,18
MOT17-09-FRCNN,65,19,20,198,u_to_v,1,327,199,,19,20,19,20
MOT17-09-FRCNN,66,1,2,204,u_to_v,1,188,205,,1,2,1,2
MOT17-09-FRCNN,67,1,4,204,u_to_v,1,321,205,,1,4,1,4
MOT17-09-FRCNN,68,1,5,204,u_to_v,1,17,205,,1,5,1,5
MOT17-09-FRCNN,69,1,6,204,u_to_v,1,46,205,,1,6,1,6
MOT17-09-FRCNN,70,1,9,204,u_to_v,1,7,205,,1,9,1,9
MOT17-09-FRCNN,71,1,12,204,u_to_v,1,188,205,,1,12,1,12
MOT17-09-FRCNN,72,1,14,204,u_to_v,1,136,205,,1,14,1,14
MOT17-09-FRCNN,73,1,16,204,u_to_v,1,133,205,,1,16,1,16
MOT17-09-FRCNN,74,1,17,204,u_to_v,1,178,205,,1,17,1,17
MOT17-09-FRCNN,75,1,18,204,u_to_v,1,197,205,,1,18,1,18
MOT17-09-FRCNN,76,1,20,204,u_to_v,1,321,205,,1,20,1,20
MOT17-09-FRCNN,77,2,9,211,v_to_u,1,181,212,,9,2,9,2
MOT17-09-FRCNN,78,4,9,211,v_to_u,1,314,212,,9,4,9,4
MOT17-09-FRCNN,79,5,9,211,v_to_u,1,10,212,,9,5,9,5
MOT17-09-FRCNN,80,6,9,211,v_to_u,1,39,212,,9,6,9,6
MOT17-09-FRCNN,81,9,12,211,u_to_v,1,181,212,,9,12,9,12
MOT17-09-FRCNN,82,9,14,211,u_to_v,1,129,212,,9,14,9,14
MOT17-09-FRCNN,83,9,16,211,u_to_v,1,126,212,,9,16,9,16
MOT17-09-FRCNN,84,9,17,211,u_to_v,1,171,212,,9,17,9,17
MOT17-09-FRCNN,85,9,18,211,u_to_v,1,190,212,,9,18,9,18
MOT17-09-FRCNN,86,9,20,211,u_to_v,1,314,212,,9,20,9,20
MOT17-09-FRCNN,87,9,21,211,u_to_v,1,5,212,,9,21,9,21
MOT17-09-FRCNN,88,2,21,216,v_to_u,1,176,217,,21,2,21,2
MOT17-09-FRCNN,89,4,21,216,v_to_u,1,309,217,,21,4,21,4
MOT17-09-FRCNN,90,5,21,216,v_to_u,1,5,217,,21,5,21,5
MOT17-09-FRCNN,91,6,21,216,v_to_u,1,34,217,,21,6,21,6
MOT17-09-FRCNN,92,12,21,216,v_to_u,1,176,217,,21,12,21,12
MOT17-09-FRCNN,93,14,21,216,v_to_u,1,124,217,,21,14,21,14
MOT17-09-FRCNN,94,16,21,216,v_to_u,1,121,217,,21,16,21,16
MOT17-09-FRCNN,95,17,21,216,v_to_u,1,166,217,,21,17,21,17
MOT17-09-FRCNN,96,18,21,216,v_to_u,1,185,217,,21,18,21,18
MOT17-09-FRCNN,97,20,21,216,v_to_u,1,309,217,,21,20,21,20
MOT17-09-FRCNN,98,21,22,216,u_to_v,1,133,217,,21,22,21,22
MOT17-09-FRCNN,99,2,5,221,v_to_u,1,171,222,,5,2,5,2
MOT17-09-FRCNN,100,4,5,221,v_to_u,1,304,222,,5,4,5,4
MOT17-09-FRCNN,101,5,6,221,u_to_v,1,29,222,,5,6,5,6
MOT17-09-FRCNN,102,5,12,221,u_to_v,1,171,222,,5,12,5,12
MOT17-09-FRCNN,103,5,14,221,u_to_v,1,119,222,,5,14,5,14
MOT17-09-FRCNN,104,5,16,221,u_to_v,1,116,222,,5,16,5,16
MOT17-09-FRCNN,105,5,17,221,u_to_v,1,161,222,,5,17,5,17
MOT17-09-FRCNN,106,5,18,221,u_to_v,1,180,222,,5,18,5,18
MOT17-09-FRCNN,107,5,20,221,u_to_v,1,304,222,,5,20,5,20
MOT17-09-FRCNN,108,5,22,221,u_to_v,1,128,222,,5,22,5,22
MOT17-09-FRCNN,109,5,23,221,u_to_v,1,266,222,,5,23,5,23
MOT17-09-FRCNN,110,5,24,221,u_to_v,1,53,222,,5,24,5,24
MOT17-09-FRCNN,111,2,26,247,v_to_u,1,145,248,,26,2,26,2
MOT17-09-FRCNN,112,4,26,247,v_to_u,1,278,248,,26,4,26,4
MOT17-09-FRCNN,113,6,26,247,v_to_u,1,3,248,,26,6,26,6
MOT17-09-FRCNN,114,12,26,247,v_to_u,1,145,248,,26,12,26,12
MOT17-09-FRCNN,115,14,26,247,v_to_u,1,93,248,,26,14,26,14
MOT17-09-FRCNN,116,16,26,247,v_to_u,1,90,248,,26,16,26,16
MOT17-09-FRCNN,117,17,26,247,v_to_u,1,135,248,,26,17,26,17
MOT17-09-FRCNN,118,18,26,247,v_to_u,1,154,248,,26,18,26,18
MOT17-09-FRCNN,119,20,26,247,v_to_u,1,278,248,,26,20,26,20
MOT17-09-FRCNN,120,22,26,247,v_to_u,1,102,248,,26,22,26,22
MOT17-09-FRCNN,121,23,26,247,v_to_u,1,240,248,,26,23,26,23
MOT17-09-FRCNN,122,24,26,247,v_to_u,1,27,248,,26,24,26,24
MOT17-09-FRCNN,123,25,26,247,v_to_u,1,38,248,,26,25,26,25
MOT17-09-FRCNN,124,2,6,250,v_to_u,1,142,251,,6,2,6,2
MOT17-09-FRCNN,125,4,6,250,v_to_u,1,275,251,,6,4,6,4
MOT17-09-FRCNN,126,6,12,250,u_to_v,1,142,251,,6,12,6,12
MOT17-09-FRCNN,127,6,14,250,u_to_v,1,90,251,,6,14,6,14
MOT17-09-FRCNN,128,6,16,250,u_to_v,1,87,251,,6,16,6,16
MOT17-09-FRCNN,129,6,17,250,u_to_v,1,132,251,,6,17,6,17
MOT17-09-FRCNN,130,6,18,250,u_to_v,1,151,251,,6,18,6,18
MOT17-09-FRCNN,131,6,20,250,u_to_v,1,275,251,,6,20,6,20
MOT17-09-FRCNN,132,6,22,250,u_to_v,1,99,251,,6,22,6,22
MOT17-09-FRCNN,133,6,23,250,u_to_v,1,237,251,,6,23,6,23
MOT17-09-FRCNN,134,6,24,250,u_to_v,1,24,251,,6,24,6,24
MOT17-09-FRCNN,135,6,25,250,u_to_v,1,35,251,,6,25,6,25
MOT17-09-FRCNN,136,2,27,255,v_to_u,1,137,256,,27,2,27,2
MOT17-09-FRCNN,137,4,27,255,v_to_u,1,270,256,,27,4,27,4
MOT17-09-FRCNN,138,12,27,255,v_to_u,1,137,256,,27,12,27,12
