seq,u,v,boundary_frame,transaction_type,donor_raw_tid,receiver_raw_tid,accepted,reject_reason,effective_start_frame,changed_rows,pair_common_frames,pair_common_span,canonical_rank,enumeration_rank,candidate_priority,selected_for_teacher
MOT17-02-FRCNN,1,25,30,u_to_v,1,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,1,25,30,v_to_u,25,1,1,,31.0,529,1,1,0,1,4.824485899101,0
MOT17-02-FRCNN,2,25,30,u_to_v,2,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,2,25,30,v_to_u,25,2,1,,31.0,195,1,1,0,2,1.178560866425,0
MOT17-02-FRCNN,3,25,30,u_to_v,3,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,3,25,30,v_to_u,25,3,1,,31.0,415,1,1,0,3,5.777747026971,0
MOT17-02-FRCNN,4,25,30,u_to_v,4,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,4,25,30,v_to_u,25,4,1,,31.0,301,1,1,0,4,1.685258094121,0
MOT17-02-FRCNN,5,25,30,u_to_v,5,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,5,25,30,v_to_u,25,5,1,,31.0,29,1,1,0,5,5.939826653927,0
MOT17-02-FRCNN,6,25,30,u_to_v,6,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,6,25,30,v_to_u,25,6,1,,31.0,381,1,1,0,6,1.439070855119,0
MOT17-02-FRCNN,7,25,30,u_to_v,7,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,7,25,30,v_to_u,25,7,1,,31.0,175,1,1,0,7,1.484754662851,0
MOT17-02-FRCNN,8,25,30,u_to_v,8,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,8,25,30,v_to_u,25,8,1,,31.0,299,1,1,0,8,4.825534754029,0
MOT17-02-FRCNN,9,25,30,u_to_v,9,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,9,25,30,v_to_u,25,9,1,,31.0,116,1,1,0,9,6.125268814767,0
MOT17-02-FRCNN,10,25,30,u_to_v,10,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,10,25,30,v_to_u,25,10,1,,31.0,29,1,1,0,10,8.685747405662,0
MOT17-02-FRCNN,11,25,30,u_to_v,11,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,11,25,30,v_to_u,25,11,1,,31.0,16,1,1,0,11,6.773919380063,0
MOT17-02-FRCNN,12,25,30,u_to_v,12,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,12,25,30,v_to_u,25,12,1,,31.0,192,1,1,0,12,4.215999750449,0
MOT17-02-FRCNN,13,25,30,u_to_v,13,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,13,25,30,v_to_u,25,13,1,,31.0,363,1,1,1,13,0.020909891661,1
MOT17-02-FRCNN,14,25,30,u_to_v,14,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,14,25,30,v_to_u,25,14,1,,31.0,330,1,1,0,14,10.954076062124,0
MOT17-02-FRCNN,15,25,30,u_to_v,15,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,15,25,30,v_to_u,25,15,1,,31.0,263,1,1,0,15,11.827252511901,0
MOT17-02-FRCNN,16,25,30,u_to_v,16,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,16,25,30,v_to_u,25,16,1,,31.0,293,1,1,0,16,11.938766802642,0
MOT17-02-FRCNN,17,25,30,u_to_v,17,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,17,25,30,v_to_u,25,17,1,,31.0,88,1,1,0,17,6.014774112255,0
MOT17-02-FRCNN,18,25,30,u_to_v,18,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,18,25,30,v_to_u,25,18,1,,31.0,48,1,1,0,18,7.26417784413,0
MOT17-02-FRCNN,19,25,30,u_to_v,19,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,19,25,30,v_to_u,25,19,1,,31.0,104,1,1,0,19,0.271596512468,0
MOT17-02-FRCNN,20,25,30,u_to_v,20,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,20,25,30,v_to_u,25,20,1,,31.0,348,1,1,0,20,0.2836686461,0
MOT17-02-FRCNN,21,25,30,u_to_v,21,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,21,25,30,v_to_u,25,21,1,,31.0,51,1,1,0,21,6.362702324948,0
MOT17-02-FRCNN,22,25,30,u_to_v,22,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,22,25,30,v_to_u,25,22,1,,31.0,222,1,1,0,22,6.463874419002,0
MOT17-02-FRCNN,23,25,30,u_to_v,23,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,23,25,30,v_to_u,25,23,1,,31.0,10,1,1,0,23,8.676122702238,0
MOT17-02-FRCNN,24,25,30,u_to_v,24,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,24,25,30,v_to_u,25,24,1,,31.0,570,1,1,0,24,10.156430850247,0
MOT17-02-FRCNN,1,23,40,u_to_v,1,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,1,23,40,v_to_u,23,1,1,,41.0,519,18,18,0,25,9.254295495868,0
MOT17-02-FRCNN,2,23,40,u_to_v,2,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,2,23,40,v_to_u,23,2,1,,41.0,185,18,18,0,26,7.653953365457,0
MOT17-02-FRCNN,3,23,40,u_to_v,3,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,3,23,40,v_to_u,23,3,1,,41.0,405,18,18,0,27,9.522615184994,0
MOT17-02-FRCNN,4,23,40,u_to_v,4,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,4,23,40,v_to_u,23,4,1,,41.0,291,18,18,0,28,7.409681203227,0
MOT17-02-FRCNN,5,23,40,u_to_v,5,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,5,23,40,v_to_u,23,5,1,,41.0,19,18,18,0,29,2.116509968441,0
MOT17-02-FRCNN,6,23,40,u_to_v,6,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,6,23,40,v_to_u,23,6,1,,41.0,371,18,18,0,30,6.94295800682,0
