seq,u,v,boundary_frame,transaction_type,donor_raw_tid,receiver_raw_tid,accepted,effective_start_frame,changed_rows,pair_common_frames,pair_common_span,donor_anchor,receiver_anchor,candidate_policy_version,donor_first_frame,donor_last_frame,receiver_first_frame,receiver_last_frame,donor_track_rows,receiver_track_rows,donor_history_rows,receiver_history_rows,handoff_gap,future_receiver_rows,future_receiver_unique_frames,future_receiver_span,future_receiver_density,boundary_center_distance_norm,boundary_bottom_gap_norm,boundary_iou,boundary_log_width_ratio_abs,boundary_log_height_ratio_abs,boundary_donor_score,boundary_receiver_score,canonical_rank,enumeration_rank,candidate_priority,receiver_anchor_count,receiver_anchor_counts,target_rows_with_receiver_anchor,h30_history_donor_rows,h30_history_receiver_rows,h30_receiver_anchor_count,h30_future_rows,h30_history_donor_matched,h30_history_receiver_matched,h30_future_matched,h30_future_match_rate,h30_future_mean_match_iou,h30_donor_dominant_gt,h30_receiver_dominant_gt,h30_future_dominant_gt,h30_donor_gt_purity,h30_receiver_gt_purity,h30_future_gt_purity,h30_future_gt_entropy,h30_future_unique_gt,h30_history_dominant_same_gt,h30_donor_future_support_rows,h30_receiver_future_support_rows,h30_benefit_rows,h30_harm_rows,h30_row_net,h30_donor_minus_receiver_support_frac,h30_donor_same_pairs,h30_donor_different_pairs,h30_receiver_same_pairs,h30_receiver_different_pairs,h30_pairwise_net_pairs,h30_pairwise_affected_pairs,h30_pairwise_net_norm,h30_baseline_local_idtp,h30_edited_local_idtp,h30_idtp_delta,h30_idtp_delta_norm,h30_future_span_frames,h30_future_density,h60_history_donor_rows,h60_history_receiver_rows,h60_receiver_anchor_count,h60_future_rows,h60_history_donor_matched,h60_history_receiver_matched,h60_future_matched,h60_future_match_rate,h60_future_mean_match_iou,h60_donor_dominant_gt,h60_receiver_dominant_gt,h60_future_dominant_gt,h60_donor_gt_purity,h60_receiver_gt_purity,h60_future_gt_purity,h60_future_gt_entropy,h60_future_unique_gt,h60_history_dominant_same_gt,h60_donor_future_support_rows,h60_receiver_future_support_rows,h60_benefit_rows,h60_harm_rows,h60_row_net,h60_donor_minus_receiver_support_frac,h60_donor_same_pairs,h60_donor_different_pairs,h60_receiver_same_pairs,h60_receiver_different_pairs,h60_pairwise_net_pairs,h60_pairwise_affected_pairs,h60_pairwise_net_norm,h60_baseline_local_idtp,h60_edited_local_idtp,h60_idtp_delta,h60_idtp_delta_norm,h60_future_span_frames,h60_future_density,h120_history_donor_rows,h120_history_receiver_rows,h120_receiver_anchor_count,h120_future_rows,h120_history_donor_matched,h120_history_receiver_matched,h120_future_matched,h120_future_match_rate,h120_future_mean_match_iou,h120_donor_dominant_gt,h120_receiver_dominant_gt,h120_future_dominant_gt,h120_donor_gt_purity,h120_receiver_gt_purity,h120_future_gt_purity,h120_future_gt_entropy,h120_future_unique_gt,h120_history_dominant_same_gt,h120_donor_future_support_rows,h120_receiver_future_support_rows,h120_benefit_rows,h120_harm_rows,h120_row_net,h120_donor_minus_receiver_support_frac,h120_donor_same_pairs,h120_donor_different_pairs,h120_receiver_same_pairs,h120_receiver_different_pairs,h120_pairwise_net_pairs,h120_pairwise_affected_pairs,h120_pairwise_net_norm,h120_baseline_local_idtp,h120_edited_local_idtp,h120_idtp_delta,h120_idtp_delta_norm,h120_future_span_frames,h120_future_density,h300_history_donor_rows,h300_history_receiver_rows,h300_receiver_anchor_count,h300_future_rows,h300_history_donor_matched,h300_history_receiver_matched,h300_future_matched,h300_future_match_rate,h300_future_mean_match_iou,h300_donor_dominant_gt,h300_receiver_dominant_gt,h300_future_dominant_gt,h300_donor_gt_purity,h300_receiver_gt_purity,h300_future_gt_purity,h300_future_gt_entropy,h300_future_unique_gt,h300_history_dominant_same_gt,h300_donor_future_support_rows,h300_receiver_future_support_rows,h300_benefit_rows,h300_harm_rows,h300_row_net,h300_donor_minus_receiver_support_frac,h300_donor_same_pairs,h300_donor_different_pairs,h300_receiver_same_pairs,h300_receiver_different_pairs,h300_pairwise_net_pairs,h300_pairwise_affected_pairs,h300_pairwise_net_norm,h300_baseline_local_idtp,h300_edited_local_idtp,h300_idtp_delta,h300_idtp_delta_norm,h300_future_span_frames,h300_future_density,full_history_donor_rows,full_history_receiver_rows,full_receiver_anchor_count,full_future_rows,full_history_donor_matched,full_history_receiver_matched,full_future_matched,full_future_match_rate,full_future_mean_match_iou,full_donor_dominant_gt,full_receiver_dominant_gt,full_future_dominant_gt,full_donor_gt_purity,full_receiver_gt_purity,full_future_gt_purity,full_future_gt_entropy,full_future_unique_gt,full_history_dominant_same_gt,full_donor_future_support_rows,full_receiver_future_support_rows,full_benefit_rows,full_harm_rows,full_row_net,full_donor_minus_receiver_support_frac,full_donor_same_pairs,full_donor_different_pairs,full_receiver_same_pairs,full_receiver_different_pairs,full_pairwise_net_pairs,full_pairwise_affected_pairs,full_pairwise_net_norm,full_baseline_local_idtp,full_edited_local_idtp,full_idtp_delta,full_idtp_delta_norm,full_future_span_frames,full_future_density
MOT17-02-FRCNN,13,25,30,v_to_u,25,13,1,31,363,1,1,25,13,1,30,30,1,393,1,393,1,30,1,363,363,363,1.0,0.118318719542,0.150649074679,0.689183482516,0.200670695462,0.171577045323,-1.0,-1.0,1,13,0.020909891661,1,"{""13"": 363}",363,1,30,1,30,0,30,30,1.0,0.883575598949,-1,15,15,,1.0,1.0,-0.0,1,0,0,30,0,0,0.0,-1.0,0,0,900,0,-900,900,-1.0,60,30,-30,-0.5,30,1.0,1,30,1,60,0,30,60,1.0,0.864433856871,-1,15,15,,1.0,1.0,-0.0,1,0,0,60,0,0,0.0,-1.0,0,0,1800,0,-1800,1800,-1.0,90,60,-30,-0.333333333333,60,1.0,1,30,1,120,0,30,120,1.0,0.865729180957,-1,15,15,,1.0,1.0,-0.0,1,0,0,120,0,0,0.0,-1.0,0,0,3600,0,-3600,3600,-1.0,150,120,-30,-0.2,120,1.0,1,30,1,300,0,30,293,0.976666666667,0.848815177446,-1,15,15,,1.0,0.733788395904,0.622853081957,3,0,0,215,0,0,0.0,-0.733788395904,0,0,6450,2340,-4110,8790,-0.467576791809,245,215,-30,-0.092879256966,300,1.0,1,30,1,363,0,30,354,0.97520661157,0.852064965025,-1,15,15,,1.0,0.607344632768,0.710810818858,3,0,0,215,0,0,0.0,-0.607344632768,0,0,6450,4170,-2280,10620,-0.214689265537,245,215,-30,-0.078125,363,1.0
MOT17-02-FRCNN,21,23,40,v_to_u,23,21,1,41,41,18,18,23,21,1,23,40,4,81,18,78,18,37,1,41,41,41,1.0,1.316019305845,0.059925309199,0.0,0.176793156577,0.091441643045,-1.0,-1.0,2,45,1.357824113107,1,"{""21"": 41}",41,18,30,1,30,17,30,30,1.0,0.84073269201,22,21,21,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,510,900,0,-1410,1410,-1.0,77,47,-30,-0.38961038961,30,1.0,18,37,1,41,17,37,40,0.975609756098,0.837525751889,22,21,21,1.0,1.0,1.0,-0.0,1,0,0,40,0,40,-1.0,-1.0,0,680,1480,0,-2160,2160,-1.0,94,54,-40,-0.425531914894,41,1.0,18,37,1,41,17,37,40,0.975609756098,0.837525751889,22,21,21,1.0,1.0,1.0,-0.0,1,0,0,40,0,40,-1.0,-1.0,0,680,1480,0,-2160,2160,-1.0,94,54,-40,-0.425531914894,41,1.0,18,37,1,41,17,37,40,0.975609756098,0.837525751889,22,21,21,1.0,1.0,1.0,-0.0,1,0,0,40,0,40,-1.0,-1.0,0,680,1480,0,-2160,2160,-1.0,94,54,-40,-0.425531914894,41,1.0,18,37,1,41,17,37,40,0.975609756098,0.837525751889,22,21,21,1.0,1.0,1.0,-0.0,1,0,0,40,0,40,-1.0,-1.0,0,680,1480,0,-2160,2160,-1.0,94,54,-40,-0.425531914894,41,1.0
MOT17-02-FRCNN,20,26,41,v_to_u,26,20,1,42,337,10,10,26,20,1,32,41,1,378,10,378,10,41,1,337,337,337,1.0,0.199270138034,0.069504469033,0.476697786215,0.080443078932,0.090043388668,-1.0,-1.0,3,68,0.114520455498,1,"{""20"": 337}",337,10,30,1,30,1,24,30,1.0,0.835736599392,70,70,39,1.0,1.0,0.666666666667,0.636514168295,2,1,10,10,0,0,0.0,0.0,10,20,240,480,230,750,0.306666666667,34,44,10,0.181818181818,30,1.0,10,41,1,60,1,35,60,1.0,0.875163650485,70,70,39,1.0,1.0,0.833333333333,0.450561208866,2,1,10,10,0,0,0.0,0.0,10,50,350,1750,1360,2160,0.62962962963,51,85,34,0.354166666667,60,1.0,10,41,1,120,1,35,120,1.0,0.880114601878,70,70,39,1.0,1.0,0.916666666667,0.286835983056,2,1,10,10,0,0,0.0,0.0,10,110,350,3850,3400,4320,0.787037037037,111,145,34,0.217948717949,120,1.0,10,41,1,300,1,35,295,0.983333333333,0.879227460813,70,70,39,1.0,1.0,0.966101694915,0.148042246826,2,1,10,10,0,0,0.0,0.0,10,285,350,9975,9350,10620,0.880414312618,286,320,34,0.102719033233,300,1.0,10,41,1,337,1,35,330,0.979228486647,0.88337276819,70,70,39,1.0,1.0,0.969696969697,0.135793958752,2,1,10,10,0,0,0.0,0.0,10,320,350,11200,10540,11880,0.887205387205,321,355,34,0.092896174863,337,1.0
MOT17-02-FRCNN,5,11,46,v_to_u,11,5,1,47,13,46,46,11,5,1,1,46,1,59,46,59,46,46,1,13,13,13,1.0,0.36915934721,0.125770909913,0.251172174144,0.47782798342,0.138373793234,-1.0,-1.0,4,77,0.399429208818,1,"{""5"": 13}",13,30,30,1,13,27,30,10,0.769230769231,0.865149364945,8,2,2,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,270,300,0,-570,570,-1.0,67,57,-10,-0.149253731343,13,1.0,46,46,1,13,43,46,10,0.769230769231,0.865149364945,8,2,2,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,430,460,0,-890,890,-1.0,99,89,-10,-0.10101010101,13,1.0,46,46,1,13,43,46,10,0.769230769231,0.865149364945,8,2,2,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,430,460,0,-890,890,-1.0,99,89,-10,-0.10101010101,13,1.0,46,46,1,13,43,46,10,0.769230769231,0.865149364945,8,2,2,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,430,460,0,-890,890,-1.0,99,89,-10,-0.10101010101,13,1.0,46,46,1,13,43,46,10,0.769230769231,0.865149364945,8,2,2,1.0,1.0,1.0,-0.0,1,0,0,10,0,10,-1.0,-1.0,0,430,460,0,-890,890,-1.0,99,89,-10,-0.10101010101,13,1.0
MOT17-02-FRCNN,10,29,59,u_to_v,10,29,1,60,95,8,8,10,29,1,1,59,52,154,59,103,59,8,1,95,95,95,1.0,0.577466467477,0.388353321269,0.135232138662,0.244482103566,0.293449064575,-1.0,-1.0,5,145,0.694539879943,1,"{""29"": 95}",95,30,8,1,30,30,8,30,1.0,0.784341766216,26,59,59,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,900,240,0,-1140,1140,-1.0,68,38,-30,-0.441176470588,30,1.0,59,8,1,60,59,8,50,0.833333333333,0.78782219745,26,59,59,1.0,1.0,1.0,-0.0,1,0,0,50,0,50,-1.0,-1.0,0,2950,400,0,-3350,3350,-1.0,117,67,-50,-0.42735042735,60,1.0,59,8,1,95,59,8,82,0.863157894737,0.757452335726,26,59,59,1.0,1.0,0.609756097561,0.668857062374,2,0,0,50,0,50,-0.609756097561,-0.609756097561,0,4838,400,256,-4982,5494,-0.906807426283,117,67,-50,-0.335570469799,95,1.0,59,8,1,95,59,8,82,0.863157894737,0.757452335726,26,59,59,1.0,1.0,0.609756097561,0.668857062374,2,0,0,50,0,50,-0.609756097561,-0.609756097561,0,4838,400,256,-4982,5494,-0.906807426283,117,67,-50,-0.335570469799,95,1.0,59,8,1,95,59,8,82,0.863157894737,0.757452335726,26,59,59,1.0,1.0,0.609756097561,0.668857062374,2,0,0,50,0,50,-0.609756097561,-0.609756097561,0,4838,400,256,-4982,5494,-0.906807426283,117,67,-50,-0.335570469799,95,1.0
MOT17-02-FRCNN,24,30,61,v_to_u,30,24,1,62,539,1,1,30,24,1,61,61,30,600,1,571,1,32,1,539,539,539,1.0,0.198775367942,0.020887740093,0.459569697068,0.065033746529,0.138730758523,-1.0,-1.0,6,164,0.109481329204,1,"{""24"": 539}",539,1,30,1,30,0,30,30,1.0,0.872449087698,-1,27,27,,1.0,1.0,-0.0,1,0,0,30,0,0,0.0,-1.0,0,0,900,0,-900,900,-1.0,60,30,-30,-0.5,30,1.0,1,32,1,60,0,31,60,1.0,0.842008178903,-1,27,27,,1.0,0.983333333333,0.084766075715,2,0,0,59,0,0,0.0,-0.983333333333,0,0,1829,31,-1798,1860,-0.966666666667,90,59,-31,-0.340659340659,60,1.0,1,32,1,120,0,31,120,1.0,0.867500760475,-1,27,27,,1.0,0.991666666667,0.04819427878,2,0,0,119,0,0,0.0,-0.991666666667,0,0,3689,31,-3658,3720,-0.983333333333,150,119,-31,-0.205298013245,120,1.0,1,32,1,300,0,31,300,1.0,0.894257839184,-1,27,27,,1.0,0.996666666667,0.022340379843,2,0,0,299,0,0,0.0,-0.996666666667,0,0,9269,31,-9238,9300,-0.993333333333,330,299,-31,-0.093655589124,300,1.0,1,32,1,539,0,31,538,0.99814471243,0.874355214989,-1,27,27,,1.0,0.743494423792,0.607203933949,4,0,0,400,0,0,0.0,-0.743494423792,0,0,12400,4278,-8122,16678,-0.486988847584,431,400,-31,-0.054481546573,539,1.0
MOT17-02-FRCNN,27,28,64,v_to_u,28,27,1,65,207,17,17,28,27,1,48,64,41,271,17,231,17,24,1,207,207,207,1.0,0.144099013714,0.041813676426,0.658513284236,0.045620589408,0.050758758564,-1.0,-1.0,7,187,-0.000437953441,1,"{""27"": 207}",207,17,24,1,30,14,24,18,0.6,0.675649910615,61,57,57,1.0,1.0,1.0,-0.0,1,0,0,18,0,18,-1.0,-1.0,0,252,432,0,-684,684,-1.0,56,38,-18,-0.321428571429,30,1.0,17,24,1,60,14,24,46,0.766666666667,0.701774682355,61,57,57,1.0,1.0,0.782608695652,0.523586337481,2,0,10,36,10,36,-0.565217391304,-0.565217391304,140,504,864,240,-988,1748,-0.565217391304,74,48,-26,-0.309523809524,60,1.0,17,24,1,120,14,24,106,0.883333333333,0.755218913474,61,57,57,1.0,1.0,0.783018867925,0.523060439268,2,0,23,83,23,83,-0.566037735849,-0.566037735849,322,1162,1992,552,-2280,4028,-0.566037735849,121,83,-38,-0.263888888889,120,1.0,17,24,1,207,14,24,191,0.92270531401,0.752931720683,61,57,57,1.0,1.0,0.874345549738,0.378041707618,2,0,24,167,24,167,-0.748691099476,-0.748691099476,336,2338,4008,576,-5434,7258,-0.748691099476,205,167,-38,-0.165938864629,207,1.0,17,24,1,207,14,24,191,0.92270531401,0.752931720683,61,57,57,1.0,1.0,0.874345549738,0.378041707618,2,0,24,167,24,167,-0.748691099476,-0.748691099476,336,2338,4008,576,-5434,7258,-0.748691099476,205,167,-38,-0.165938864629,207,1.0
MOT17-02-FRCNN,18,36,78,u_to_v,18,36,1,79,331,3,3,18,36,1,1,78,76,409,78,334,78,3,1,331,331,331,1.0,0.299349627349,0.150347263791,0.318827845814,0.199191405252,0.146540764769,-1.0,-1.0,8,217,0.291802698845,1,"{""36"": 331}",331,30,3,1,30,23,3,30,1.0,0.901218044529,36,36,36,1.0,1.0,1.0,-0.0,1,1,30,30,0,0,0.0,0.0,690,0,90,0,600,780,0.769230769231,33,53,20,0.357142857143,30,1.0,60,3,1,60,53,3,60,1.0,0.88532755766,36,36,36,1.0,1.0,1.0,-0.0,1,1,60,60,0,0,0.0,0.0,3180,0,180,0,3000,3360,0.892857142857,63,113,50,0.431034482759,60,1.0,78,3,1,120,71,3,120,1.0,0.896901907931,36,36,36,1.0,1.0,1.0,-0.0,1,1,120,120,0,0,0.0,0.0,8520,0,360,0,8160,8880,0.918918918919,123,191,68,0.350515463918,120,1.0,78,3,1,300,71,3,300,1.0,0.907078629943,36,36,36,1.0,1.0,1.0,-0.0,1,1,300,300,0,0,0.0,0.0,21300,0,900,0,20400,22200,0.918918918919,303,371,68,0.181818181818,300,1.0,78,3,1,331,71,3,330,0.996978851964,0.903631600285,36,36,36,1.0,1.0,1.0,-0.0,1,1,330,330,0,0,0.0,0.0,23430,0,990,0,22440,24420,0.918918918919,333,401,68,0.168316831683,331,1.0
MOT17-02-FRCNN,31,34,79,v_to_u,34,31,1,80,292,7,7,34,31,1,73,79,63,400,7,309,7,17,1,292,292,321,0.909657320872,0.305250611772,0.257584888286,0.524709434662,0.184870256517,0.183218283801,-1.0,-1.0,9,239,0.27527832921,1,"{""31"": 292}",292,7,17,1,30,0,16,30,1.0,0.889922077621,-1,29,29,,1.0,1.0,-0.0,1,0,0,30,0,0,0.0,-1.0,0,0,480,0,-480,480,-1.0,46,30,-16,-0.347826086957,30,1.0,7,17,1,60,0,16,60,1.0,0.882217617053,-1,29,29,,1.0,1.0,-0.0,1,0,0,60,0,0,0.0,-1.0,0,0,960,0,-960,960,-1.0,76,60,-16,-0.210526315789,60,1.0,7,17,1,120,0,16,120,1.0,0.86413772357,-1,29,29,,1.0,1.0,-0.0,1,0,0,120,0,0,0.0,-1.0,0,0,1920,0,-1920,1920,-1.0,136,120,-16,-0.117647058824,120,1.0,7,17,1,271,0,16,270,0.9963099631,0.863501583669,-1,29,29,,1.0,0.57037037037,0.924345707979,4,0,0,154,0,0,0.0,-0.57037037037,0,0,2464,1856,-608,4320,-0.140740740741,170,154,-16,-0.055944055944,300,0.903333333333,7,17,1,292,0,16,285,0.97602739726,0.851666068934,-1,29,29,,1.0,0.540350877193,1.01585410413,5,0,0,154,0,0,0.0,-0.540350877193,0,0,2464,2096,-368,4560,-0.080701754386,170,154,-16,-0.053156146179,321,0.909657320872
MOT17-02-FRCNN,12,21,81,v_to_u,21,12,1,82,141,78,78,21,12,1,4,81,1,222,78,222,78,81,1,141,141,141,1.0,4.843081463029,0.084929828252,0.0,0.343976171331,0.220133053546,-1.0,-1.0,10,252,4.920724842579,1,"{""12"": 141}",141,30,30,1,30,29,30,30,1.0,0.917252865175,21,14,14,1.0,1.0,1.0,-0.0,1,0,0,30,0,30,-1.0,-1.0,0,870,900,0,-1770,1770,-1.0,89,59,-30,-0.337078651685,30,1.0,60,60,1,60,59,60,60,1.0,0.892098877814,21,14,14,1.0,1.0,1.0,-0.0,1,0,0,60,0,60,-1.0,-1.0,0,3540,3600,0,-7140,7140,-1.0,179,119,-60,-0.335195530726,60,1.0,78,81,1,120,77,81,120,1.0,0.883386429651,21,14,14,1.0,1.0,1.0,-0.0,1,0,0,120,0,120,-1.0,-1.0,0,9240,9720,0,-18960,18960,-1.0,278,158,-120,-0.431654676259,120,1.0,78,81,1,141,77,81,141,1.0,0.881319205503,21,14,14,1.0,1.0,1.0,-0.0,1,0,0,141,0,141,-1.0,-1.0,0,10857,11421,0,-22278,22278,-1.0,299,158,-141,-0.471571906355,141,1.0,78,81,1,141,77,81,141,1.0,0.881319205503,21,14,14,1.0,1.0,1.0,-0.0,1,0,0,141,0,141,-1.0,-1.0,0,10857,11421,0,-22278,22278,-1.0,299,158,-141,-0.471571906355,141,1.0
