seq,canonical_rank,u,v,boundary_frame,transaction_type,accepted,changed_rows,effective_start_frame,donor_raw_tid,receiver_raw_tid,donor_anchor,receiver_anchor,reject_reason
MOT17-02-FRCNN,1,13,25,30,v_to_u,1,363,31,25,13,25,13,
MOT17-02-FRCNN,2,21,23,40,v_to_u,1,41,41,23,21,23,21,
MOT17-02-FRCNN,3,20,26,41,v_to_u,1,337,42,26,20,26,20,
MOT17-02-FRCNN,4,5,11,46,v_to_u,1,13,47,11,5,11,5,
MOT17-02-FRCNN,5,10,29,59,u_to_v,1,95,60,10,29,10,29,
MOT17-02-FRCNN,6,24,30,61,v_to_u,1,539,62,30,24,30,24,
MOT17-02-FRCNN,7,27,28,64,v_to_u,1,207,65,28,27,28,27,
MOT17-02-FRCNN,8,18,36,78,u_to_v,1,331,79,18,36,18,36,
MOT17-02-FRCNN,9,31,34,79,v_to_u,1,292,80,34,31,34,31,
MOT17-02-FRCNN,10,12,21,81,v_to_u,1,141,82,21,12,21,12,
MOT17-02-FRCNN,11,19,33,84,v_to_u,1,73,85,33,19,33,19,
MOT17-02-FRCNN,12,19,41,117,v_to_u,1,40,118,41,19,41,19,
MOT17-02-FRCNN,13,17,22,118,u_to_v,1,134,119,17,22,17,22,
MOT17-02-FRCNN,14,36,39,119,v_to_u,1,290,120,39,36,39,36,
MOT17-02-FRCNN,15,24,35,122,v_to_u,1,478,123,35,24,35,24,
MOT17-02-FRCNN,16,7,42,127,v_to_u,1,78,128,42,7,42,7,
MOT17-02-FRCNN,17,27,44,129,v_to_u,1,142,130,44,27,44,27,
MOT17-02-FRCNN,18,16,47,141,v_to_u,1,182,142,47,16,47,16,
MOT17-02-FRCNN,19,32,49,143,v_to_u,1,195,144,49,32,49,32,
MOT17-02-FRCNN,20,46,50,145,v_to_u,1,160,146,50,46,50,46,
MOT17-02-FRCNN,21,9,48,146,u_to_v,1,299,147,9,48,9,48,
MOT17-02-FRCNN,22,22,45,152,v_to_u,1,100,153,45,22,45,22,
MOT17-02-FRCNN,23,15,52,153,v_to_u,1,140,154,52,15,52,15,
MOT17-02-FRCNN,24,27,29,154,v_to_u,1,117,155,29,27,29,27,
MOT17-02-FRCNN,25,29,38,154,u_to_v,1,290,155,29,38,29,38,
