seq,canonical_rank,u,v,boundary_frame,transaction_type,model_mode,training_mode,rank_start,rank_end,prediction,full_idtp_delta_norm,delta_HOTA
MOT20-01,37,20,27,70,v_to_u,multitask,augmented_p17,21,40,0.823761809513,0.320939334638,0.436431
MOT20-01,49,17,28,347,u_to_v,multitask,augmented_p17,41,60,1.528036720759,0.0,0.046867
MOT20-01,61,24,26,218,u_to_v,multitask,augmented_p17,61,80,0.80337711951,-0.234303215926,-0.528063
MOT20-01,85,17,28,343,u_to_v,multitask,augmented_p17,81,100,1.528036720759,0.0,0.046867
MOT20-02,22,223,371,2107,u_to_v,multitask,augmented_p17,21,40,1.063356472763,-0.016903313049,-0.015253
MOT20-02,56,214,246,1536,v_to_u,multitask,augmented_p17,41,60,0.862413474254,0.346153846154,0.05033
MOT20-02,63,347,477,2185,u_to_v,multitask,augmented_p17,61,80,1.173241155935,0.005629838142,0.00436
MOT20-02,93,342,356,1829,v_to_u,multitask,augmented_p17,81,100,1.087482991469,-0.230224321133,-0.095714
MOT20-03,36,251,266,1327,u_to_v,multitask,augmented_p17,21,40,0.568249128605,-0.002,-0.000624
MOT20-03,57,533,643,2081,v_to_u,multitask,augmented_p17,41,60,0.777611865027,-0.145679012346,-0.0052
MOT20-03,80,342,533,1746,u_to_v,multitask,augmented_p17,61,80,0.603421443249,-0.187165775401,-0.04036
MOT20-03,94,131,280,1199,u_to_v,multitask,augmented_p17,81,100,1.063871211394,0.0,-0.0001
MOT20-05,28,525,874,1582,v_to_u,multitask,augmented_p17,21,40,1.005094941409,0.028806584362,0.005942
MOT20-05,48,489,806,1198,v_to_u,multitask,augmented_p17,41,60,1.615344197082,-0.175693527081,-0.010598
MOT20-05,62,3,494,1013,v_to_u,multitask,augmented_p17,61,80,0.85212413157,-0.005214600882,-0.002614
MOT20-05,88,63,90,2458,u_to_v,multitask,augmented_p17,81,100,1.149408182339,-0.000151217299,-8.4e-05
MOT20-01,37,20,27,70,v_to_u,multitask,p15_only,21,40,0.924547542691,0.320939334638,0.436431
MOT20-01,49,17,28,347,u_to_v,multitask,p15_only,41,60,1.254783515318,0.0,0.046867
MOT20-01,61,24,26,218,u_to_v,multitask,p15_only,61,80,0.431645500492,-0.234303215926,-0.528063
MOT20-01,85,17,28,343,u_to_v,multitask,p15_only,81,100,1.254783515318,0.0,0.046867
MOT20-02,22,223,371,2107,u_to_v,multitask,p15_only,21,40,1.176946916681,-0.016903313049,-0.015253
MOT20-02,49,180,232,1409,v_to_u,multitask,p15_only,41,60,0.99366043342,0.0,0.000196
MOT20-02,62,223,371,2236,u_to_v,multitask,p15_only,61,80,1.176946916681,-0.016903313049,-0.015253
MOT20-02,99,413,431,2438,u_to_v,multitask,p15_only,81,100,1.244495868555,-0.009252120278,-0.01027
MOT20-03,21,295,328,1941,u_to_v,multitask,p15_only,21,40,0.839795100302,0.0,-1.6e-05
MOT20-03,50,399,435,1989,v_to_u,multitask,p15_only,41,60,1.03952576395,-0.146394756009,-0.06296
MOT20-03,79,270,276,1104,v_to_u,multitask,p15_only,61,80,0.9170814448,0.0,-0.00154
MOT20-03,84,399,402,2189,v_to_u,multitask,p15_only,81,100,0.781293696994,0.0,-0.0015
MOT20-05,28,525,874,1582,v_to_u,multitask,p15_only,21,40,1.329783564109,0.028806584362,0.005942
MOT20-05,48,489,806,1198,v_to_u,multitask,p15_only,41,60,1.067887636656,-0.175693527081,-0.010598
MOT20-05,78,337,384,781,v_to_u,multitask,p15_only,61,80,0.354182171382,-0.024514811032,-0.00301
MOT20-05,89,137,142,158,u_to_v,multitask,p15_only,81,100,1.191090493972,-0.062279670975,-0.00242
MOT20-01,21,17,29,141,v_to_u,raw,augmented_p17,21,40,-0.06766259206,0.011940298507,0.040357
MOT20-01,49,17,28,347,u_to_v,raw,augmented_p17,41,60,0.01963820774,0.0,0.046867
MOT20-01,74,17,29,181,v_to_u,raw,augmented_p17,61,80,-0.06766259206,0.011940298507,0.040357
MOT20-01,85,17,28,343,u_to_v,raw,augmented_p17,81,100,0.01963820774,0.0,0.046867
MOT20-02,31,129,130,1047,v_to_u,raw,augmented_p17,21,40,-0.057577873948,0.002994011976,0.00325
MOT20-02,49,180,232,1409,v_to_u,raw,augmented_p17,41,60,-0.062794662342,0.0,0.000196
MOT20-02,80,413,531,2556,v_to_u,raw,augmented_p17,61,80,-0.058532992682,-0.145114942529,-0.04826
MOT20-02,93,342,356,1829,v_to_u,raw,augmented_p17,81,100,-0.039529526385,-0.230224321133,-0.095714
MOT20-03,27,355,403,2122,v_to_u,raw,augmented_p17,21,40,-0.079719841014,0.001216545012,5.5e-05
MOT20-03,43,777,779,2374,u_to_v,raw,augmented_p17,41,60,-0.066740328094,-0.05303030303,-0.00095
MOT20-03,76,415,417,2297,v_to_u,raw,augmented_p17,61,80,-0.076397171553,0.0,0.00034
MOT20-03,94,131,280,1199,u_to_v,raw,augmented_p17,81,100,-0.06675517821,0.0,-0.0001
MOT20-05,28,525,874,1582,v_to_u,raw,augmented_p17,21,40,-0.03063651622,0.028806584362,0.005942
MOT20-05,48,489,806,1198,v_to_u,raw,augmented_p17,41,60,0.054380226356,-0.175693527081,-0.010598
MOT20-05,78,337,384,781,v_to_u,raw,augmented_p17,61,80,-0.06702103722,-0.024514811032,-0.00301
MOT20-05,100,1367,1376,3017,v_to_u,raw,augmented_p17,81,100,-0.045486159339,-0.002506265664,-0.000314
MOT20-01,39,5,16,292,v_to_u,raw,p15_only,21,40,0.026490404874,0.0,-0.015819
MOT20-01,49,17,28,347,u_to_v,raw,p15_only,41,60,0.033923432334,0.0,0.046867
MOT20-01,66,24,57,213,v_to_u,raw,p15_only,61,80,-0.016490068352,-0.151291512915,-0.076203
MOT20-01,85,17,28,343,u_to_v,raw,p15_only,81,100,0.033923432334,0.0,0.046867
MOT20-02,31,129,130,1047,v_to_u,raw,p15_only,21,40,0.002815238853,0.002994011976,0.00325
MOT20-02,56,214,246,1536,v_to_u,raw,p15_only,41,60,-0.009581487291,0.346153846154,0.05033
MOT20-02,62,223,371,2236,u_to_v,raw,p15_only,61,80,-0.0058382413,-0.016903313049,-0.015253
MOT20-02,93,342,356,1829,v_to_u,raw,p15_only,81,100,-0.000579857502,-0.230224321133,-0.095714
MOT20-03,21,295,328,1941,u_to_v,raw,p15_only,21,40,-0.000274671453,0.0,-1.6e-05
MOT20-03,50,399,435,1989,v_to_u,raw,p15_only,41,60,0.028485389181,-0.146394756009,-0.06296
MOT20-03,80,342,533,1746,u_to_v,raw,p15_only,61,80,0.025856352303,-0.187165775401,-0.04036
MOT20-03,84,399,402,2189,v_to_u,raw,p15_only,81,100,-0.007682528349,0.0,-0.0015
MOT20-05,28,525,874,1582,v_to_u,raw,p15_only,21,40,0.091925585587,0.028806584362,0.005942
MOT20-05,58,142,346,307,v_to_u,raw,p15_only,41,60,0.125226431494,0.034782608696,-0.005329
MOT20-05,62,3,494,1013,v_to_u,raw,p15_only,61,80,-0.019616969553,-0.005214600882,-0.002614
MOT20-05,95,225,263,1216,v_to_u,raw,p15_only,81,100,0.118575462831,0.0,0.017851
