seq,canonical_rank,u,v,boundary_frame,transaction_type,model_mode,temporal_block,prediction,full_idtp_delta_norm
MOT17-02-FRCNN,18,16,47,141,v_to_u,multitask,0,1.597538147361,-0.449044585987
MOT17-02-FRCNN,74,14,76,353,v_to_u,multitask,1,1.72234503957,0.008928571429
MOT17-02-FRCNN,83,57,109,389,v_to_u,multitask,2,1.258174118804,0.099567099567
MOT17-02-FRCNN,155,112,157,577,v_to_u,multitask,3,1.726984837371,0.0
MOT17-04-FRCNN,6,39,40,84,u_to_v,multitask,0,0.690680016124,0.0
MOT17-04-FRCNN,17,33,36,521,u_to_v,multitask,1,0.320163875146,-0.332908975175
MOT17-04-FRCNN,22,21,24,581,v_to_u,multitask,2,0.329275861477,-0.239730226855
MOT17-04-FRCNN,38,12,88,977,v_to_u,multitask,3,0.410781755026,-0.069523809524
MOT17-05-FRCNN,38,18,41,243,v_to_u,multitask,0,1.419089728256,-0.036184210526
MOT17-05-FRCNN,54,59,66,282,v_to_u,multitask,1,1.697518461761,0.216216216216
MOT17-05-FRCNN,111,118,123,619,v_to_u,multitask,2,1.127304587531,-0.003194888179
MOT17-05-FRCNN,152,176,180,817,v_to_u,multitask,3,1.351507589406,-0.333333333333
MOT17-09-FRCNN,10,21,22,216,u_to_v,multitask,0,2.253038876996,0.0
MOT17-09-FRCNN,18,20,28,277,v_to_u,multitask,1,1.530412510553,-0.246200607903
MOT17-09-FRCNN,32,4,18,401,v_to_u,multitask,2,1.287811233877,0.053981106613
MOT17-09-FRCNN,40,20,23,487,v_to_u,multitask,3,0.639408697912,-0.064080944351
MOT17-10-FRCNN,3,12,17,27,v_to_u,multitask,0,1.677430659806,-0.438356164384
MOT17-10-FRCNN,33,2,46,176,v_to_u,multitask,1,1.863152783091,-0.280507131537
MOT17-10-FRCNN,68,60,72,425,v_to_u,multitask,2,1.075535039118,0.381720430108
MOT17-10-FRCNN,93,84,86,616,v_to_u,multitask,3,1.498359833752,-0.246575342466
MOT17-11-FRCNN,9,7,24,93,v_to_u,multitask,0,1.264390533299,-0.349442379182
MOT17-11-FRCNN,34,31,45,513,u_to_v,multitask,1,1.403870556315,0.452282157676
MOT17-11-FRCNN,47,1,57,712,v_to_u,multitask,2,0.859588582115,-0.011111111111
MOT17-11-FRCNN,58,56,60,763,v_to_u,multitask,3,1.227435638616,-0.438502673797
MOT17-13-FRCNN,11,27,33,58,v_to_u,multitask,0,2.407975182542,-0.178571428571
MOT17-13-FRCNN,54,38,71,217,v_to_u,multitask,1,2.562504930515,0.357429718876
MOT17-13-FRCNN,94,101,105,382,v_to_u,multitask,2,2.481463948376,-0.111940298507
MOT17-13-FRCNN,97,70,85,418,u_to_v,multitask,3,1.603216013558,-0.027027027027
MOT17-02-FRCNN,4,5,11,46,v_to_u,raw,0,-0.079542856262,-0.10101010101
MOT17-02-FRCNN,74,14,76,353,v_to_u,raw,1,-0.07233170214,0.008928571429
MOT17-02-FRCNN,112,119,121,447,v_to_u,raw,2,-0.060373268735,-0.018867924528
MOT17-02-FRCNN,158,1,120,578,u_to_v,raw,3,-0.083224844069,-0.011477761836
MOT17-04-FRCNN,6,39,40,84,u_to_v,raw,0,-0.067875669122,0.0
MOT17-04-FRCNN,17,33,36,521,u_to_v,raw,1,-0.104463784129,-0.332908975175
MOT17-04-FRCNN,22,21,24,581,v_to_u,raw,2,-0.083793856571,-0.239730226855
MOT17-04-FRCNN,38,12,88,977,v_to_u,raw,3,-0.078023979375,-0.069523809524
MOT17-05-FRCNN,38,18,41,243,v_to_u,raw,0,0.023503512513,-0.036184210526
MOT17-05-FRCNN,54,59,66,282,v_to_u,raw,1,-0.034152950547,0.216216216216
MOT17-05-FRCNN,111,118,123,619,v_to_u,raw,2,-0.046474757991,-0.003194888179
MOT17-05-FRCNN,152,176,180,817,v_to_u,raw,3,-0.048037114872,-0.333333333333
MOT17-09-FRCNN,5,2,3,119,v_to_u,raw,0,0.051921935145,-0.4604743083
MOT17-09-FRCNN,15,6,16,250,u_to_v,raw,1,0.060517478671,-0.178997613365
MOT17-09-FRCNN,24,20,22,349,v_to_u,raw,2,-0.047920553877,-0.359307359307
MOT17-09-FRCNN,45,34,44,512,v_to_u,raw,3,-0.077591647863,-0.077844311377
MOT17-10-FRCNN,15,23,27,71,v_to_u,raw,0,0.062244678179,-0.225
MOT17-10-FRCNN,33,2,46,176,v_to_u,raw,1,-0.01300269951,-0.280507131537
MOT17-10-FRCNN,68,60,72,425,v_to_u,raw,2,-0.020573660123,0.381720430108
MOT17-10-FRCNN,93,84,86,616,v_to_u,raw,3,-0.015134400299,-0.246575342466
MOT17-11-FRCNN,9,7,24,93,v_to_u,raw,0,0.000859315901,-0.349442379182
MOT17-11-FRCNN,34,31,45,513,u_to_v,raw,1,0.010658941152,0.452282157676
MOT17-11-FRCNN,47,1,57,712,v_to_u,raw,2,-0.06951411568,-0.011111111111
MOT17-11-FRCNN,58,56,60,763,v_to_u,raw,3,-0.01798643074,-0.438502673797
MOT17-13-FRCNN,11,27,33,58,v_to_u,raw,0,0.064248201643,-0.178571428571
MOT17-13-FRCNN,54,38,71,217,v_to_u,raw,1,0.028858810741,0.357429718876
MOT17-13-FRCNN,94,101,105,382,v_to_u,raw,2,0.081000790689,-0.111940298507
MOT17-13-FRCNN,117,112,113,518,u_to_v,raw,3,-0.08708621241,-0.012820512821
