seq,canonical_rank,u,v,boundary_frame,transaction_type,temporal_block,meta_score,threshold,inner_authorized,selected,full_idtp_delta_norm
MOT17-02-FRCNN,18,16,47,141,v_to_u,0,0.910299241615,1.0,0,0,-0.449044585987
MOT17-02-FRCNN,74,14,76,353,v_to_u,1,0.8694257648,1.0,0,0,0.008928571429
MOT17-02-FRCNN,83,57,109,389,v_to_u,2,0.752699136575,1.0,0,0,0.099567099567
MOT17-02-FRCNN,155,112,157,577,v_to_u,3,0.894433996803,1.0,0,0,0.0
MOT17-04-FRCNN,1,21,30,28,v_to_u,0,0.651566046688,1.0,0,0,-0.051948051948
MOT17-04-FRCNN,17,33,36,521,u_to_v,1,0.595601725221,1.0,0,0,-0.332908975175
MOT17-04-FRCNN,22,21,24,581,v_to_u,2,0.611351759448,1.0,0,0,-0.239730226855
MOT17-04-FRCNN,38,12,88,977,v_to_u,3,0.480493288402,1.0,0,0,-0.069523809524
MOT17-05-FRCNN,16,4,5,43,v_to_u,0,0.869732983294,1.0,0,0,-0.102272727273
MOT17-05-FRCNN,56,18,67,283,v_to_u,1,0.854483886041,1.0,0,0,0.106312292359
MOT17-05-FRCNN,109,118,124,597,v_to_u,2,0.772195173923,1.0,0,0,0.191780821918
MOT17-05-FRCNN,152,176,180,817,v_to_u,3,0.766335106944,1.0,0,0,-0.333333333333
MOT17-09-FRCNN,10,21,22,216,u_to_v,0,0.715912729737,1.0,0,0,0.0
MOT17-09-FRCNN,18,20,28,277,v_to_u,1,0.464143413407,1.0,0,0,-0.246200607903
MOT17-09-FRCNN,32,4,18,401,v_to_u,2,0.338826865867,1.0,0,0,0.053981106613
MOT17-09-FRCNN,46,39,46,524,v_to_u,3,0.1279660439,1.0,0,0,-0.011764705882
MOT17-10-FRCNN,2,5,18,24,v_to_u,0,0.711064784764,1.0,0,0,-0.376623376623
MOT17-10-FRCNN,28,15,39,139,v_to_u,1,0.801105893872,1.0,0,0,-0.315363881402
MOT17-10-FRCNN,67,54,63,423,v_to_u,2,0.648338693483,1.0,0,0,-0.12676056338
MOT17-10-FRCNN,93,84,86,616,v_to_u,3,0.556165709153,1.0,0,0,-0.246575342466
MOT17-11-FRCNN,5,10,18,25,u_to_v,0,0.871290019265,1.0,0,0,-0.254098360656
MOT17-11-FRCNN,30,38,40,351,v_to_u,1,0.657559587217,1.0,0,0,-0.141935483871
MOT17-11-FRCNN,45,6,48,690,u_to_v,2,0.557429780982,1.0,0,0,-0.102249488753
MOT17-11-FRCNN,58,56,60,763,v_to_u,3,0.461169054985,1.0,0,0,-0.438502673797
MOT17-13-FRCNN,13,34,39,64,v_to_u,0,0.936490522076,1.0,0,0,0.152542372881
MOT17-13-FRCNN,59,38,40,232,v_to_u,1,0.95322742923,1.0,0,0,0.0
MOT17-13-FRCNN,95,13,81,400,u_to_v,2,0.987055229805,1.0,0,0,-0.087478559177
MOT17-13-FRCNN,121,118,121,586,u_to_v,3,0.897446246983,1.0,0,0,-0.328671328671
