seq,temporal_block,events,positive_events,negative_events,zero_events,oracle_max_utility,oracle_event_rank
MOT17-02-FRCNN,0,982,77,866,39,0.486842105263,232
MOT17-02-FRCNN,1,981,164,780,37,0.40830449827,1062
MOT17-02-FRCNN,2,981,185,724,72,0.460377358491,2941
MOT17-02-FRCNN,3,981,156,749,76,0.477443609023,3025
MOT17-04-FRCNN,0,445,0,441,4,0.0,158
MOT17-04-FRCNN,1,444,0,442,2,0.0,639
MOT17-04-FRCNN,2,444,0,439,5,0.0,1079
MOT17-04-FRCNN,3,444,5,436,3,0.286057692308,1571
MOT17-05-FRCNN,0,357,27,309,21,0.324427480916,134
MOT17-05-FRCNN,1,356,34,301,21,0.357142857143,437
MOT17-05-FRCNN,2,356,27,317,12,0.239583333333,872
MOT17-05-FRCNN,3,356,17,309,30,0.257142857143,1161
MOT17-09-FRCNN,0,91,8,82,1,0.204502814259,89
MOT17-09-FRCNN,1,91,12,77,2,0.243119266055,165
MOT17-09-FRCNN,2,91,8,71,12,0.15969581749,230
MOT17-09-FRCNN,3,90,11,66,13,0.252631578947,284
MOT17-10-FRCNN,0,330,14,307,9,0.178082191781,211
MOT17-10-FRCNN,1,329,14,314,1,0.323076923077,576
MOT17-10-FRCNN,2,330,23,295,12,0.367346938776,877
MOT17-10-FRCNN,3,329,19,305,5,0.408602150538,1022
MOT17-11-FRCNN,0,176,0,169,7,0.0,15
MOT17-11-FRCNN,1,176,0,175,1,0.0,329
MOT17-11-FRCNN,2,176,5,165,6,0.452282157676,410
MOT17-11-FRCNN,3,176,3,171,2,0.194915254237,539
MOT17-13-FRCNN,0,549,55,485,9,0.361111111111,281
MOT17-13-FRCNN,1,548,58,464,26,0.373333333333,963
MOT17-13-FRCNN,2,548,125,364,59,0.469512195122,1101
MOT17-13-FRCNN,3,548,3,524,21,0.086757990868,1841
