seq,canonical_rank,u,v,boundary_frame,transaction_type,model_name,temporal_block,prediction,full_idtp_delta_norm
MOT17-02-FRCNN,898,27,66,221,v_to_u,geometry_positive,0,0.861491128703,-0.226851851852
MOT17-02-FRCNN,1115,22,72,239,v_to_u,geometry_positive,1,0.860921911672,-0.055555555556
MOT17-02-FRCNN,2449,57,113,411,v_to_u,geometry_positive,2,0.856621342867,0.030303030303
MOT17-02-FRCNN,3536,82,151,554,v_to_u,geometry_positive,3,0.831756322659,-0.016736401674
MOT17-04-FRCNN,290,10,47,158,v_to_u,geometry_positive,0,0.684052867067,-0.354243542435
MOT17-04-FRCNN,721,33,36,521,u_to_v,geometry_positive,1,0.485268184508,-0.332908975175
MOT17-04-FRCNN,945,21,24,581,v_to_u,geometry_positive,2,0.478893289356,-0.239730226855
MOT17-04-FRCNN,1711,66,88,977,v_to_u,geometry_positive,3,0.903350217123,-0.139579349904
MOT17-05-FRCNN,243,18,39,236,v_to_u,geometry_positive,0,0.779399142594,-0.049833887043
MOT17-05-FRCNN,459,18,67,283,v_to_u,geometry_positive,1,0.802463182338,0.106312292359
MOT17-05-FRCNN,839,103,112,517,v_to_u,geometry_positive,2,0.78905375916,-0.248081841432
MOT17-05-FRCNN,1115,118,153,743,v_to_u,geometry_positive,3,0.772266710735,-0.328571428571
MOT17-09-FRCNN,23,2,11,110,v_to_u,geometry_positive,0,0.843219161294,-0.280612244898
MOT17-09-FRCNN,166,20,28,277,v_to_u,geometry_positive,1,0.857487388521,-0.246200607903
MOT17-09-FRCNN,234,20,35,366,v_to_u,geometry_positive,2,0.841201479054,-0.481818181818
MOT17-09-FRCNN,329,20,43,504,v_to_u,geometry_positive,3,0.862608962367,-0.063829787234
MOT17-10-FRCNN,16,16,20,17,v_to_u,geometry_positive,0,0.80218548032,0.058419243986
MOT17-10-FRCNN,568,29,51,229,v_to_u,geometry_positive,1,0.841955564722,-0.373770491803
MOT17-10-FRCNN,871,31,67,390,v_to_u,geometry_positive,2,0.854629124374,-0.304347826087
MOT17-10-FRCNN,1014,49,74,449,v_to_u,geometry_positive,3,0.848073599571,-0.460674157303
MOT17-11-FRCNN,130,8,24,93,v_to_u,geometry_positive,0,0.774282040325,-0.328671328671
MOT17-11-FRCNN,344,31,35,336,v_to_u,geometry_positive,1,0.735300313691,-0.463878326996
MOT17-11-FRCNN,493,45,57,712,v_to_u,geometry_positive,2,0.802107664607,-0.075098814229
MOT17-11-FRCNN,535,48,62,742,v_to_u,geometry_positive,3,0.834255785235,-0.160535117057
MOT17-13-FRCNN,34,15,23,7,v_to_u,geometry_positive,0,0.770998683529,-0.036036036036
MOT17-13-FRCNN,627,13,58,122,v_to_u,geometry_positive,1,0.729848569625,-0.308080808081
MOT17-13-FRCNN,1556,70,88,293,v_to_u,geometry_positive,2,0.794437810148,0.383561643836
