seq,u,v,boundary_frame,transaction_type,donor_raw_tid,receiver_raw_tid,accepted,reject_reason,effective_start_frame,changed_rows,pair_common_frames,pair_common_span,canonical_rank,selected_for_teacher
MOT17-02-FRCNN,1,25,30,u_to_v,1,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,1,25,30,v_to_u,25,1,1,,31.0,529,1,1,1,1
MOT17-02-FRCNN,2,25,30,u_to_v,2,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,2,25,30,v_to_u,25,2,1,,31.0,195,1,1,2,1
MOT17-02-FRCNN,3,25,30,u_to_v,3,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,3,25,30,v_to_u,25,3,1,,31.0,415,1,1,3,1
MOT17-02-FRCNN,4,25,30,u_to_v,4,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,4,25,30,v_to_u,25,4,1,,31.0,301,1,1,4,1
MOT17-02-FRCNN,5,25,30,u_to_v,5,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,5,25,30,v_to_u,25,5,1,,31.0,29,1,1,5,1
MOT17-02-FRCNN,6,25,30,u_to_v,6,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,6,25,30,v_to_u,25,6,1,,31.0,381,1,1,6,1
MOT17-02-FRCNN,7,25,30,u_to_v,7,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,7,25,30,v_to_u,25,7,1,,31.0,175,1,1,7,1
MOT17-02-FRCNN,8,25,30,u_to_v,8,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,8,25,30,v_to_u,25,8,1,,31.0,299,1,1,8,1
MOT17-02-FRCNN,9,25,30,u_to_v,9,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,9,25,30,v_to_u,25,9,1,,31.0,116,1,1,9,1
MOT17-02-FRCNN,10,25,30,u_to_v,10,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,10,25,30,v_to_u,25,10,1,,31.0,29,1,1,10,1
MOT17-02-FRCNN,11,25,30,u_to_v,11,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,11,25,30,v_to_u,25,11,1,,31.0,16,1,1,11,1
MOT17-02-FRCNN,12,25,30,u_to_v,12,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,12,25,30,v_to_u,25,12,1,,31.0,192,1,1,12,1
MOT17-02-FRCNN,13,25,30,u_to_v,13,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,13,25,30,v_to_u,25,13,1,,31.0,363,1,1,13,1
MOT17-02-FRCNN,14,25,30,u_to_v,14,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,14,25,30,v_to_u,25,14,1,,31.0,330,1,1,14,1
MOT17-02-FRCNN,15,25,30,u_to_v,15,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,15,25,30,v_to_u,25,15,1,,31.0,263,1,1,15,1
MOT17-02-FRCNN,16,25,30,u_to_v,16,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,16,25,30,v_to_u,25,16,1,,31.0,293,1,1,16,1
MOT17-02-FRCNN,17,25,30,u_to_v,17,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,17,25,30,v_to_u,25,17,1,,31.0,88,1,1,17,1
MOT17-02-FRCNN,18,25,30,u_to_v,18,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,18,25,30,v_to_u,25,18,1,,31.0,48,1,1,18,1
MOT17-02-FRCNN,19,25,30,u_to_v,19,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,19,25,30,v_to_u,25,19,1,,31.0,104,1,1,19,1
MOT17-02-FRCNN,20,25,30,u_to_v,20,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,20,25,30,v_to_u,25,20,1,,31.0,348,1,1,20,1
MOT17-02-FRCNN,21,25,30,u_to_v,21,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,21,25,30,v_to_u,25,21,1,,31.0,51,1,1,21,1
MOT17-02-FRCNN,22,25,30,u_to_v,22,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,22,25,30,v_to_u,25,22,1,,31.0,222,1,1,22,1
MOT17-02-FRCNN,23,25,30,u_to_v,23,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,23,25,30,v_to_u,25,23,1,,31.0,10,1,1,23,1
MOT17-02-FRCNN,24,25,30,u_to_v,24,25,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,24,25,30,v_to_u,25,24,1,,31.0,570,1,1,24,1
MOT17-02-FRCNN,1,23,40,u_to_v,1,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,1,23,40,v_to_u,23,1,1,,41.0,519,18,18,25,1
MOT17-02-FRCNN,2,23,40,u_to_v,2,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,2,23,40,v_to_u,23,2,1,,41.0,185,18,18,26,1
MOT17-02-FRCNN,3,23,40,u_to_v,3,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,3,23,40,v_to_u,23,3,1,,41.0,405,18,18,27,1
MOT17-02-FRCNN,4,23,40,u_to_v,4,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,4,23,40,v_to_u,23,4,1,,41.0,291,18,18,28,1
MOT17-02-FRCNN,5,23,40,u_to_v,5,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
