seq,canonical_rank,u,v,boundary_frame,transaction_type,accepted,changed_rows,effective_start_frame,donor_raw_tid,receiver_raw_tid,donor_anchor,receiver_anchor,reject_reason
MOT17-02-FRCNN,1,1,25,30,v_to_u,1,529,31,25,1,25,1,
MOT17-02-FRCNN,2,2,25,30,v_to_u,1,195,31,25,2,25,2,
MOT17-02-FRCNN,3,3,25,30,v_to_u,1,415,31,25,3,25,3,
MOT17-02-FRCNN,4,4,25,30,v_to_u,1,301,31,25,4,25,4,
MOT17-02-FRCNN,5,5,25,30,v_to_u,1,29,31,25,5,25,5,
MOT17-02-FRCNN,6,6,25,30,v_to_u,1,381,31,25,6,25,6,
MOT17-02-FRCNN,7,7,25,30,v_to_u,1,175,31,25,7,25,7,
MOT17-02-FRCNN,8,8,25,30,v_to_u,1,299,31,25,8,25,8,
MOT17-02-FRCNN,9,9,25,30,v_to_u,1,116,31,25,9,25,9,
MOT17-02-FRCNN,10,10,25,30,v_to_u,1,29,31,25,10,25,10,
MOT17-02-FRCNN,11,11,25,30,v_to_u,1,16,31,25,11,25,11,
MOT17-02-FRCNN,12,12,25,30,v_to_u,1,192,31,25,12,25,12,
MOT17-02-FRCNN,13,13,25,30,v_to_u,1,363,31,25,13,25,13,
MOT17-02-FRCNN,14,14,25,30,v_to_u,1,330,31,25,14,25,14,
MOT17-02-FRCNN,15,15,25,30,v_to_u,1,263,31,25,15,25,15,
MOT17-02-FRCNN,16,16,25,30,v_to_u,1,293,31,25,16,25,16,
MOT17-02-FRCNN,17,17,25,30,v_to_u,1,88,31,25,17,25,17,
MOT17-02-FRCNN,18,18,25,30,v_to_u,1,48,31,25,18,25,18,
MOT17-02-FRCNN,19,19,25,30,v_to_u,1,104,31,25,19,25,19,
MOT17-02-FRCNN,20,20,25,30,v_to_u,1,348,31,25,20,25,20,
MOT17-02-FRCNN,21,21,25,30,v_to_u,1,51,31,25,21,25,21,
MOT17-02-FRCNN,22,22,25,30,v_to_u,1,222,31,25,22,25,22,
MOT17-02-FRCNN,23,23,25,30,v_to_u,1,10,31,25,23,25,23,
MOT17-02-FRCNN,24,24,25,30,v_to_u,1,570,31,25,24,25,24,
MOT17-02-FRCNN,25,1,23,40,v_to_u,1,519,41,23,1,23,1,
MOT17-02-FRCNN,26,2,23,40,v_to_u,1,185,41,23,2,23,2,
MOT17-02-FRCNN,27,3,23,40,v_to_u,1,405,41,23,3,23,3,
MOT17-02-FRCNN,28,4,23,40,v_to_u,1,291,41,23,4,23,4,
MOT17-02-FRCNN,29,5,23,40,v_to_u,1,19,41,23,5,23,5,
MOT17-02-FRCNN,30,6,23,40,v_to_u,1,371,41,23,6,23,6,
MOT17-02-FRCNN,31,7,23,40,v_to_u,1,165,41,23,7,23,7,
MOT17-02-FRCNN,32,8,23,40,v_to_u,1,289,41,23,8,23,8,
MOT17-02-FRCNN,33,9,23,40,v_to_u,1,106,41,23,9,23,9,
MOT17-02-FRCNN,34,10,23,40,v_to_u,1,19,41,23,10,23,10,
MOT17-02-FRCNN,35,11,23,40,v_to_u,1,6,41,23,11,23,11,
MOT17-02-FRCNN,36,12,23,40,v_to_u,1,182,41,23,12,23,12,
