seq,temporal_block,ood_distance,ood_p_value,ood_certificate_pass,outer_held_out
MOT17-02-FRCNN,0,0.876974542539,0.36,1,MOT17-02-FRCNN
MOT17-02-FRCNN,1,0.704306413802,0.56,1,MOT17-02-FRCNN
MOT17-02-FRCNN,2,0.68857471089,0.64,1,MOT17-02-FRCNN
MOT17-02-FRCNN,3,0.557509893663,0.84,1,MOT17-02-FRCNN
MOT17-04-FRCNN,0,1.799729465685,0.08,0,MOT17-04-FRCNN
MOT17-04-FRCNN,1,1.575435917346,0.08,0,MOT17-04-FRCNN
MOT17-04-FRCNN,2,1.598976497735,0.08,0,MOT17-04-FRCNN
MOT17-04-FRCNN,3,1.008359955322,0.28,1,MOT17-04-FRCNN
MOT17-05-FRCNN,0,0.4628237388,1.0,1,MOT17-05-FRCNN
MOT17-05-FRCNN,1,0.572621106018,1.0,1,MOT17-05-FRCNN
MOT17-05-FRCNN,2,0.615281642001,1.0,1,MOT17-05-FRCNN
MOT17-05-FRCNN,3,0.644016147317,0.92,1,MOT17-05-FRCNN
MOT17-09-FRCNN,0,1.45690453369,0.2,1,MOT17-09-FRCNN
MOT17-09-FRCNN,1,3.730523914627,0.04,0,MOT17-09-FRCNN
MOT17-09-FRCNN,2,0.872445029623,0.52,1,MOT17-09-FRCNN
MOT17-09-FRCNN,3,1.363876898465,0.2,1,MOT17-09-FRCNN
MOT17-10-FRCNN,0,0.632916020366,0.76,1,MOT17-10-FRCNN
MOT17-10-FRCNN,1,0.890203700451,0.4,1,MOT17-10-FRCNN
MOT17-10-FRCNN,2,0.863254219295,0.48,1,MOT17-10-FRCNN
MOT17-10-FRCNN,3,0.606433658785,0.84,1,MOT17-10-FRCNN
MOT17-11-FRCNN,0,0.725074457119,0.64,1,MOT17-11-FRCNN
MOT17-11-FRCNN,1,1.349955680398,0.24,1,MOT17-11-FRCNN
MOT17-11-FRCNN,2,0.875047041571,0.44,1,MOT17-11-FRCNN
MOT17-11-FRCNN,3,0.808822858205,0.56,1,MOT17-11-FRCNN
MOT17-13-FRCNN,0,0.722937371797,0.52,1,MOT17-13-FRCNN
MOT17-13-FRCNN,1,0.438734220867,1.0,1,MOT17-13-FRCNN
MOT17-13-FRCNN,2,0.498136961386,1.0,1,MOT17-13-FRCNN
MOT17-13-FRCNN,3,0.728160412823,0.52,1,MOT17-13-FRCNN
