outer_held_out,source_seq,temporal_block,events,positive_events,minimum_positive_union_rank
MOT17-02-FRCNN,MOT17-04-FRCNN,0,445,0,
MOT17-02-FRCNN,MOT17-04-FRCNN,1,444,0,
MOT17-02-FRCNN,MOT17-04-FRCNN,2,444,0,
MOT17-02-FRCNN,MOT17-04-FRCNN,3,444,5,31.0
MOT17-02-FRCNN,MOT17-05-FRCNN,0,357,27,2.0
MOT17-02-FRCNN,MOT17-05-FRCNN,1,356,34,1.0
MOT17-02-FRCNN,MOT17-05-FRCNN,2,356,27,2.0
MOT17-02-FRCNN,MOT17-05-FRCNN,3,356,17,1.0
MOT17-02-FRCNN,MOT17-09-FRCNN,0,91,8,1.0
MOT17-02-FRCNN,MOT17-09-FRCNN,1,91,12,2.0
MOT17-02-FRCNN,MOT17-09-FRCNN,2,91,8,2.0
MOT17-02-FRCNN,MOT17-09-FRCNN,3,90,11,1.0
MOT17-02-FRCNN,MOT17-10-FRCNN,0,330,14,1.0
MOT17-02-FRCNN,MOT17-10-FRCNN,1,329,14,4.0
MOT17-02-FRCNN,MOT17-10-FRCNN,2,330,23,2.0
MOT17-02-FRCNN,MOT17-10-FRCNN,3,329,19,3.0
MOT17-02-FRCNN,MOT17-11-FRCNN,0,176,0,
MOT17-02-FRCNN,MOT17-11-FRCNN,1,176,0,
MOT17-02-FRCNN,MOT17-11-FRCNN,2,176,5,1.0
MOT17-02-FRCNN,MOT17-11-FRCNN,3,176,3,26.0
MOT17-02-FRCNN,MOT17-13-FRCNN,0,549,55,1.0
MOT17-02-FRCNN,MOT17-13-FRCNN,1,548,58,1.0
MOT17-02-FRCNN,MOT17-13-FRCNN,2,548,125,1.0
MOT17-02-FRCNN,MOT17-13-FRCNN,3,548,3,1.0
MOT17-04-FRCNN,MOT17-02-FRCNN,0,982,77,8.0
MOT17-04-FRCNN,MOT17-02-FRCNN,1,981,164,1.0
MOT17-04-FRCNN,MOT17-02-FRCNN,2,981,185,1.0
MOT17-04-FRCNN,MOT17-02-FRCNN,3,981,156,1.0
MOT17-04-FRCNN,MOT17-05-FRCNN,0,357,27,1.0
MOT17-04-FRCNN,MOT17-05-FRCNN,1,356,34,1.0
MOT17-04-FRCNN,MOT17-05-FRCNN,2,356,27,10.0
MOT17-04-FRCNN,MOT17-05-FRCNN,3,356,17,3.0
MOT17-04-FRCNN,MOT17-09-FRCNN,0,91,8,1.0
MOT17-04-FRCNN,MOT17-09-FRCNN,1,91,12,2.0
MOT17-04-FRCNN,MOT17-09-FRCNN,2,91,8,2.0
MOT17-04-FRCNN,MOT17-09-FRCNN,3,90,11,2.0
MOT17-04-FRCNN,MOT17-10-FRCNN,0,330,14,1.0
MOT17-04-FRCNN,MOT17-10-FRCNN,1,329,14,2.0
MOT17-04-FRCNN,MOT17-10-FRCNN,2,330,23,2.0
MOT17-04-FRCNN,MOT17-10-FRCNN,3,329,19,2.0
MOT17-04-FRCNN,MOT17-11-FRCNN,0,176,0,
MOT17-04-FRCNN,MOT17-11-FRCNN,1,176,0,
MOT17-04-FRCNN,MOT17-11-FRCNN,2,176,5,1.0
MOT17-04-FRCNN,MOT17-11-FRCNN,3,176,3,18.0
MOT17-04-FRCNN,MOT17-13-FRCNN,0,549,55,1.0
MOT17-04-FRCNN,MOT17-13-FRCNN,1,548,58,2.0
MOT17-04-FRCNN,MOT17-13-FRCNN,2,548,125,1.0
MOT17-04-FRCNN,MOT17-13-FRCNN,3,548,3,2.0
MOT17-05-FRCNN,MOT17-02-FRCNN,0,982,77,3.0
MOT17-05-FRCNN,MOT17-02-FRCNN,1,981,164,1.0
MOT17-05-FRCNN,MOT17-02-FRCNN,2,981,185,1.0
MOT17-05-FRCNN,MOT17-02-FRCNN,3,981,156,1.0
MOT17-05-FRCNN,MOT17-04-FRCNN,0,445,0,
MOT17-05-FRCNN,MOT17-04-FRCNN,1,444,0,
MOT17-05-FRCNN,MOT17-04-FRCNN,2,444,0,
MOT17-05-FRCNN,MOT17-04-FRCNN,3,444,5,12.0
MOT17-05-FRCNN,MOT17-09-FRCNN,0,91,8,1.0
MOT17-05-FRCNN,MOT17-09-FRCNN,1,91,12,2.0
MOT17-05-FRCNN,MOT17-09-FRCNN,2,91,8,3.0
MOT17-05-FRCNN,MOT17-09-FRCNN,3,90,11,1.0
MOT17-05-FRCNN,MOT17-10-FRCNN,0,330,14,1.0
MOT17-05-FRCNN,MOT17-10-FRCNN,1,329,14,1.0
MOT17-05-FRCNN,MOT17-10-FRCNN,2,330,23,1.0
MOT17-05-FRCNN,MOT17-10-FRCNN,3,329,19,2.0
MOT17-05-FRCNN,MOT17-11-FRCNN,0,176,0,
MOT17-05-FRCNN,MOT17-11-FRCNN,1,176,0,
MOT17-05-FRCNN,MOT17-11-FRCNN,2,176,5,1.0
MOT17-05-FRCNN,MOT17-11-FRCNN,3,176,3,19.0
MOT17-05-FRCNN,MOT17-13-FRCNN,0,549,55,1.0
MOT17-05-FRCNN,MOT17-13-FRCNN,1,548,58,1.0
MOT17-05-FRCNN,MOT17-13-FRCNN,2,548,125,1.0
MOT17-05-FRCNN,MOT17-13-FRCNN,3,548,3,3.0
MOT17-09-FRCNN,MOT17-02-FRCNN,0,982,77,3.0
MOT17-09-FRCNN,MOT17-02-FRCNN,1,981,164,1.0
MOT17-09-FRCNN,MOT17-02-FRCNN,2,981,185,1.0
MOT17-09-FRCNN,MOT17-02-FRCNN,3,981,156,1.0
MOT17-09-FRCNN,MOT17-04-FRCNN,0,445,0,
MOT17-09-FRCNN,MOT17-04-FRCNN,1,444,0,
MOT17-09-FRCNN,MOT17-04-FRCNN,2,444,0,
MOT17-09-FRCNN,MOT17-04-FRCNN,3,444,5,2.0
MOT17-09-FRCNN,MOT17-05-FRCNN,0,357,27,2.0
MOT17-09-FRCNN,MOT17-05-FRCNN,1,356,34,1.0
MOT17-09-FRCNN,MOT17-05-FRCNN,2,356,27,7.0
MOT17-09-FRCNN,MOT17-05-FRCNN,3,356,17,4.0
MOT17-09-FRCNN,MOT17-10-FRCNN,0,330,14,1.0
MOT17-09-FRCNN,MOT17-10-FRCNN,1,329,14,1.0
MOT17-09-FRCNN,MOT17-10-FRCNN,2,330,23,2.0
MOT17-09-FRCNN,MOT17-10-FRCNN,3,329,19,1.0
MOT17-09-FRCNN,MOT17-11-FRCNN,0,176,0,
MOT17-09-FRCNN,MOT17-11-FRCNN,1,176,0,
MOT17-09-FRCNN,MOT17-11-FRCNN,2,176,5,1.0
MOT17-09-FRCNN,MOT17-11-FRCNN,3,176,3,8.0
MOT17-09-FRCNN,MOT17-13-FRCNN,0,549,55,1.0
MOT17-09-FRCNN,MOT17-13-FRCNN,1,548,58,1.0
MOT17-09-FRCNN,MOT17-13-FRCNN,2,548,125,1.0
MOT17-09-FRCNN,MOT17-13-FRCNN,3,548,3,9.0
MOT17-10-FRCNN,MOT17-02-FRCNN,0,982,77,4.0
MOT17-10-FRCNN,MOT17-02-FRCNN,1,981,164,1.0
MOT17-10-FRCNN,MOT17-02-FRCNN,2,981,185,1.0
MOT17-10-FRCNN,MOT17-02-FRCNN,3,981,156,1.0
MOT17-10-FRCNN,MOT17-04-FRCNN,0,445,0,
MOT17-10-FRCNN,MOT17-04-FRCNN,1,444,0,
MOT17-10-FRCNN,MOT17-04-FRCNN,2,444,0,
MOT17-10-FRCNN,MOT17-04-FRCNN,3,444,5,10.0
MOT17-10-FRCNN,MOT17-05-FRCNN,0,357,27,2.0
MOT17-10-FRCNN,MOT17-05-FRCNN,1,356,34,1.0
MOT17-10-FRCNN,MOT17-05-FRCNN,2,356,27,5.0
MOT17-10-FRCNN,MOT17-05-FRCNN,3,356,17,4.0
MOT17-10-FRCNN,MOT17-09-FRCNN,0,91,8,1.0
MOT17-10-FRCNN,MOT17-09-FRCNN,1,91,12,2.0
MOT17-10-FRCNN,MOT17-09-FRCNN,2,91,8,2.0
MOT17-10-FRCNN,MOT17-09-FRCNN,3,90,11,2.0
MOT17-10-FRCNN,MOT17-11-FRCNN,0,176,0,
MOT17-10-FRCNN,MOT17-11-FRCNN,1,176,0,
MOT17-10-FRCNN,MOT17-11-FRCNN,2,176,5,1.0
MOT17-10-FRCNN,MOT17-11-FRCNN,3,176,3,22.0
MOT17-10-FRCNN,MOT17-13-FRCNN,0,549,55,1.0
MOT17-10-FRCNN,MOT17-13-FRCNN,1,548,58,1.0
MOT17-10-FRCNN,MOT17-13-FRCNN,2,548,125,1.0
MOT17-10-FRCNN,MOT17-13-FRCNN,3,548,3,2.0
MOT17-11-FRCNN,MOT17-02-FRCNN,0,982,77,5.0
MOT17-11-FRCNN,MOT17-02-FRCNN,1,981,164,1.0
MOT17-11-FRCNN,MOT17-02-FRCNN,2,981,185,1.0
MOT17-11-FRCNN,MOT17-02-FRCNN,3,981,156,1.0
MOT17-11-FRCNN,MOT17-04-FRCNN,0,445,0,
MOT17-11-FRCNN,MOT17-04-FRCNN,1,444,0,
MOT17-11-FRCNN,MOT17-04-FRCNN,2,444,0,
MOT17-11-FRCNN,MOT17-04-FRCNN,3,444,5,12.0
MOT17-11-FRCNN,MOT17-05-FRCNN,0,357,27,2.0
MOT17-11-FRCNN,MOT17-05-FRCNN,1,356,34,1.0
MOT17-11-FRCNN,MOT17-05-FRCNN,2,356,27,10.0
MOT17-11-FRCNN,MOT17-05-FRCNN,3,356,17,1.0
MOT17-11-FRCNN,MOT17-09-FRCNN,0,91,8,3.0
MOT17-11-FRCNN,MOT17-09-FRCNN,1,91,12,3.0
MOT17-11-FRCNN,MOT17-09-FRCNN,2,91,8,4.0
MOT17-11-FRCNN,MOT17-09-FRCNN,3,90,11,2.0
MOT17-11-FRCNN,MOT17-10-FRCNN,0,330,14,1.0
MOT17-11-FRCNN,MOT17-10-FRCNN,1,329,14,6.0
MOT17-11-FRCNN,MOT17-10-FRCNN,2,330,23,2.0
MOT17-11-FRCNN,MOT17-10-FRCNN,3,329,19,2.0
MOT17-11-FRCNN,MOT17-13-FRCNN,0,549,55,1.0
MOT17-11-FRCNN,MOT17-13-FRCNN,1,548,58,2.0
MOT17-11-FRCNN,MOT17-13-FRCNN,2,548,125,1.0
MOT17-11-FRCNN,MOT17-13-FRCNN,3,548,3,1.0
MOT17-13-FRCNN,MOT17-02-FRCNN,0,982,77,6.0
MOT17-13-FRCNN,MOT17-02-FRCNN,1,981,164,1.0
MOT17-13-FRCNN,MOT17-02-FRCNN,2,981,185,1.0
MOT17-13-FRCNN,MOT17-02-FRCNN,3,981,156,1.0
MOT17-13-FRCNN,MOT17-04-FRCNN,0,445,0,
MOT17-13-FRCNN,MOT17-04-FRCNN,1,444,0,
MOT17-13-FRCNN,MOT17-04-FRCNN,2,444,0,
MOT17-13-FRCNN,MOT17-04-FRCNN,3,444,5,9.0
MOT17-13-FRCNN,MOT17-05-FRCNN,0,357,27,1.0
MOT17-13-FRCNN,MOT17-05-FRCNN,1,356,34,1.0
MOT17-13-FRCNN,MOT17-05-FRCNN,2,356,27,9.0
MOT17-13-FRCNN,MOT17-05-FRCNN,3,356,17,3.0
MOT17-13-FRCNN,MOT17-09-FRCNN,0,91,8,1.0
MOT17-13-FRCNN,MOT17-09-FRCNN,1,91,12,2.0
MOT17-13-FRCNN,MOT17-09-FRCNN,2,91,8,1.0
MOT17-13-FRCNN,MOT17-09-FRCNN,3,90,11,1.0
MOT17-13-FRCNN,MOT17-10-FRCNN,0,330,14,1.0
MOT17-13-FRCNN,MOT17-10-FRCNN,1,329,14,1.0
MOT17-13-FRCNN,MOT17-10-FRCNN,2,330,23,2.0
MOT17-13-FRCNN,MOT17-10-FRCNN,3,329,19,1.0
MOT17-13-FRCNN,MOT17-11-FRCNN,0,176,0,
MOT17-13-FRCNN,MOT17-11-FRCNN,1,176,0,
MOT17-13-FRCNN,MOT17-11-FRCNN,2,176,5,1.0
