seq,temporal_block,events,set_size,block_has_positive,set_has_positive,set_positive_count,set_negative_count,set_max_utility,set_min_utility,outer_held_out
MOT17-02-FRCNN,0,982,639,1,1,61,550,0.486842105263,-0.5,MOT17-02-FRCNN
MOT17-02-FRCNN,1,981,631,1,1,135,475,0.40830449827,-0.498392282958,MOT17-02-FRCNN
MOT17-02-FRCNN,2,981,592,1,1,166,383,0.460377358491,-0.491525423729,MOT17-02-FRCNN
MOT17-02-FRCNN,3,981,647,1,1,122,478,0.462406015038,-0.5,MOT17-02-FRCNN
MOT17-04-FRCNN,0,445,133,0,0,0,131,0.0,-0.492113564669,MOT17-04-FRCNN
MOT17-04-FRCNN,1,444,322,0,0,0,321,0.0,-0.499043977055,MOT17-04-FRCNN
MOT17-04-FRCNN,2,444,261,0,0,0,261,-0.015947467167,-0.44783010157,MOT17-04-FRCNN
MOT17-04-FRCNN,3,444,350,1,1,5,343,0.286057692308,-0.5,MOT17-04-FRCNN
MOT17-05-FRCNN,0,357,322,1,1,27,274,0.324427480916,-0.5,MOT17-05-FRCNN
MOT17-05-FRCNN,1,356,276,1,1,34,226,0.357142857143,-0.5,MOT17-05-FRCNN
MOT17-05-FRCNN,2,356,305,1,1,27,267,0.239583333333,-0.5,MOT17-05-FRCNN
MOT17-05-FRCNN,3,356,301,1,1,15,260,0.257142857143,-0.492307692308,MOT17-05-FRCNN
MOT17-09-FRCNN,0,91,78,1,1,8,69,0.204502814259,-0.5,MOT17-09-FRCNN
MOT17-09-FRCNN,1,91,76,1,1,12,62,0.243119266055,-0.490654205607,MOT17-09-FRCNN
MOT17-09-FRCNN,2,91,87,1,1,8,67,0.15969581749,-0.481818181818,MOT17-09-FRCNN
MOT17-09-FRCNN,3,90,78,1,1,11,55,0.252631578947,-0.477272727273,MOT17-09-FRCNN
MOT17-10-FRCNN,0,330,286,1,1,14,263,0.178082191781,-0.491803278689,MOT17-10-FRCNN
MOT17-10-FRCNN,1,329,300,1,1,14,285,0.323076923077,-0.495,MOT17-10-FRCNN
MOT17-10-FRCNN,2,330,268,1,1,21,238,0.367346938776,-0.5,MOT17-10-FRCNN
MOT17-10-FRCNN,3,329,278,1,1,19,254,0.408602150538,-0.489795918367,MOT17-10-FRCNN
MOT17-11-FRCNN,0,176,149,0,0,0,144,0.0,-0.5,MOT17-11-FRCNN
MOT17-11-FRCNN,1,176,127,0,0,0,127,-0.007211538462,-0.494910941476,MOT17-11-FRCNN
MOT17-11-FRCNN,2,176,150,1,1,4,141,0.452282157676,-0.495098039216,MOT17-11-FRCNN
MOT17-11-FRCNN,3,176,125,1,1,1,122,0.110169491525,-0.5,MOT17-11-FRCNN
MOT17-13-FRCNN,0,549,504,1,1,51,448,0.361111111111,-0.5,MOT17-13-FRCNN
MOT17-13-FRCNN,1,548,397,1,1,57,326,0.373333333333,-0.5,MOT17-13-FRCNN
MOT17-13-FRCNN,2,548,519,1,1,124,341,0.469512195122,-0.5,MOT17-13-FRCNN
MOT17-13-FRCNN,3,548,495,1,1,3,481,0.086757990868,-0.490683229814,MOT17-13-FRCNN
