seq,temporal_block,set_radius,events,set_size,block_has_positive,set_has_positive,set_positive_count,set_negative_count,set_max_utility,set_min_utility
MOT17-02-FRCNN,0,31,982,83,1,1,15,53,0.409090909091,-0.496428571429
MOT17-02-FRCNN,1,31,981,83,1,1,23,44,0.348946135831,-0.421052631579
MOT17-02-FRCNN,2,31,981,87,1,1,32,34,0.419452887538,-0.45584045584
MOT17-02-FRCNN,3,31,981,82,1,1,30,32,0.358662613982,-0.389204545455
MOT17-04-FRCNN,0,18,445,52,0,0,0,48,0.0,-0.492113564669
MOT17-04-FRCNN,1,18,444,53,0,0,0,51,0.0,-0.499043977055
MOT17-04-FRCNN,2,18,444,49,0,0,0,44,0.0,-0.42481884058
MOT17-04-FRCNN,3,18,444,51,1,1,2,47,0.286057692308,-0.495956873315
MOT17-05-FRCNN,0,19,357,51,1,1,6,36,0.324427480916,-0.490909090909
MOT17-05-FRCNN,1,19,356,49,1,1,17,25,0.254237288136,-0.428571428571
MOT17-05-FRCNN,2,19,356,54,1,1,6,43,0.239583333333,-0.484375
MOT17-05-FRCNN,3,19,356,57,1,1,4,47,0.257142857143,-0.348484848485
MOT17-09-FRCNN,0,9,91,21,1,1,2,18,0.131884057971,-0.4604743083
MOT17-09-FRCNN,1,9,91,23,1,1,3,19,0.164912280702,-0.483739837398
MOT17-09-FRCNN,2,9,91,25,1,1,2,19,0.13698630137,-0.481818181818
MOT17-09-FRCNN,3,9,90,19,1,1,5,12,0.111764705882,-0.149184149184
MOT17-10-FRCNN,0,22,330,59,1,1,10,42,0.178082191781,-0.464285714286
MOT17-10-FRCNN,1,22,329,58,1,1,4,54,0.323076923077,-0.470760233918
MOT17-10-FRCNN,2,22,330,56,1,1,15,34,0.367346938776,-0.5
MOT17-10-FRCNN,3,22,329,60,1,1,6,50,0.393586005831,-0.481012658228
MOT17-11-FRCNN,0,12,176,30,0,0,0,24,0.0,-0.496503496503
MOT17-11-FRCNN,1,12,176,35,0,0,0,34,0.0,-0.48224852071
MOT17-11-FRCNN,2,12,176,34,1,1,3,28,0.452282157676,-0.449197860963
MOT17-11-FRCNN,3,12,176,31,1,0,0,30,0.0,-0.491525423729
MOT17-13-FRCNN,0,9,549,24,1,1,6,15,0.361111111111,-0.191011235955
MOT17-13-FRCNN,1,9,548,27,1,1,5,18,0.24,-0.490774907749
MOT17-13-FRCNN,2,9,548,27,1,1,9,12,0.469512195122,-0.467171717172
MOT17-13-FRCNN,3,9,548,24,1,1,2,19,0.086757990868,-0.461111111111
