seq,temporal_block,events,block_has_positive,base_set_size,rescue_added,combined_set_size,base_has_positive,combined_has_positive,combined_positive_events,combined_negative_events,combined_zero_events,combined_oracle_utility
MOT17-02-FRCNN,0,982,1,83,132,215,1,1,37,160,18,0.480519480519
MOT17-02-FRCNN,1,981,1,83,135,218,1,1,76,124,18,0.40830449827
MOT17-02-FRCNN,2,981,1,87,128,215,1,1,90,100,25,0.460377358491
MOT17-02-FRCNN,3,981,1,82,134,216,1,1,70,121,25,0.462406015038
MOT17-04-FRCNN,0,445,0,52,105,157,0,0,0,153,4,0.0
MOT17-04-FRCNN,1,444,0,53,106,159,0,0,0,157,2,0.0
MOT17-04-FRCNN,2,444,0,49,119,168,0,0,0,163,5,0.0
MOT17-04-FRCNN,3,444,1,51,106,157,1,1,4,151,2,0.286057692308
MOT17-05-FRCNN,0,357,1,51,102,153,1,1,12,131,10,0.324427480916
MOT17-05-FRCNN,1,356,1,49,97,146,1,1,23,109,14,0.357142857143
MOT17-05-FRCNN,2,356,1,54,92,146,1,1,13,127,6,0.239583333333
MOT17-05-FRCNN,3,356,1,57,95,152,1,1,10,133,9,0.257142857143
MOT17-09-FRCNN,0,91,1,21,70,91,1,1,8,82,1,0.204502814259
MOT17-09-FRCNN,1,91,1,23,68,91,1,1,12,77,2,0.243119266055
MOT17-09-FRCNN,2,91,1,25,66,91,1,1,8,71,12,0.15969581749
MOT17-09-FRCNN,3,90,1,19,71,90,1,1,11,66,13,0.252631578947
MOT17-10-FRCNN,0,330,1,59,81,140,1,1,13,119,8,0.178082191781
MOT17-10-FRCNN,1,329,1,58,86,144,1,1,9,134,1,0.323076923077
MOT17-10-FRCNN,2,330,1,56,85,141,1,1,19,115,7,0.367346938776
MOT17-10-FRCNN,3,329,1,60,75,135,1,1,11,120,4,0.408602150538
MOT17-11-FRCNN,0,176,0,30,105,135,0,0,0,128,7,0.0
MOT17-11-FRCNN,1,176,0,35,97,132,0,0,0,131,1,0.0
MOT17-11-FRCNN,2,176,1,34,104,138,1,1,4,128,6,0.452282157676
MOT17-11-FRCNN,3,176,1,31,104,135,0,1,3,130,2,0.194915254237
MOT17-13-FRCNN,0,549,1,24,99,123,1,1,25,94,4,0.361111111111
MOT17-13-FRCNN,1,548,1,27,102,129,1,1,31,91,7,0.373333333333
MOT17-13-FRCNN,2,548,1,27,103,130,1,1,53,68,9,0.469512195122
MOT17-13-FRCNN,3,548,1,24,101,125,1,1,3,118,4,0.086757990868
