outer_sequence,mechanism,calibration_sequence,temporal_block,positive_events,minimum_positive_rank
MOT17-02-FRCNN,receiver_split,MOT17-04-FRCNN,3,2,2
MOT17-02-FRCNN,receiver_split,MOT17-05-FRCNN,0,10,2
MOT17-02-FRCNN,receiver_split,MOT17-05-FRCNN,1,2,111
MOT17-02-FRCNN,receiver_split,MOT17-09-FRCNN,0,1,14
MOT17-02-FRCNN,receiver_split,MOT17-09-FRCNN,1,4,21
MOT17-02-FRCNN,receiver_split,MOT17-09-FRCNN,3,2,10
MOT17-02-FRCNN,receiver_split,MOT17-10-FRCNN,0,2,9
MOT17-02-FRCNN,receiver_split,MOT17-10-FRCNN,1,1,138
MOT17-02-FRCNN,receiver_split,MOT17-10-FRCNN,2,6,1
MOT17-02-FRCNN,receiver_split,MOT17-10-FRCNN,3,8,6
MOT17-02-FRCNN,receiver_split,MOT17-11-FRCNN,3,2,36
MOT17-02-FRCNN,receiver_split,MOT17-13-FRCNN,0,20,3
MOT17-02-FRCNN,receiver_split,MOT17-13-FRCNN,1,6,9
MOT17-02-FRCNN,receiver_split,MOT17-13-FRCNN,2,38,1
MOT17-02-FRCNN,same_identity_merge,MOT17-04-FRCNN,3,1,2
MOT17-02-FRCNN,same_identity_merge,MOT17-05-FRCNN,1,2,30
MOT17-02-FRCNN,same_identity_merge,MOT17-05-FRCNN,3,2,1
MOT17-02-FRCNN,same_identity_merge,MOT17-09-FRCNN,0,2,4
MOT17-02-FRCNN,same_identity_merge,MOT17-10-FRCNN,2,2,1
MOT17-02-FRCNN,same_identity_merge,MOT17-11-FRCNN,2,1,1
MOT17-02-FRCNN,same_identity_merge,MOT17-11-FRCNN,3,1,7
MOT17-02-FRCNN,same_identity_merge,MOT17-13-FRCNN,2,1,4
MOT17-04-FRCNN,receiver_split,MOT17-02-FRCNN,0,36,4
MOT17-04-FRCNN,receiver_split,MOT17-02-FRCNN,1,110,1
MOT17-04-FRCNN,receiver_split,MOT17-02-FRCNN,2,30,8
MOT17-04-FRCNN,receiver_split,MOT17-02-FRCNN,3,21,1
