seq,canonical_rank,u,v,boundary_frame,transaction_type,temporal_block,full_idtp_delta_norm,receiver_split_label,same_identity_merge_label,receiver_split_score,same_identity_merge_score,receiver_split_rank,same_identity_merge_rank,base_member,rescue_reason,outer_sequence
MOT17-02-FRCNN,2,2,25,30,v_to_u,0,-0.140186915888,0,0,0.760151029672,0.0,84,114,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,4,4,25,30,v_to_u,0,-0.097719869707,0,0,0.719081676067,0.0,110,116,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,6,6,25,30,v_to_u,0,-0.075187969925,0,0,0.715635731325,0.0,114,118,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,7,7,25,30,v_to_u,0,-0.152284263959,0,0,0.688957448269,0.0,124,119,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,8,8,25,30,v_to_u,0,-0.093167701863,0,0,0.778692975634,0.0,72,120,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,17,17,25,30,v_to_u,0,-0.254237288136,0,0,0.793097917744,0.0,52,129,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,21,21,25,30,v_to_u,0,-0.350649350649,0,0,0.720733669174,0.0,106,133,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,22,22,25,30,v_to_u,0,-0.081196581197,0,0,0.916105218263,0.0,6,134,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,67,19,26,41,v_to_u,0,0.480519480519,0,0,0.047453585734,0.107974730634,351,25,0,same_identity_merge,MOT17-02-FRCNN
MOT17-02-FRCNN,68,20,26,41,v_to_u,0,0.092896174863,0,0,0.050982415984,0.158084454911,341,19,0,same_identity_merge,MOT17-02-FRCNN
MOT17-02-FRCNN,142,10,24,59,u_to_v,0,-0.140127388535,0,0,0.0,0.088374337822,670,29,0,same_identity_merge,MOT17-02-FRCNN
MOT17-02-FRCNN,143,10,27,59,u_to_v,0,-0.284671532847,0,0,0.0,0.103768656631,671,27,0,same_identity_merge,MOT17-02-FRCNN
MOT17-02-FRCNN,144,10,28,59,u_to_v,0,-0.068493150685,0,0,0.0,0.115849141287,672,22,0,same_identity_merge,MOT17-02-FRCNN
MOT17-02-FRCNN,145,10,29,59,u_to_v,0,-0.335570469799,0,0,0.003749874445,0.63492776277,559,2,0,same_identity_merge,MOT17-02-FRCNN
MOT17-02-FRCNN,147,2,30,61,v_to_u,0,-0.285046728972,0,0,0.789395183022,0.0,55,242,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,149,4,30,61,v_to_u,0,-0.198697068404,0,0,0.764348652594,0.0,81,244,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,150,6,30,61,v_to_u,0,-0.152882205514,0,0,0.747877112091,0.0,87,245,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,151,7,30,61,v_to_u,0,-0.309644670051,0,0,0.720189491395,0.0,107,246,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,154,12,30,61,v_to_u,0,-0.274774774775,0,0,0.779278207631,0.0,71,249,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,155,13,30,61,v_to_u,0,-0.125,0,0,0.78846527356,0.0,59,250,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,159,17,30,61,v_to_u,0,-0.483050847458,0,0,0.802968272027,0.0,40,254,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,162,21,30,61,v_to_u,0,-0.246753246753,0,0,0.761149005207,0.0,83,257,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,163,22,30,61,v_to_u,0,-0.213675213675,0,0,0.908899564707,0.0,7,258,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,167,29,30,61,v_to_u,0,-0.111111111111,0,0,0.772309422511,0.0,76,262,0,receiver_split,MOT17-02-FRCNN
MOT17-02-FRCNN,187,27,28,64,v_to_u,0,-0.165938864629,0,0,0.068781617603,0.328149665706,296,12,0,same_identity_merge,MOT17-02-FRCNN
