seq,canonical_rank,u,v,boundary_frame,transaction_type,donor_total_rows_raw,receiver_total_rows_raw,donor_span_raw,receiver_span_raw,donor_history_rows_raw,receiver_history_rows_raw,donor_future_rows_raw,receiver_future_rows_raw,donor_history_fraction_raw,receiver_history_fraction_raw,donor_gap_to_start_raw,receiver_gap_to_start_raw,donor_ephemeral_log_ratio,history_imbalance_log_raw,future_to_donor_rows_ratio,overlap_rows_raw,overlap_iou_mean,overlap_iou_max,overlap_iou_ge_030_fraction,overlap_iou_ge_050_fraction,overlap_center_distance_mean,overlap_center_distance_min,overlap_score_absdiff_mean,donor_receiver_boundary_center_norm,donor_receiver_boundary_bottom_norm,donor_receiver_boundary_log_size,donor_receiver_boundary_score_absdiff,receiver_boundary_center_jump_norm,receiver_boundary_bottom_jump_norm,receiver_boundary_log_size_jump,receiver_boundary_score_jump,receiver_w5_pre_speed_norm,receiver_w5_post_speed_norm,receiver_w5_velocity_delta_norm,receiver_w5_velocity_direction_change,receiver_w5_log_size_velocity_delta,receiver_w5_pre_backtest_error_mean,receiver_self_error_w5_h5_mean,receiver_self_error_w5_h5_q75,receiver_self_error_w5_h5_max,donor_transfer_error_w5_h5_mean,donor_transfer_error_w5_h5_q75,donor_transfer_error_w5_h5_max,receiver_change_ratio_w5_h5,donor_minus_receiver_error_w5_h5,receiver_self_error_w5_h20_mean,receiver_self_error_w5_h20_q75,receiver_self_error_w5_h20_max,donor_transfer_error_w5_h20_mean,donor_transfer_error_w5_h20_q75,donor_transfer_error_w5_h20_max,receiver_change_ratio_w5_h20,donor_minus_receiver_error_w5_h20,receiver_w20_pre_speed_norm,receiver_w20_post_speed_norm,receiver_w20_velocity_delta_norm,receiver_w20_velocity_direction_change,receiver_w20_log_size_velocity_delta,receiver_w20_pre_backtest_error_mean,receiver_self_error_w20_h5_mean,receiver_self_error_w20_h5_q75,receiver_self_error_w20_h5_max,donor_transfer_error_w20_h5_mean,donor_transfer_error_w20_h5_q75,donor_transfer_error_w20_h5_max,receiver_change_ratio_w20_h5,donor_minus_receiver_error_w20_h5,receiver_self_error_w20_h20_mean,receiver_self_error_w20_h20_q75,receiver_self_error_w20_h20_max,donor_transfer_error_w20_h20_mean,donor_transfer_error_w20_h20_q75,donor_transfer_error_w20_h20_max,receiver_change_ratio_w20_h20,donor_minus_receiver_error_w20_h20
MOT17-02-FRCNN,1,1,25,30,v_to_u,1.0,559.0,1.0,578.0,1.0,30.0,0.0,529.0,1.0,0.05366726297,1.0,1.0,5.579729825986,-2.740840023925,529.0,1.0,0.0,0.0,0.0,0.0,4.334514438313,4.334514438313,0.0,4.337991587507,1.911805045984,2.092376553682,0.0,0.008705252418,0.001469978255,0.018568973988,0.0,0.005994358732,0.00761327219,0.002483387676,0.038853978927,0.006415275182,0.015319520421,0.018223803246,0.023759268644,0.025026598361,,,,0.364476064925,,0.048606356403,0.071444423444,0.089169164347,,,,0.972127128056,,0.005560807087,0.006849956095,0.001296295785,0.000242543655,0.005185430504,0.021129426223,0.029426723003,0.034887740679,0.036490970132,,,,0.588534460051,,0.046817222752,0.056272980072,0.05920024761,,,,0.936344455032,
MOT17-02-FRCNN,2,2,25,30,v_to_u,1.0,225.0,1.0,225.0,1.0,30.0,0.0,195.0,1.0,0.133333333333,1.0,1.0,4.584967478671,-2.740840023925,195.0,1.0,0.0,0.0,0.0,0.0,1.003300229811,1.003300229811,0.0,1.010715672297,0.95427101004,0.31105831692,0.0,0.003086705881,0.012246182996,0.034856307466,0.0,0.005948093169,0.001511435722,0.006056012293,0.944997344528,0.004113618226,0.029513720695,0.021452384437,0.020979746902,0.038877013742,,,,0.429047688737,,0.085095837205,0.111424512912,0.155664058451,,,,1.7019167441,,0.002067178124,0.000276528797,0.002274787395,1.721583843701,0.003133467457,0.019265191504,0.028008132629,0.030953240367,0.034541764437,,,,0.560162652581,,0.039268159459,0.058240290036,0.080662176446,,,,0.785363189179,
MOT17-02-FRCNN,3,3,25,30,v_to_u,1.0,445.0,1.0,445.0,1.0,30.0,0.0,415.0,1.0,0.067415730337,1.0,1.0,5.337538079701,-2.740840023925,415.0,1.0,0.0,0.0,0.0,0.0,5.236100338475,5.236100338475,0.0,5.229306821404,2.041177962363,2.358151997318,0.0,0.009090689714,0.002917318384,0.007415314017,0.0,0.008358042714,0.006551145054,0.005490019813,0.24541650089,0.015574072049,0.015450730234,0.016355291934,0.023770433598,0.036855386845,,,,0.327105838674,,0.083682182512,0.129538478843,0.176067840915,,,,1.673643650245,,0.007467412107,0.003620856558,0.007104557321,0.659778464399,0.007449435782,0.036704236153,0.014983048054,0.018170593265,0.030099403279,,,,0.299660961074,,0.074969846041,0.117662381264,0.158704566964,,,,1.499396920823,
MOT17-02-FRCNN,4,4,25,30,v_to_u,1.0,331.0,1.0,331.0,1.0,30.0,0.0,301.0,1.0,0.090634441088,1.0,1.0,5.017279836815,-2.740840023925,301.0,1.0,0.0,0.0,0.0,0.0,1.512950475379,1.512950475379,0.0,1.539307692725,1.082695252917,0.230952821255,0.0,0.012511161945,0.002986922919,0.035328679199,0.0,0.000627327024,0.003323651128,0.003412454334,1.049076014474,0.007867408587,0.011450636529,0.018539326554,0.020437040959,0.021321481635,,,,0.370786531088,,0.03163336332,0.037571320848,0.054027944075,,,,0.632667266395,,0.000767641898,0.000221155229,0.000795558394,0.984477168867,0.003911602731,0.008448463935,0.010310265766,0.014058178992,0.015299872429,,,,0.206205315328,,0.016453458412,0.019989613077,0.045194710526,,,,0.329069168247,
MOT17-02-FRCNN,5,5,25,30,v_to_u,1.0,59.0,1.0,59.0,1.0,30.0,0.0,29.0,1.0,0.508474576271,1.0,1.0,2.708050201102,-2.740840023925,29.0,1.0,0.0,0.0,0.0,0.0,5.256383149458,5.256383149458,0.0,5.423381811692,2.48580597793,3.127353697,0.0,0.061694897661,0.00961712618,0.038873847735,0.0,0.041296324708,0.045507086646,0.013619832934,0.044636706966,0.142175645328,0.074446646888,0.097193287933,0.127715304582,0.14931790847,,,,1.305542855124,,0.229567087398,0.298233526382,0.317582139945,,,,3.083645765043,,0.024085226802,0.030000657846,0.005924727706,7.6168078e-05,0.020086342928,0.11022477631,0.134042667269,0.146628013634,0.150499167352,,,,1.216084729371,,0.184037983146,0.176963225152,0.367337368494,,,,1.669660754204,
MOT17-02-FRCNN,6,6,25,30,v_to_u,1.0,411.0,1.0,439.0,1.0,30.0,0.0,381.0,1.0,0.07299270073,1.0,1.0,5.252273428047,-2.740840023925,381.0,1.0,0.0,0.0,0.0,0.0,1.379545903928,1.379545903928,0.0,1.381385864659,0.213154077928,0.285161437085,0.0,0.001854221902,0.000792084341,0.000182898949,0.0,0.002622606772,0.002435561822,0.004819144845,1.815193366006,0.002567283452,0.008858374814,0.013215162593,0.017526002371,0.027091599147,,,,0.264303251858,,0.044855226078,0.067174049799,0.082046959709,,,,0.897104521559,,0.001094858476,0.000469542225,0.000909188032,0.423669981406,0.000793050248,0.015843576765,0.005762103994,0.006518355563,0.006604250899,,,,0.115242079889,,0.013380127143,0.016348184091,0.024602058895,,,,0.267602542854,
MOT17-02-FRCNN,7,7,25,30,v_to_u,1.0,205.0,1.0,205.0,1.0,30.0,0.0,175.0,1.0,0.146341463415,1.0,1.0,4.477336814478,-2.740840023925,175.0,1.0,0.0,0.0,0.0,0.0,1.403879404053,1.403879404053,0.0,1.40406135172,0.220559386108,0.446810268756,0.0,0.008400315323,0.006245949146,0.023486173729,0.0,0.006010407085,0.001613473981,0.006045583018,0.887641806965,0.006165277448,0.012304306236,0.036391976095,0.042094249895,0.057286758204,,,,0.727839521898,,0.110471297754,0.151963920322,0.199151694496,,,,2.209425955082,,0.003166769458,0.000910047433,0.00323010683,0.926606844403,0.00552796035,0.013086346941,0.018316829081,0.022847574271,0.025464135322,,,,0.36633658162,,0.057553118572,0.076443491841,0.107751771024,,,,1.15106237144,
MOT17-02-FRCNN,8,8,25,30,v_to_u,1.0,329.0,1.0,329.0,1.0,30.0,0.0,299.0,1.0,0.091185410334,1.0,1.0,5.010635294096,-2.740840023925,299.0,1.0,0.0,0.0,0.0,0.0,4.451836833499,4.451836833499,0.0,4.449265525818,1.48965056978,1.503950642027,0.0,0.015876281756,0.008829944131,0.01845863592,0.0,0.011931551512,0.009013265309,0.007973623575,0.256003031405,0.009660963305,0.020638841814,0.031700646505,0.038103453238,0.046789728389,,,,0.634012930109,,0.082574380717,0.120078384839,0.128414032938,,,,1.651487614333,,0.005029912658,0.009289345186,0.004316151278,0.005204929003,0.007717129197,0.053666278267,0.041015920706,0.042593993487,0.046016296223,,,,0.764277345673,,0.071749275417,0.085446030931,0.127566923452,,,,1.336952696064,
MOT17-02-FRCNN,9,9,25,30,v_to_u,1.0,146.0,1.0,146.0,1.0,30.0,0.0,116.0,1.0,0.205479452055,1.0,1.0,4.069026754238,-2.740840023925,116.0,1.0,0.0,0.0,0.0,0.0,5.647141056926,5.647141056926,0.0,5.619701947486,1.907303625566,1.975227541262,0.0,0.004440218601,0.002869064327,0.015681725467,0.0,0.002586816048,0.005051369937,0.002472306082,0.001464436854,0.006702321993,0.024996239943,0.013413941853,0.019401127555,0.02075170858,,,,0.268278837057,,0.026190635796,0.030126913533,0.055608649999,,,,0.523812715928,,0.005996153109,0.000634709191,0.005433489464,0.102176166751,0.002416338522,0.012764112376,0.023894515595,0.027776032865,0.033076784783,,,,0.477890311891,,0.063582953929,0.082303963007,0.123770930537,,,,1.271659078582,
MOT17-02-FRCNN,10,10,25,30,v_to_u,1.0,59.0,1.0,59.0,1.0,30.0,0.0,29.0,1.0,0.508474576271,1.0,1.0,2.708050201102,-2.740840023925,29.0,1.0,0.0,0.0,0.0,0.0,8.615444114043,8.615444114043,0.0,8.675031933355,0.371366140066,0.061658362785,0.0,0.029466453194,0.054848872813,0.029264987869,0.0,0.009269915196,0.016366527821,0.024749984993,1.852799448526,0.023166579937,0.041192520109,0.130053810688,0.138690817501,0.243106409295,,,,2.60107621376,,0.155008951872,0.241661340706,0.307467835345,,,,3.100179037431,,0.002469021581,0.002726790112,0.003874638588,1.110016450445,0.002704555576,0.051482691844,0.080845839422,0.066597890108,0.158600926129,,,,1.570349888988,,0.118186607503,0.154764804735,0.180784748428,,,,2.295657108618,
