seq,temporal_block,events,block_has_positive,base_set_size,rescue_added,combined_set_size,base_has_positive,combined_has_positive,rescue_positive_events,rescue_negative_events,rescue_zero_events,combined_positive_events,combined_negative_events,combined_zero_events,combined_oracle_utility
MOT17-02-FRCNN,0,982,1,83,12,95,1,1,2,10,0,17,63,15,0.409090909091
MOT17-02-FRCNN,1,981,1,83,12,95,1,1,2,10,0,25,54,16,0.348946135831
MOT17-02-FRCNN,2,981,1,87,12,99,1,1,6,6,0,38,40,21,0.419452887538
MOT17-02-FRCNN,3,981,1,82,12,94,1,1,7,4,1,37,36,21,0.462406015038
MOT17-04-FRCNN,0,445,0,52,12,64,0,0,0,12,0,0,60,4,0.0
MOT17-04-FRCNN,1,444,0,53,12,65,0,0,0,12,0,0,63,2,0.0
MOT17-04-FRCNN,2,444,0,49,12,61,0,0,0,12,0,0,56,5,0.0
MOT17-04-FRCNN,3,444,1,51,12,63,1,1,1,11,0,3,58,2,0.286057692308
MOT17-05-FRCNN,0,357,1,51,12,63,1,1,0,12,0,6,48,9,0.324427480916
MOT17-05-FRCNN,1,356,1,49,12,61,1,1,0,12,0,17,37,7,0.254237288136
MOT17-05-FRCNN,2,356,1,54,12,66,1,1,0,12,0,6,55,5,0.239583333333
MOT17-05-FRCNN,3,356,1,57,12,69,1,1,0,12,0,4,59,6,0.257142857143
MOT17-09-FRCNN,0,91,1,21,12,33,1,1,1,11,0,3,29,1,0.131884057971
MOT17-09-FRCNN,1,91,1,23,12,35,1,1,1,10,1,4,29,2,0.164912280702
MOT17-09-FRCNN,2,91,1,25,12,37,1,1,4,8,0,6,27,4,0.158095238095
MOT17-09-FRCNN,3,90,1,19,12,31,1,1,4,8,0,9,20,2,0.252631578947
MOT17-10-FRCNN,0,330,1,59,12,71,1,1,0,12,0,10,54,7,0.178082191781
MOT17-10-FRCNN,1,329,1,58,12,70,1,1,2,9,1,6,63,1,0.323076923077
MOT17-10-FRCNN,2,330,1,56,12,68,1,1,2,10,0,17,44,7,0.367346938776
MOT17-10-FRCNN,3,329,1,60,12,72,1,1,1,11,0,7,61,4,0.408602150538
MOT17-11-FRCNN,0,176,0,30,12,42,0,0,0,12,0,0,36,6,0.0
MOT17-11-FRCNN,1,176,0,35,12,47,0,0,0,12,0,0,46,1,0.0
MOT17-11-FRCNN,2,176,1,34,12,46,1,1,1,11,0,4,39,3,0.452282157676
MOT17-11-FRCNN,3,176,1,31,12,43,0,1,1,10,1,1,40,2,0.183035714286
MOT17-13-FRCNN,0,549,1,24,12,36,1,1,0,12,0,6,27,3,0.361111111111
MOT17-13-FRCNN,1,548,1,27,12,39,1,1,2,10,0,7,28,4,0.24
MOT17-13-FRCNN,2,548,1,27,12,39,1,1,2,10,0,11,22,6,0.469512195122
MOT17-13-FRCNN,3,548,1,24,12,36,1,1,0,12,0,2,31,3,0.086757990868
