seq,canonical_rank,u,v,boundary_frame,transaction_type,temporal_block,full_idtp_delta_norm,receiver_split_label,same_identity_merge_label,receiver_split_score,same_identity_merge_score,receiver_split_rank,same_identity_merge_rank,base_member,outer_sequence,union_rank,budget_rank,rescue_reason
MOT17-02-FRCNN,718,22,56,184,v_to_u,0,-0.222222222222,0,0,0.93670368992,0.0,1,750,0,MOT17-02-FRCNN,1,1,receiver_split
MOT17-02-FRCNN,217,18,36,78,u_to_v,0,0.168316831683,0,1,0.0,0.805816166739,696,1,0,MOT17-02-FRCNN,1,2,same_identity_merge
MOT17-02-FRCNN,145,10,29,59,u_to_v,0,-0.335570469799,0,0,0.003749874445,0.63492776277,559,2,0,MOT17-02-FRCNN,2,3,same_identity_merge
MOT17-02-FRCNN,717,20,56,184,v_to_u,0,-0.241095890411,0,0,0.92442665679,0.0,3,749,0,MOT17-02-FRCNN,3,4,receiver_split
MOT17-02-FRCNN,892,14,66,221,v_to_u,0,-0.351800554017,0,0,0.91933186035,0.0,4,896,0,MOT17-02-FRCNN,4,5,receiver_split
MOT17-02-FRCNN,976,2,65,225,u_to_v,0,0.035514018692,0,1,0.007669139196,0.515102191812,495,4,0,MOT17-02-FRCNN,4,6,same_identity_merge
MOT17-02-FRCNN,22,22,25,30,v_to_u,0,-0.081196581197,0,0,0.916105218263,0.0,6,134,0,MOT17-02-FRCNN,6,7,receiver_split
MOT17-02-FRCNN,216,18,35,78,u_to_v,0,-0.364406779661,0,0,0.0,0.471734439389,695,6,0,MOT17-02-FRCNN,6,8,same_identity_merge
MOT17-02-FRCNN,163,22,30,61,v_to_u,0,-0.213675213675,0,0,0.908899564707,0.0,7,258,0,MOT17-02-FRCNN,7,9,receiver_split
MOT17-02-FRCNN,817,54,58,208,u_to_v,0,-0.2,0,0,0.004871577136,0.397307763804,526,7,0,MOT17-02-FRCNN,7,10,same_identity_merge
MOT17-02-FRCNN,308,20,41,117,v_to_u,0,-0.060109289617,0,0,0.895877435898,0.0,8,376,0,MOT17-02-FRCNN,8,11,receiver_split
MOT17-02-FRCNN,211,18,29,78,u_to_v,0,-0.192546583851,0,0,0.0,0.386616075222,692,8,0,MOT17-02-FRCNN,8,12,same_identity_merge
MOT17-02-FRCNN,1921,20,100,361,v_to_u,1,-0.041095890411,0,0,0.929577175497,0.0,1,941,0,MOT17-02-FRCNN,1,1,receiver_split
MOT17-02-FRCNN,1333,27,73,271,u_to_v,1,-0.376325088339,0,0,0.0,0.883448121953,642,1,0,MOT17-02-FRCNN,1,2,same_identity_merge
MOT17-02-FRCNN,1337,27,79,271,u_to_v,1,-0.217311233886,0,0,0.0,0.700552879137,646,2,0,MOT17-02-FRCNN,2,3,same_identity_merge
MOT17-02-FRCNN,1851,74,95,350,u_to_v,1,0.347457627119,0,1,0.0,0.638730639273,924,3,0,MOT17-02-FRCNN,3,4,same_identity_merge
MOT17-02-FRCNN,1257,20,75,264,v_to_u,1,-0.306010928962,0,0,0.926315995974,0.0,4,341,0,MOT17-02-FRCNN,4,5,receiver_split
MOT17-02-FRCNN,1759,4,90,331,u_to_v,1,-0.101123595506,0,0,0.007615820466,0.596173079163,440,4,0,MOT17-02-FRCNN,4,6,same_identity_merge
MOT17-02-FRCNN,1286,20,77,269,v_to_u,1,-0.292349726776,0,0,0.92436102313,0.0,5,370,0,MOT17-02-FRCNN,5,7,receiver_split
MOT17-02-FRCNN,1916,14,98,360,u_to_v,1,-0.26254180602,0,0,0.0,0.518483504201,977,5,0,MOT17-02-FRCNN,5,8,same_identity_merge
MOT17-02-FRCNN,1570,81,88,305,v_to_u,1,-0.081632653061,0,0,0.923739628758,0.0,6,630,0,MOT17-02-FRCNN,6,9,receiver_split
MOT17-02-FRCNN,1216,22,65,252,u_to_v,1,-0.209009009009,0,0,0.0,0.468142806753,588,6,0,MOT17-02-FRCNN,6,10,same_identity_merge
MOT17-02-FRCNN,1114,20,72,239,v_to_u,1,-0.361643835616,0,0,0.920778318683,0.0,7,205,0,MOT17-02-FRCNN,7,11,receiver_split
MOT17-02-FRCNN,1923,31,100,361,v_to_u,1,0.106312292359,1,0,0.917920568706,0.0,8,943,0,MOT17-02-FRCNN,8,12,receiver_split
MOT17-02-FRCNN,2207,81,109,389,v_to_u,2,0.122033898305,0,0,0.918644656334,0.0,1,399,0,MOT17-02-FRCNN,1,1,receiver_split
MOT17-02-FRCNN,2379,60,106,403,u_to_v,2,-0.171875,0,0,0.004500776223,0.669834483937,317,1,0,MOT17-02-FRCNN,1,2,same_identity_merge
MOT17-02-FRCNN,2346,31,103,400,u_to_v,2,0.059945504087,0,0,0.0,0.654173220395,617,2,0,MOT17-02-FRCNN,2,3,same_identity_merge
MOT17-02-FRCNN,2174,81,108,386,v_to_u,2,0.11186440678,0,0,0.906594337514,0.0,4,366,0,MOT17-02-FRCNN,4,4,receiver_split
MOT17-02-FRCNN,2698,38,118,444,u_to_v,2,-0.014836795252,0,0,0.0,0.584697719485,852,4,0,MOT17-02-FRCNN,4,5,same_identity_merge
MOT17-02-FRCNN,2159,13,108,386,v_to_u,2,0.01038961039,0,0,0.904953132132,0.0,5,352,0,MOT17-02-FRCNN,5,6,receiver_split
MOT17-02-FRCNN,2287,13,110,393,u_to_v,2,-0.087264150943,0,0,0.00386594602,0.549356415148,328,5,0,MOT17-02-FRCNN,5,7,same_identity_merge
