seq,canonical_rank,u,v,boundary_frame,transaction_type,temporal_block,full_idtp_delta_norm,receiver_split_label,same_identity_merge_label,receiver_split_score,same_identity_merge_score,receiver_split_rank,same_identity_merge_rank,outer_sequence,base_member,rescue_member
MOT17-02-FRCNN,12,12,25,30,v_to_u,0,-0.135135135135,0,0,0.795992175524,0.0,47,124,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,14,14,25,30,v_to_u,0,-0.083333333333,0,0,0.765174709879,0.0,79,126,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,19,19,25,30,v_to_u,0,0.368421052632,1,0,0.801534084747,0.0,42,131,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,20,20,25,30,v_to_u,0,0.068493150685,1,0,0.890234791815,0.0,12,132,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,22,22,25,30,v_to_u,0,-0.081196581197,0,0,0.916105218263,0.0,6,134,MOT17-02-FRCNN,0,1
MOT17-02-FRCNN,48,23,26,40,u_to_v,0,0.0,0,0,0.001713966038,0.0,596,158,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,77,5,11,46,v_to_u,0,-0.10101010101,0,0,0.0,0.057750322199,614,33,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,145,10,29,59,u_to_v,0,-0.335570469799,0,0,0.003749874445,0.63492776277,559,2,MOT17-02-FRCNN,0,1
MOT17-02-FRCNN,156,14,30,61,v_to_u,0,-0.169444444444,0,0,0.806216541163,0.0,37,251,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,161,20,30,61,v_to_u,0,0.095890410959,1,0,0.917567298358,0.0,5,256,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,163,22,30,61,v_to_u,0,-0.213675213675,0,0,0.908899564707,0.0,7,258,MOT17-02-FRCNN,0,1
MOT17-02-FRCNN,164,24,30,61,v_to_u,0,-0.054481546573,0,0,0.451063756939,0.0,195,259,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,165,27,30,61,v_to_u,0,-0.097674418605,0,0,0.767524169312,0.0,77,260,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,207,18,21,78,u_to_v,0,-0.013513513514,0,0,0.0,0.0,689,294,MOT17-02-FRCNN,1,0
MOT17-02-FRCNN,211,18,29,78,u_to_v,0,-0.192546583851,0,0,0.0,0.386616075222,692,8,MOT17-02-FRCNN,0,1
