seq,canonical_rank,u,v,boundary_frame,transaction_type,effective_start_frame,donor_anchor,receiver_anchor,role,role_position,crop_seq,crop_frame,crop_track_id,crop_id
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,donor_history,1,MOT17-02-FRCNN,30,25,117
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_future,1,MOT17-02-FRCNN,31,1,118
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_future,2,MOT17-02-FRCNN,32,1,142
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_future,3,MOT17-02-FRCNN,33,1,166
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_future,4,MOT17-02-FRCNN,34,1,190
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_future,5,MOT17-02-FRCNN,35,1,214
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_history,1,MOT17-02-FRCNN,26,1,1
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_history,2,MOT17-02-FRCNN,27,1,24
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_history,3,MOT17-02-FRCNN,28,1,47
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_history,4,MOT17-02-FRCNN,29,1,70
MOT17-02-FRCNN,1,1,25,30,v_to_u,31,25,1,receiver_history,5,MOT17-02-FRCNN,30,1,93
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,donor_history,1,MOT17-02-FRCNN,30,25,117
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_future,1,MOT17-02-FRCNN,31,2,119
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_future,2,MOT17-02-FRCNN,32,2,143
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_future,3,MOT17-02-FRCNN,33,2,167
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_future,4,MOT17-02-FRCNN,34,2,191
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_future,5,MOT17-02-FRCNN,35,2,215
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_history,1,MOT17-02-FRCNN,26,2,2
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_history,2,MOT17-02-FRCNN,27,2,25
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_history,3,MOT17-02-FRCNN,28,2,48
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_history,4,MOT17-02-FRCNN,29,2,71
MOT17-02-FRCNN,2,2,25,30,v_to_u,31,25,2,receiver_history,5,MOT17-02-FRCNN,30,2,94
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,donor_history,1,MOT17-02-FRCNN,30,25,117
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_future,1,MOT17-02-FRCNN,31,3,120
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_future,2,MOT17-02-FRCNN,32,3,144
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_future,3,MOT17-02-FRCNN,33,3,168
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_future,4,MOT17-02-FRCNN,34,3,192
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_future,5,MOT17-02-FRCNN,35,3,216
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_history,1,MOT17-02-FRCNN,26,3,3
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_history,2,MOT17-02-FRCNN,27,3,26
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_history,3,MOT17-02-FRCNN,28,3,49
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_history,4,MOT17-02-FRCNN,29,3,72
MOT17-02-FRCNN,3,3,25,30,v_to_u,31,25,3,receiver_history,5,MOT17-02-FRCNN,30,3,95
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,donor_history,1,MOT17-02-FRCNN,30,25,117
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_future,1,MOT17-02-FRCNN,31,4,121
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_future,2,MOT17-02-FRCNN,32,4,145
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_future,3,MOT17-02-FRCNN,33,4,169
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_future,4,MOT17-02-FRCNN,34,4,193
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_future,5,MOT17-02-FRCNN,35,4,217
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_history,1,MOT17-02-FRCNN,26,4,4
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_history,2,MOT17-02-FRCNN,27,4,27
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_history,3,MOT17-02-FRCNN,28,4,50
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_history,4,MOT17-02-FRCNN,29,4,73
MOT17-02-FRCNN,4,4,25,30,v_to_u,31,25,4,receiver_history,5,MOT17-02-FRCNN,30,4,96
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,donor_history,1,MOT17-02-FRCNN,30,25,117
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_future,1,MOT17-02-FRCNN,31,5,122
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_future,2,MOT17-02-FRCNN,32,5,146
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_future,3,MOT17-02-FRCNN,33,5,170
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_future,4,MOT17-02-FRCNN,34,5,194
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_future,5,MOT17-02-FRCNN,35,5,218
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_history,1,MOT17-02-FRCNN,26,5,5
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_history,2,MOT17-02-FRCNN,27,5,28
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_history,3,MOT17-02-FRCNN,28,5,51
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_history,4,MOT17-02-FRCNN,29,5,74
MOT17-02-FRCNN,5,5,25,30,v_to_u,31,25,5,receiver_history,5,MOT17-02-FRCNN,30,5,97
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,donor_history,1,MOT17-02-FRCNN,30,25,117
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_future,1,MOT17-02-FRCNN,31,6,123
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_future,2,MOT17-02-FRCNN,32,6,147
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_future,3,MOT17-02-FRCNN,33,6,171
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_future,4,MOT17-02-FRCNN,34,6,195
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_future,5,MOT17-02-FRCNN,35,6,219
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_history,1,MOT17-02-FRCNN,26,6,6
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_history,2,MOT17-02-FRCNN,27,6,29
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_history,3,MOT17-02-FRCNN,28,6,52
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_history,4,MOT17-02-FRCNN,29,6,75
MOT17-02-FRCNN,6,6,25,30,v_to_u,31,25,6,receiver_history,5,MOT17-02-FRCNN,30,6,98
MOT17-02-FRCNN,7,7,25,30,v_to_u,31,25,7,donor_history,1,MOT17-02-FRCNN,30,25,117
MOT17-02-FRCNN,7,7,25,30,v_to_u,31,25,7,receiver_future,1,MOT17-02-FRCNN,31,7,124
MOT17-02-FRCNN,7,7,25,30,v_to_u,31,25,7,receiver_future,2,MOT17-02-FRCNN,32,7,148
MOT17-02-FRCNN,7,7,25,30,v_to_u,31,25,7,receiver_future,3,MOT17-02-FRCNN,33,7,172
MOT17-02-FRCNN,7,7,25,30,v_to_u,31,25,7,receiver_future,4,MOT17-02-FRCNN,34,7,196
MOT17-02-FRCNN,7,7,25,30,v_to_u,31,25,7,receiver_future,5,MOT17-02-FRCNN,35,7,220
MOT17-02-FRCNN,7,7,25,30,v_to_u,31,25,7,receiver_history,1,MOT17-02-FRCNN,26,7,7
MOT17-02-FRCNN,7,7,25,30,v_to_u,31,25,7,receiver_history,2,MOT17-02-FRCNN,27,7,30
