crop_id,seq,frame,track_id,x1,y1,x2,y2,track_score,image_path
1,MOT17-02-FRCNN,26,1,592.77,442.6,687.79,710.22,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
2,MOT17-02-FRCNN,26,2,1054.06,482.68,1091.44,595.49,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
3,MOT17-02-FRCNN,26,3,465.7,444.59,579.1,734.51,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
4,MOT17-02-FRCNN,26,4,1090.82,484.32,1122.29,598.27,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
5,MOT17-02-FRCNN,26,5,1499.09,406.31,1719.51,828.44,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
6,MOT17-02-FRCNN,26,6,1098.51,439.37,1134.94,548.13,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
7,MOT17-02-FRCNN,26,7,929.8,434.49,971.24,548.5,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
8,MOT17-02-FRCNN,26,8,647.79,458.87,713.64,656.64,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
9,MOT17-02-FRCNN,26,9,496.23,462.85,581.69,705.1,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
10,MOT17-02-FRCNN,26,10,548.77,463.55,580.3,561.1800000000001,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
11,MOT17-02-FRCNN,26,11,1659.03,420.78,1821.8,801.99,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
12,MOT17-02-FRCNN,26,12,1252.62,447.15,1285.32,546.67,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
13,MOT17-02-FRCNN,26,13,1015.87,438.5,1055.03,548.9,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
14,MOT17-02-FRCNN,26,14,419.99,459.01,457.75,540.12,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
15,MOT17-02-FRCNN,26,15,594.42,427.26,612.42,468.46,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
16,MOT17-02-FRCNN,26,16,577.25,427.64,597.01,470.57,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
17,MOT17-02-FRCNN,26,17,692.06,450.52,724.7299999999999,540.93,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
18,MOT17-02-FRCNN,26,18,579.58,456.59,615.6700000000001,589.17,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
19,MOT17-02-FRCNN,26,19,1000.64,453.22,1031.06,533.99,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
20,MOT17-02-FRCNN,26,20,1034.15,450.55,1055.72,508.47,-1.0,/gemini/code/datasets/MOT17/train/MOT17-02-FRCNN/img1/000026.jpg
