method,split,ece,brier,nll
uncalibrated,train,0.739938,0.713111,2.773327
uncalibrated,val,0.707911,0.655726,2.234711
uncalibrated,test,0.697103,0.661586,2.314405
global_ts,train,0.282248,0.250081,0.69331
global_ts,val,0.300631,0.250081,0.69331
global_ts,test,0.261981,0.250073,0.693294
fbc_top1_top2_gap,train,0.330815,0.279496,0.752331
fbc_top1_top2_gap,val,0.346653,0.279201,0.75172
fbc_top1_top2_gap,test,0.309409,0.276652,0.746617
fbc_margin,train,0.330815,0.279496,0.752331
fbc_margin,val,0.346653,0.279201,0.75172
fbc_margin,test,0.309409,0.276652,0.746617
fbc_candidate_count,train,0.340902,0.279123,0.751559
fbc_candidate_count,val,0.346653,0.279201,0.75172
fbc_candidate_count,test,0.309409,0.276652,0.746617
fbc_beta_hist,train,0.330815,0.279496,0.752331
fbc_beta_hist,val,0.346653,0.279201,0.75172
fbc_beta_hist,test,0.309409,0.276652,0.746617
multi_fbc,train,0.331159,0.279397,0.752107
multi_fbc,val,0.347126,0.279856,0.753395
multi_fbc,test,0.309878,0.277228,0.748093
mlp,train,0.042727,0.161925,0.49742
mlp,val,0.21239,0.2072,0.607413
mlp,test,0.11358,0.199115,0.588066
