method,split,ece,brier,nll
uncalibrated,train,0.739938,0.713111,2.773327
uncalibrated,val,0.707911,0.655726,2.234711
uncalibrated,test,0.697103,0.661586,2.314405
global_ts,train,0.282401,0.250151,0.693449
global_ts,val,0.300719,0.250124,0.693396
global_ts,test,0.262091,0.250117,0.693381
platt,train,0.007501,0.159729,0.493014
platt,val,0.094036,0.163176,0.50521
platt,test,0.073118,0.177608,0.539694
fbc_top1_top2_gap,train,0.457324,0.372349,0.952124
fbc_top1_top2_gap,val,0.435637,0.345244,0.892483
fbc_top1_top2_gap,test,0.41222,0.344692,0.89064
fbc_margin,train,0.457324,0.372349,0.952124
fbc_margin,val,0.435637,0.345244,0.892483
fbc_margin,test,0.41222,0.344692,0.89064
fbc_candidate_count,train,0.457324,0.372349,0.952124
fbc_candidate_count,val,0.435637,0.345244,0.892483
fbc_candidate_count,test,0.41222,0.344692,0.89064
fbc_beta_hist,train,0.457324,0.372349,0.952124
fbc_beta_hist,val,0.435637,0.345244,0.892483
fbc_beta_hist,test,0.41222,0.344692,0.89064
multi_fbc,train,0.457488,0.372331,0.952061
multi_fbc,val,0.435854,0.345578,0.893458
multi_fbc,test,0.412434,0.344985,0.891486
mlp,train,0.037951,0.164892,0.507969
mlp,val,0.187032,0.196519,0.584651
mlp,test,0.102254,0.195269,0.580674
mlp_no_score,train,0.107423,0.161369,0.495077
mlp_no_score,val,0.222655,0.212846,0.618938
mlp_no_score,test,0.111593,0.200216,0.590521
