ece,brier,nll,split,density,n,accuracy
0.739849,0.712937,2.772592,train,all,67013,0.2178
0.292922,0.290994,1.111681,train,dense,792,0.6667
0.745195,0.717983,2.792457,train,crowded,66221,0.2125
0.69065,0.631932,2.025903,val,all,6095,0.2166
0.862531,0.803357,2.671799,val,moderate,32,0.0625
0.604322,0.560496,1.914902,val,dense,809,0.3313
0.703166,0.642131,2.039834,val,crowded,5252,0.1995
0.696981,0.66144,2.313876,test,all,30622,0.2382
0.740545,0.691639,2.369508,test,dense,1578,0.1939
0.694618,0.659817,2.310943,test,crowded,29042,0.2406
