ece,brier,nll,split,density,n,accuracy
0.739938,0.713111,2.773327,train,all,67013,0.2179
0.688336,0.66751,2.662836,train,sparse,17100,0.2746
0.738326,0.71773,2.873428,train,moderate,16880,0.2267
0.736954,0.703057,2.581062,train,dense,16287,0.2101
0.797156,0.764799,2.972244,train,crowded,16746,0.1587
0.707911,0.655726,2.234711,val,all,6095,0.1995
0.734753,0.685094,2.539866,val,sparse,1544,0.1852
0.737035,0.68557,2.389299,val,moderate,1589,0.1819
0.704129,0.652625,2.154793,val,dense,1634,0.2007
0.64651,0.589688,1.793287,val,crowded,1328,0.2357
0.697103,0.661586,2.314405,test,all,30622,0.2382
0.729866,0.694093,2.534451,test,sparse,8415,0.2135
0.707249,0.670401,2.339125,test,moderate,6980,0.2301
0.713774,0.674601,2.306971,test,dense,7584,0.2181
0.635222,0.604833,2.056933,test,crowded,7643,0.2926
