name,seq,status,density_thresh,advantage_margin,HOTA,DetA,AssA,IDF1,MOTA,IDSW,Frag,CLR_FN,run_dir,dmm_stats
G0_base,MOT20-01,completed,,,76.737,80.237,73.541,87.826,91.761,49.0,96.0,1311.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase1_base_mot20_01_reid,{}
G0_base,MOT20-02,completed,,,68.3,79.064,59.109,74.138,90.673,420.0,756.0,11869.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase1_base_mot20_02_reid,{}
G1_v2best,MOT20-01,completed,,,76.863,80.151,73.858,88.034,91.711,49.0,112.0,1331.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase2_v2best_mot20_01,{}
G1_v2best,MOT20-02,completed,,,67.628,78.906,58.062,73.731,90.498,459.0,934.0,12107.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase2_v2best_mot20_02,{}
G2_gatev1_d50_a000,MOT20-01,completed,50,0.0,76.731,80.23,73.535,87.823,91.736,51.0,97.0,1313.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase3_gatev1/G2_gatev1_d50_a000_MOT20-01,"{""blocked_detections"": 1, ""deferred_active"": 0, ""deferred_expired"": 0, ""frames"": 429, ""frames_with_recovery"": 1, ""frames_with_trigger"": 1, ""gate_v1_advantage_blocked"": 20, ""gate_v1_advantage_passed"": 1, ""gate_v1_observe_only"": 0, ""recovered_tracks"": 1, ""triggered_tracks"": 1, ""v3_collected"": 0}"
G2_gatev1_d50_a000,MOT20-02,completed,50,0.0,68.3,79.064,59.109,74.138,90.672,420.0,757.0,11870.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase3_gatev1/G2_gatev1_d50_a000_MOT20-02,"{""blocked_detections"": 1, ""deferred_active"": 0, ""deferred_expired"": 0, ""frames"": 2782, ""frames_with_recovery"": 1, ""frames_with_trigger"": 1, ""gate_v1_advantage_blocked"": 28, ""gate_v1_advantage_passed"": 1, ""gate_v1_observe_only"": 112, ""recovered_tracks"": 1, ""triggered_tracks"": 1, ""v3_collected"": 0}"
G3_gatev1_d50_a030,MOT20-01,completed,50,0.03,76.731,80.23,73.535,87.823,91.736,51.0,97.0,1313.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase3_gatev1/G3_gatev1_d50_a030_MOT20-01,"{""blocked_detections"": 1, ""deferred_active"": 0, ""deferred_expired"": 0, ""frames"": 429, ""frames_with_recovery"": 1, ""frames_with_trigger"": 1, ""gate_v1_advantage_blocked"": 20, ""gate_v1_advantage_passed"": 1, ""gate_v1_observe_only"": 0, ""recovered_tracks"": 1, ""triggered_tracks"": 1, ""v3_collected"": 0}"
G3_gatev1_d50_a030,MOT20-02,completed,50,0.03,68.3,79.064,59.109,74.138,90.673,420.0,756.0,11869.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase3_gatev1/G3_gatev1_d50_a030_MOT20-02,"{""blocked_detections"": 0, ""deferred_active"": 0, ""deferred_expired"": 0, ""frames"": 2782, ""frames_with_recovery"": 0, ""frames_with_trigger"": 0, ""gate_v1_advantage_blocked"": 30, ""gate_v1_advantage_passed"": 0, ""gate_v1_observe_only"": 112, ""recovered_tracks"": 0, ""triggered_tracks"": 0, ""v3_collected"": 0}"
G4_gatev1_d45_a030,MOT20-01,completed,45,0.03,76.737,80.237,73.541,87.826,91.761,49.0,96.0,1311.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase3_gatev1/G4_gatev1_d45_a030_MOT20-01,"{""blocked_detections"": 0, ""deferred_active"": 0, ""deferred_expired"": 0, ""frames"": 429, ""frames_with_recovery"": 0, ""frames_with_trigger"": 0, ""gate_v1_advantage_blocked"": 8, ""gate_v1_advantage_passed"": 0, ""gate_v1_observe_only"": 13, ""recovered_tracks"": 0, ""triggered_tracks"": 0, ""v3_collected"": 0}"
G4_gatev1_d45_a030,MOT20-02,completed,45,0.03,68.3,79.064,59.109,74.138,90.673,420.0,756.0,11869.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase3_gatev1/G4_gatev1_d45_a030_MOT20-02,"{""blocked_detections"": 0, ""deferred_active"": 0, ""deferred_expired"": 0, ""frames"": 2782, ""frames_with_recovery"": 0, ""frames_with_trigger"": 0, ""gate_v1_advantage_blocked"": 25, ""gate_v1_advantage_passed"": 0, ""gate_v1_observe_only"": 117, ""recovered_tracks"": 0, ""triggered_tracks"": 0, ""v3_collected"": 0}"
G5_gatev1_d60_a030,MOT20-01,completed,60,0.03,76.731,80.23,73.535,87.823,91.736,51.0,97.0,1313.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase3_gatev1/G5_gatev1_d60_a030_MOT20-01,"{""blocked_detections"": 1, ""deferred_active"": 0, ""deferred_expired"": 0, ""frames"": 429, ""frames_with_recovery"": 1, ""frames_with_trigger"": 1, ""gate_v1_advantage_blocked"": 20, ""gate_v1_advantage_passed"": 1, ""gate_v1_observe_only"": 0, ""recovered_tracks"": 1, ""triggered_tracks"": 1, ""v3_collected"": 0}"
G5_gatev1_d60_a030,MOT20-02,completed,60,0.03,68.3,79.064,59.109,74.138,90.673,420.0,756.0,11869.0,/gemini/code/FMtrack-main/FM-Track/outputs/dmm_phase3_gatev1/G5_gatev1_d60_a030_MOT20-02,"{""blocked_detections"": 1, ""deferred_active"": 0, ""deferred_expired"": 0, ""frames"": 2782, ""frames_with_recovery"": 1, ""frames_with_trigger"": 1, ""gate_v1_advantage_blocked"": 41, ""gate_v1_advantage_passed"": 1, ""gate_v1_observe_only"": 101, ""recovered_tracks"": 1, ""triggered_tracks"": 1, ""v3_collected"": 0}"
