name,seq,status,track_buffer,match_thresh,HOTA,DetA,AssA,IDF1,MOTA,IDSW,Frag,CLR_FN
P0_base,MOT20-01,completed,30,0.7,76.737,80.237,73.541,87.826,91.761,49.0,96.0,1311.0
P0_base,MOT20-02,completed,30,0.7,68.3,79.064,59.109,74.138,90.673,420.0,756.0,11869.0
P1_buf50_m07,MOT20-01,completed,50,0.7,76.981,80.243,73.997,88.3,91.837,46.0,93.0,1334.0
P1_buf50_m07,MOT20-02,completed,50,0.7,68.459,78.94,59.477,74.654,90.676,415.0,762.0,11843.0
P2_buf50_m05,MOT20-01,completed,50,0.5,76.981,80.243,73.997,88.3,91.837,46.0,93.0,1334.0
P2_buf50_m05,MOT20-02,completed,50,0.5,68.619,78.951,59.745,74.88,90.673,409.0,753.0,11853.0
P3_buf70_m05,MOT20-01,completed,70,0.5,77.043,80.266,74.095,88.443,91.882,44.0,92.0,1329.0
P3_buf70_m05,MOT20-02,completed,70,0.5,68.694,78.886,59.922,74.977,90.668,407.0,752.0,11849.0
P4_buf50_m06,MOT20-01,completed,50,0.6,76.981,80.243,73.997,88.3,91.837,46.0,93.0,1334.0
P4_buf50_m06,MOT20-02,completed,50,0.6,68.556,78.943,59.642,74.792,90.679,413.0,760.0,11842.0
P5_buf70_m06,MOT20-01,completed,70,0.6,77.043,80.266,74.095,88.443,91.882,44.0,92.0,1329.0
P5_buf70_m06,MOT20-02,completed,70,0.6,68.628,78.894,59.802,74.89,90.675,411.0,759.0,11838.0
