name,seq,status,buffer,match,oc_sort,oc_max_gap,HOTA,DetA,AssA,IDF1,MOTA,IDSW,Frag,CLR_FN
O0_ocsport_buf70_m05,MOT20-01,completed,70,0.5,True,,76.421,80.247,72.931,87.178,91.751,52.0,95.0,1310.0
O0_ocsport_buf70_m05,MOT20-02,completed,70,0.5,True,,67.809,78.856,58.419,73.795,90.606,419.0,751.0,11896.0
O1_ocsport_buf70_m04,MOT20-01,completed,70,0.4,True,,76.196,80.311,72.446,86.786,91.817,49.0,92.0,1342.0
O1_ocsport_buf70_m04,MOT20-02,completed,70,0.4,True,,67.799,78.877,58.385,73.943,90.609,425.0,764.0,12027.0
O2_ocsport_buf90_m05,MOT20-01,completed,90,0.5,True,,76.418,80.24,72.931,87.178,91.741,52.0,95.0,1311.0
O2_ocsport_buf90_m05,MOT20-02,completed,90,0.5,True,,67.773,78.849,58.364,73.71,90.603,421.0,754.0,11896.0
O3_ocsport_buf70_m05_gmax20,MOT20-01,completed,70,0.5,True,20,76.792,80.252,73.63,88.113,91.847,49.0,92.0,1328.0
O3_ocsport_buf70_m05_gmax20,MOT20-02,completed,70,0.5,True,20,68.058,78.78,58.905,74.133,90.628,425.0,761.0,11888.0
O4_ocsport_buf70_m05_gmax10,MOT20-01,completed,70,0.5,True,10,76.803,80.227,73.673,88.128,91.847,51.0,93.0,1327.0
O4_ocsport_buf70_m05_gmax10,MOT20-02,completed,70,0.5,True,10,68.137,78.777,59.043,74.27,90.628,428.0,761.0,11876.0
O5_base_buf70_m05,MOT20-01,completed,70,0.5,False,,77.043,80.266,74.095,88.443,91.882,44.0,92.0,1329.0
O5_base_buf70_m05,MOT20-02,completed,70,0.5,False,,68.694,78.886,59.922,74.977,90.668,407.0,752.0,11849.0
